datetime,open,high,low,close,volume
2026-03-08T22:00:00,1.3351,1.3351,1.3283,1.3285,1502
2026-03-09T02:00:00,1.3291,1.3337,1.3284,1.3333,1028
2026-03-09T06:00:00,1.3331,1.3361,1.3301,1.3338,2225
2026-03-09T10:00:00,1.3339,1.3381,1.3324,1.3371,3134
2026-03-09T14:00:00,1.3374,1.3409,1.3345,1.3386,2701
2026-03-09T18:00:00,1.3385,1.3446,1.3382,1.3438,2752
2026-03-09T22:00:00,1.3449,1.3449,1.3419,1.3432,291
2026-03-10T02:00:00,1.3431,1.3437,1.3414,1.3433,533
2026-03-10T06:00:00,1.3438,1.3484,1.3435,1.3459,4135
2026-03-10T10:00:00,1.3458,1.3468,1.3431,1.345,4095
2026-03-10T14:00:00,1.3448,1.3482,1.3439,1.3462,4404
2026-03-10T18:00:00,1.3462,1.3462,1.3411,1.3419,2781
2026-03-10T22:00:00,1.3417,1.3451,1.3411,1.3446,1596
2026-03-11T02:00:00,1.3447,1.3457,1.3436,1.345,597
2026-03-11T06:00:00,1.3449,1.3456,1.3402,1.3415,4085
2026-03-11T10:00:00,1.3415,1.3448,1.3394,1.3418,6503
2026-03-11T14:00:00,1.3417,1.3443,1.3392,1.341,8293
2026-03-11T18:00:00,1.3409,1.3421,1.3401,1.341,2350
2026-03-11T22:00:00,1.3415,1.3415,1.337,1.3388,1237
2026-03-12T02:00:00,1.3388,1.3393,1.3359,1.3367,3534
2026-03-12T06:00:00,1.3368,1.3398,1.3362,1.3393,4257
2026-03-12T10:00:00,1.3393,1.3409,1.3362,1.3368,7407
2026-03-12T14:00:00,1.3369,1.3374,1.3338,1.3355,11161
2026-03-12T18:00:00,1.3357,1.3358,1.3338,1.3342,2955
2026-03-12T22:00:00,1.3338,1.3368,1.3338,1.3355,5404
2026-03-13T02:00:00,1.3356,1.3361,1.3327,1.3332,3875
2026-03-13T06:00:00,1.3332,1.3333,1.3255,1.3261,28551
2026-03-13T10:00:00,1.3262,1.3289,1.3246,1.328,30617
2026-03-13T14:00:00,1.328,1.3283,1.3229,1.3245,28433
2026-03-13T18:00:00,1.3246,1.3248,1.3218,1.322,11577
2026-03-15T22:00:00,1.323,1.3265,1.3225,1.3258,7403
2026-03-16T02:00:00,1.3259,1.3264,1.3248,1.325,2706
2026-03-16T06:00:00,1.325,1.3255,1.323,1.3246,13470
2026-03-16T10:00:00,1.3247,1.3283,1.3246,1.3279,8073
2026-03-16T14:00:00,1.3296,1.3318,1.3288,1.3302,18611
2026-03-16T18:00:00,1.3302,1.3339,1.3302,1.3318,15491
2026-03-16T22:00:00,1.3318,1.3319,1.3295,1.3305,6060
2026-03-17T02:00:00,1.3306,1.3314,1.3286,1.3286,4583
2026-03-17T06:00:00,1.3287,1.3338,1.3273,1.3335,16464
2026-03-17T10:00:00,1.3334,1.336,1.3311,1.3347,21684
2026-03-17T14:00:00,1.3345,1.3359,1.3333,1.3358,18802
2026-03-17T18:00:00,1.3359,1.3364,1.3351,1.3356,7706
2026-03-17T22:00:00,1.3359,1.3362,1.3351,1.3353,4055
2026-03-18T02:00:00,1.3354,1.3372,1.335,1.3372,2533
2026-03-18T06:00:00,1.3372,1.3374,1.3341,1.3359,10861
2026-03-18T10:00:00,1.3358,1.337,1.3304,1.3325,26957
2026-03-18T14:00:00,1.3325,1.3343,1.3302,1.3342,29087
2026-03-18T18:00:00,1.3341,1.3351,1.3252,1.3256,17949
2026-03-18T22:00:00,1.3266,1.3291,1.325,1.3283,7492
2026-03-19T02:00:00,1.3282,1.3297,1.3261,1.3263,5188
2026-03-19T06:00:00,1.3264,1.3291,1.3245,1.3284,23959
2026-03-19T10:00:00,1.3283,1.3356,1.327,1.3348,43187
2026-03-19T14:00:00,1.3349,1.3408,1.3336,1.3401,40283
2026-03-19T18:00:00,1.34,1.3464,1.3391,1.3429,22206
2026-03-19T22:00:00,1.3432,1.344,1.3411,1.3413,4667
2026-03-20T02:00:00,1.3414,1.3415,1.3397,1.3398,3288
2026-03-20T06:00:00,1.3399,1.3434,1.3378,1.3379,17893
2026-03-20T10:00:00,1.3379,1.3406,1.3345,1.3348,29590
2026-03-20T14:00:00,1.3347,1.3348,1.3296,1.3333,50001
2026-03-20T18:00:00,1.3334,1.335,1.3316,1.3338,19596
