datetime,open,high,low,close,volume
2026-03-12T00:00:00,1.3415,1.3415,1.3338,1.3342,30551
2026-03-13T00:00:00,1.3338,1.3368,1.3218,1.322,108457
2026-03-17T00:00:00,1.3318,1.3364,1.3273,1.3356,75299
2026-03-18T00:00:00,1.3359,1.3374,1.3252,1.3256,91442
2026-03-19T00:00:00,1.3266,1.3464,1.3245,1.3429,142315
2026-03-20T00:00:00,1.3432,1.344,1.3296,1.3338,125035
2026-03-23T00:00:00,1.3308,1.3477,1.3254,1.3426,175910
2026-03-24T00:00:00,1.3426,1.3443,1.3349,1.3406,101418
2026-03-25T00:00:00,1.3408,1.3433,1.3355,1.3362,83863
2026-03-26T00:00:00,1.336,1.3376,1.3307,1.3326,73782
2026-03-27T00:00:00,1.3327,1.3344,1.3257,1.3259,80352
2026-03-30T00:00:00,1.3261,1.3279,1.3172,1.3181,78616
2026-03-31T00:00:00,1.318,1.3267,1.3156,1.3224,142181
2026-04-01T00:00:00,1.3224,1.3344,1.3218,1.3304,99668
2026-04-02T00:00:00,1.3306,1.3319,1.3179,1.3223,88632
2026-04-03T00:00:00,1.3223,1.324,1.3198,1.3199,13787
2026-04-06T00:00:00,1.3193,1.3266,1.3172,1.3233,53723
2026-04-07T00:00:00,1.3232,1.3299,1.321,1.3287,76540
2026-04-08T00:00:00,1.329,1.3483,1.3285,1.3391,138438
2026-04-09T00:00:00,1.3397,1.3457,1.3379,1.3434,70083
2026-04-10T00:00:00,1.3436,1.3478,1.341,1.3459,57977
