datetime,open,high,low,close,volume
2026-03-01T23:00:00,73.71,74.7,69.0,69.63,23148
2026-03-02T03:00:00,69.65,71.84,69.56,71.5,8193
2026-03-02T07:00:00,71.48,72.78,70.87,71.53,24056
2026-03-02T11:00:00,71.54,72.41,70.4,70.66,30668
2026-03-02T15:00:00,70.66,71.34,69.73,70.63,35083
2026-03-02T19:00:00,70.63,72.23,70.32,70.47,25620
2026-03-02T23:00:00,70.66,71.87,69.93,71.77,5390
2026-03-03T03:00:00,71.79,72.75,71.65,72.4,5852
2026-03-03T07:00:00,72.43,76.5,72.38,75.7,35272
2026-03-03T11:00:00,75.72,76.75,74.32,75.44,55340
2026-03-03T15:00:00,75.44,76.14,72.75,73.69,61136
2026-03-03T19:00:00,73.68,74.06,70.86,73.77,29800
2026-03-03T23:00:00,73.56,74.6,73.32,73.99,7465
2026-03-04T03:00:00,73.96,75.66,73.61,75.66,4322
2026-03-04T07:00:00,75.68,75.99,73.75,74.06,27900
2026-03-04T11:00:00,74.03,74.4,72.19,73.29,42082
2026-03-04T15:00:00,73.29,74.02,72.58,73.7,30694
2026-03-04T19:00:00,73.72,74.85,73.22,74.61,11190
2026-03-04T23:00:00,74.61,75.9,74.09,75.87,5975
2026-03-05T03:00:00,75.85,76.55,74.55,75.08,11587
2026-03-05T07:00:00,75.04,76.24,73.79,75.29,32799
2026-03-05T11:00:00,75.29,76.83,75.09,76.38,32282
2026-03-05T15:00:00,76.38,79.07,76.17,78.62,58349
2026-03-05T19:00:00,78.61,79.47,76.62,77.04,34623
2026-03-05T23:00:00,77.2,77.83,76.4,77.58,8431
2026-03-06T03:00:00,77.57,78.62,77.41,78.43,8788
2026-03-06T07:00:00,78.39,81.69,77.94,81.25,42987
2026-03-06T11:00:00,81.25,85.81,81.18,84.99,85443
2026-03-06T15:00:00,84.98,88.16,83.93,87.68,82296
2026-03-06T19:00:00,87.66,88.13,86.64,87.85,33449
2026-03-08T22:00:00,91.91,109.21,91.86,108.7,48643
2026-03-09T02:00:00,108.77,113.41,98.62,99.64,51710
2026-03-09T06:00:00,99.54,102.39,93.16,96.65,45648
2026-03-09T10:00:00,96.58,99.45,93.4,95.56,62896
2026-03-09T14:00:00,95.57,99.67,90.07,91.57,102505
2026-03-09T18:00:00,91.56,92.16,79.0,82.68,71093
2026-03-09T22:00:00,83.0,87.15,81.8,82.47,18406
2026-03-10T02:00:00,82.48,88.49,82.29,86.5,13802
2026-03-10T06:00:00,86.49,87.58,83.16,84.44,23435
2026-03-10T10:00:00,84.5,88.08,84.0,85.03,45881
2026-03-10T14:00:00,85.01,86.0,75.64,78.82,117394
2026-03-10T18:00:00,78.8,85.84,78.26,84.82,55903
2026-03-10T22:00:00,85.11,87.0,80.6,82.15,16834
2026-03-11T02:00:00,82.1,83.73,81.3,82.75,7711
2026-03-11T06:00:00,82.77,87.32,81.88,87.09,26823
2026-03-11T10:00:00,87.06,87.07,82.4,82.9,43766
2026-03-11T14:00:00,82.95,87.04,81.05,86.39,74747
2026-03-11T18:00:00,86.39,87.29,85.62,87.07,23943
2026-03-11T22:00:00,87.46,93.39,87.18,91.82,28746
2026-03-12T02:00:00,91.85,94.6,91.13,91.79,19921
2026-03-12T06:00:00,91.8,92.37,88.71,89.95,26354
2026-03-12T10:00:00,89.93,93.72,89.5,93.19,44450
2026-03-12T14:00:00,93.2,95.19,91.52,93.14,83854
2026-03-12T18:00:00,93.12,95.68,92.69,95.08,24796
2026-03-12T22:00:00,95.52,96.77,93.53,94.44,13413
2026-03-13T02:00:00,94.42,95.39,93.74,93.94,9293
2026-03-13T06:00:00,93.93,96.68,93.36,94.77,29140
2026-03-13T10:00:00,94.72,94.85,91.09,93.18,42948
2026-03-13T14:00:00,93.16,96.3,92.75,96.08,44884
2026-03-13T18:00:00,96.07,97.31,95.25,97.2,22931
2026-03-15T22:00:00,98.76,99.95,95.08,96.99,28917
2026-03-16T02:00:00,97.0,98.07,96.56,96.86,12241
2026-03-16T06:00:00,96.86,99.29,96.54,97.74,20094
2026-03-16T10:00:00,97.72,97.88,95.55,96.0,15680
2026-03-16T14:00:00,94.11,95.49,92.67,93.19,40416
2026-03-16T18:00:00,93.19,93.69,91.94,93.23,29945
2026-03-16T22:00:00,93.42,95.38,92.88,95.01,22912
2026-03-17T02:00:00,95.01,97.2,94.48,97.0,18967
2026-03-17T06:00:00,97.04,97.65,94.98,95.24,43877
2026-03-17T10:00:00,95.22,96.37,93.18,94.44,49843
2026-03-17T14:00:00,94.42,95.37,93.19,95.14,70284
2026-03-17T18:00:00,95.14,95.65,94.81,95.3,23345
2026-03-17T22:00:00,95.27,95.65,93.75,94.29,21685
2026-03-18T02:00:00,94.28,94.5,91.86,92.05,27407
2026-03-18T06:00:00,92.06,94.49,91.45,94.29,45431
2026-03-18T10:00:00,94.31,98.22,93.9,98.04,134355
2026-03-18T14:00:00,98.03,98.67,95.01,95.17,129890
2026-03-18T18:00:00,95.22,99.78,94.21,99.05,74952
2026-03-18T22:00:00,98.06,99.17,97.33,98.05,35799
2026-03-19T02:00:00,98.05,98.25,95.75,96.48,36377
2026-03-19T06:00:00,96.45,98.96,94.41,95.16,88141
2026-03-19T10:00:00,95.16,97.74,94.86,96.09,100247
2026-03-19T14:00:00,96.08,100.48,95.12,95.8,158853
2026-03-19T18:00:00,95.8,96.2,92.1,94.59,85638
2026-03-19T22:00:00,94.46,94.8,92.47,92.97,21278
2026-03-20T02:00:00,92.96,94.23,92.86,93.44,17894
2026-03-20T06:00:00,93.44,96.16,93.29,95.88,47194
2026-03-20T10:00:00,95.88,96.45,93.9,96.03,62704
2026-03-20T14:00:00,96.01,98.51,95.28,98.02,93410
2026-03-20T18:00:00,98.02,98.75,96.94,98.09,65781
