datetime,open,high,low,close,volume
2026-03-05T00:00:00,74.61,79.47,73.79,77.04,175615
2026-03-06T00:00:00,77.2,88.16,76.4,87.85,261394
2026-03-09T00:00:00,91.91,113.41,79.0,82.68,382495
2026-03-10T00:00:00,83.0,88.49,75.64,84.82,274821
2026-03-11T00:00:00,85.11,87.32,80.6,87.07,193824
2026-03-12T00:00:00,87.46,95.68,87.18,95.08,228121
2026-03-13T00:00:00,95.52,97.31,91.09,97.2,162609
2026-03-17T00:00:00,93.42,97.65,92.88,95.3,229228
2026-03-18T00:00:00,95.27,99.78,91.45,99.05,433720
2026-03-19T00:00:00,98.06,100.48,92.1,94.59,505055
2026-03-20T00:00:00,94.46,98.75,92.47,98.09,308261
