datetime,open,high,low,close,volume
2026-03-08T22:00:00,1.1605,1.1605,1.1581,1.1593,49
2026-03-08T23:00:00,1.1594,1.1594,1.1577,1.1577,40
2026-03-09T00:00:00,1.1577,1.1581,1.157,1.157,40
2026-03-09T01:00:00,1.1571,1.1577,1.1561,1.1563,38
2026-03-09T02:00:00,1.1563,1.158,1.1562,1.1579,20
2026-03-09T03:00:00,1.158,1.1581,1.1566,1.1567,10
2026-03-09T04:00:00,1.1578,1.1581,1.1574,1.1581,5
2026-03-09T05:00:00,1.1584,1.1624,1.1584,1.1622,89
2026-03-09T06:00:00,1.1623,1.1623,1.16,1.1602,38
2026-03-09T07:00:00,1.1601,1.1619,1.159,1.1615,77
2026-03-09T08:00:00,1.1618,1.1618,1.157,1.1587,56
2026-03-09T09:00:00,1.159,1.1625,1.1588,1.1609,106
2026-03-09T10:00:00,1.161,1.1617,1.1602,1.1617,69
2026-03-09T11:00:00,1.1615,1.1622,1.1611,1.1614,19
2026-03-09T12:00:00,1.1617,1.1623,1.1607,1.1607,22
2026-03-09T13:00:00,1.1609,1.1641,1.1609,1.1629,107
2026-03-09T14:00:00,1.1631,1.1631,1.1603,1.1627,108
2026-03-09T15:00:00,1.1629,1.1648,1.1629,1.1645,56
2026-03-09T16:00:00,1.1648,1.1653,1.164,1.1647,54
2026-03-09T17:00:00,1.1641,1.1643,1.1636,1.1638,18
2026-03-09T18:00:00,1.1635,1.1638,1.1631,1.1634,27
2026-03-09T19:00:00,1.164,1.1687,1.1639,1.1663,340
2026-03-09T20:00:00,1.1664,1.1691,1.1664,1.1691,30
2026-03-09T22:00:00,1.169,1.17,1.1676,1.1681,51
2026-03-09T23:00:00,1.1682,1.1682,1.1669,1.167,16
2026-03-10T00:00:00,1.1671,1.1687,1.1668,1.168,47
2026-03-10T01:00:00,1.1679,1.1683,1.1668,1.1669,82
2026-03-10T02:00:00,1.1675,1.1679,1.1669,1.1669,9
2026-03-10T03:00:00,1.1664,1.1668,1.1663,1.1663,5
2026-03-10T04:00:00,1.1664,1.1664,1.1664,1.1664,1
2026-03-10T05:00:00,1.1668,1.1673,1.1668,1.1673,45
2026-03-10T06:00:00,1.1674,1.169,1.1674,1.1686,55
2026-03-10T07:00:00,1.1684,1.1717,1.1682,1.1713,111
2026-03-10T08:00:00,1.1712,1.1715,1.1698,1.1698,31
2026-03-10T09:00:00,1.1703,1.1712,1.1702,1.1708,72
2026-03-10T10:00:00,1.1704,1.1704,1.1675,1.1693,82
2026-03-10T11:00:00,1.1693,1.1707,1.1691,1.1693,73
2026-03-10T12:00:00,1.1694,1.1695,1.1677,1.1687,52
2026-03-10T13:00:00,1.1689,1.1704,1.1686,1.1686,146
2026-03-10T14:00:00,1.1686,1.1704,1.1683,1.1703,24
2026-03-10T15:00:00,1.1704,1.1709,1.1694,1.1702,59
2026-03-10T16:00:00,1.1698,1.1707,1.1694,1.1707,16
2026-03-10T17:00:00,1.1707,1.1721,1.1697,1.1697,59
2026-03-10T18:00:00,1.1697,1.1697,1.1668,1.1685,140
2026-03-10T19:00:00,1.1676,1.1679,1.166,1.1668,89
