datetime,open,high,low,close,volume
2026-03-08T22:00:00,1.1605,1.1605,1.1605,1.1605,18
2026-03-08T22:01:00,1.1602,1.1602,1.1602,1.1602,1
2026-03-08T22:02:00,1.16,1.16,1.16,1.16,2
2026-03-08T22:05:00,1.1592,1.1592,1.1592,1.1592,1
2026-03-08T22:08:00,1.159,1.159,1.159,1.159,1
2026-03-08T22:09:00,1.1581,1.1581,1.1581,1.1581,4
2026-03-08T22:11:00,1.1581,1.1581,1.1581,1.1581,1
2026-03-08T22:12:00,1.1582,1.1582,1.1582,1.1582,1
2026-03-08T22:18:00,1.159,1.159,1.159,1.159,1
2026-03-08T22:19:00,1.1592,1.1592,1.1592,1.1592,1
2026-03-08T22:25:00,1.16,1.1604,1.1598,1.1598,6
2026-03-08T22:26:00,1.1598,1.1598,1.1598,1.1598,1
2026-03-08T22:27:00,1.1597,1.1597,1.1597,1.1597,2
2026-03-08T22:28:00,1.1596,1.1596,1.1596,1.1596,1
2026-03-08T22:33:00,1.1591,1.1591,1.1591,1.1591,1
2026-03-08T22:40:00,1.1591,1.1591,1.1591,1.1591,1
2026-03-08T22:51:00,1.1596,1.1596,1.1594,1.1594,2
2026-03-08T22:53:00,1.1591,1.1591,1.159,1.159,2
2026-03-08T22:54:00,1.1592,1.1592,1.1592,1.1592,1
2026-03-08T22:56:00,1.1593,1.1593,1.1593,1.1593,1
2026-03-08T23:00:00,1.1594,1.1594,1.1591,1.1591,5
2026-03-08T23:01:00,1.1589,1.1589,1.1589,1.1589,1
2026-03-08T23:06:00,1.1588,1.1588,1.1588,1.1588,1
2026-03-08T23:07:00,1.1587,1.1587,1.1587,1.1587,2
2026-03-08T23:10:00,1.1587,1.1587,1.1587,1.1587,1
2026-03-08T23:14:00,1.1586,1.1586,1.1586,1.1586,1
2026-03-08T23:20:00,1.1582,1.1584,1.1582,1.1583,5
2026-03-08T23:24:00,1.1587,1.1587,1.1585,1.1585,3
2026-03-08T23:25:00,1.1586,1.1586,1.1586,1.1586,1
2026-03-08T23:31:00,1.1587,1.1587,1.1587,1.1587,1
2026-03-08T23:35:00,1.1586,1.1586,1.1586,1.1586,1
2026-03-08T23:41:00,1.1579,1.1579,1.1579,1.1579,2
2026-03-08T23:48:00,1.1579,1.1579,1.1578,1.1578,3
2026-03-08T23:57:00,1.1578,1.1578,1.1577,1.1577,2
2026-03-08T23:59:00,1.1578,1.1579,1.1577,1.1577,11
2026-03-09T00:00:00,1.1577,1.1577,1.1577,1.1577,1
2026-03-09T00:01:00,1.1579,1.1579,1.1579,1.1579,1
2026-03-09T00:02:00,1.158,1.1581,1.158,1.1581,4
2026-03-09T00:03:00,1.158,1.158,1.1579,1.1579,3
