datetime,open,high,low,close,volume
2026-02-15T23:00:00,5.839,5.8585,5.813,5.821,191
2026-02-16T03:00:00,5.824,5.84,5.7965,5.835,137
2026-02-16T07:00:00,5.8345,5.8545,5.826,5.8375,187
2026-02-16T11:00:00,5.8375,5.862,5.8215,5.845,478
2026-02-16T15:00:00,5.846,5.85,5.819,5.819,303
2026-02-16T19:00:00,5.8205,5.8245,5.8205,5.822,13
2026-02-16T23:00:00,5.8265,5.828,5.7915,5.794,521
2026-02-17T03:00:00,5.793,5.794,5.7405,5.769,975
2026-02-17T07:00:00,5.768,5.789,5.75,5.7515,1045
2026-02-17T11:00:00,5.75,5.7725,5.6905,5.692,3782
2026-02-17T15:00:00,5.692,5.744,5.6895,5.7395,4102
2026-02-17T19:00:00,5.7395,5.7495,5.728,5.7355,827
2026-02-17T23:00:00,5.7365,5.747,5.7285,5.739,320
2026-02-18T03:00:00,5.739,5.7725,5.736,5.759,637
2026-02-18T07:00:00,5.759,5.7835,5.7465,5.7755,988
2026-02-18T11:00:00,5.7755,5.831,5.759,5.8285,2947
2026-02-18T15:00:00,5.8295,5.8705,5.8245,5.832,4062
2026-02-18T19:00:00,5.829,5.8415,5.8165,5.839,550
2026-02-18T23:00:00,5.8385,5.849,5.83,5.843,278
2026-02-19T03:00:00,5.841,5.8645,5.833,5.861,506
2026-02-19T07:00:00,5.861,5.8715,5.797,5.801,1837
2026-02-19T11:00:00,5.8005,5.8095,5.7395,5.77,2838
2026-02-19T15:00:00,5.769,5.835,5.7675,5.8205,4223
2026-02-19T19:00:00,5.82,5.8285,5.807,5.822,442
2026-02-19T23:00:00,5.8155,5.834,5.8015,5.808,496
2026-02-20T03:00:00,5.8085,5.834,5.7915,5.8275,518
2026-02-20T07:00:00,5.828,5.8575,5.8125,5.8215,1637
2026-02-20T11:00:00,5.8195,5.8375,5.7935,5.836,2793
2026-02-20T15:00:00,5.8365,5.931,5.8075,5.9205,9758
2026-02-20T19:00:00,5.922,5.9375,5.9145,5.93,1301
2026-02-22T23:00:00,5.93,5.964,5.8815,5.895,3181
2026-02-23T03:00:00,5.8955,5.901,5.8695,5.8705,1384
2026-02-23T07:00:00,5.87,5.904,5.869,5.897,1993
2026-02-23T11:00:00,5.898,5.898,5.8425,5.876,4049
2026-02-23T15:00:00,5.876,5.879,5.8115,5.851,5587
2026-02-23T19:00:00,5.8505,5.867,5.845,5.857,974
2026-02-23T23:00:00,5.857,5.9635,5.846,5.9625,7567
2026-02-24T03:00:00,5.962,5.963,5.93,5.9305,3272
2026-02-24T07:00:00,5.9295,5.933,5.9,5.922,4324
2026-02-24T11:00:00,5.9225,5.9845,5.914,5.949,8867
2026-02-24T15:00:00,5.949,5.9975,5.942,5.9735,7941
2026-02-24T19:00:00,5.9735,5.977,5.947,5.96,1838
2026-02-24T23:00:00,5.9555,6.0235,5.955,6.017,3669
2026-02-25T03:00:00,6.0175,6.036,5.996,6.0265,3217
2026-02-25T07:00:00,6.026,6.044,6.0035,6.0085,4725
2026-02-25T11:00:00,6.0085,6.05,5.9915,6.022,8862
2026-02-25T15:00:00,6.022,6.051,6.01,6.043,6401
2026-02-25T19:00:00,6.044,6.0675,6.0285,6.0435,2390
2026-02-25T23:00:00,6.0475,6.0545,5.9825,6.01,4210
2026-02-26T03:00:00,6.011,6.052,6.0085,6.0465,2160
2026-02-26T07:00:00,6.047,6.0485,5.9965,6.0235,3949
2026-02-26T11:00:00,6.025,6.0455,6.0075,6.0235,6149
2026-02-26T15:00:00,6.023,6.0605,5.964,6.0155,12186
2026-02-26T19:00:00,6.017,6.037,6.0145,6.025,1584
2026-02-26T23:00:00,6.029,6.0545,5.9975,6.0525,2395
2026-02-27T03:00:00,6.0515,6.12,6.0325,6.108,6140
2026-02-27T07:00:00,6.1095,6.1325,6.0995,6.1235,5808
2026-02-27T11:00:00,6.1245,6.141,6.069,6.0825,9911
2026-02-27T15:00:00,6.0825,6.097,6.0315,6.0365,10073
2026-02-27T19:00:00,6.038,6.066,6.0315,6.061,2292
2026-03-01T23:00:00,6.015,6.09,5.9945,6.0465,8371
2026-03-02T03:00:00,6.0465,6.0855,6.0255,6.072,2649
2026-03-02T07:00:00,6.072,6.0955,6.011,6.058,5137
2026-03-02T11:00:00,6.061,6.0675,5.944,5.96,11548
2026-03-02T15:00:00,5.959,5.9815,5.9275,5.938,10722
2026-03-02T19:00:00,5.9385,5.984,5.9385,5.9645,2410
2026-03-02T23:00:00,5.9615,6.0065,5.942,5.9895,4317
2026-03-03T03:00:00,5.994,6.0125,5.898,5.9495,5297
2026-03-03T07:00:00,5.948,5.956,5.77,5.811,14155
2026-03-03T11:00:00,5.808,5.8585,5.747,5.7815,17937
2026-03-03T15:00:00,5.7815,5.873,5.77,5.8595,16576
2026-03-03T19:00:00,5.861,5.8725,5.83,5.8325,2534
2026-03-03T23:00:00,5.843,5.929,5.812,5.8945,5394
2026-03-04T03:00:00,5.894,5.9285,5.8815,5.89,3510
2026-03-04T07:00:00,5.8895,5.9665,5.8885,5.9295,6745
2026-03-04T11:00:00,5.9285,5.9465,5.874,5.875,9922
2026-03-04T15:00:00,5.8735,5.928,5.8725,5.896,8419
2026-03-04T19:00:00,5.8965,5.9075,5.889,5.9035,905
2026-03-04T23:00:00,5.9095,5.9535,5.901,5.934,4481
2026-03-05T03:00:00,5.9365,5.9485,5.824,5.87,5356
2026-03-05T07:00:00,5.8705,5.8865,5.8185,5.833,6670
2026-03-05T11:00:00,5.8325,5.8435,5.775,5.82,12777
2026-03-05T15:00:00,5.8195,5.8575,5.7935,5.803,13289
2026-03-05T19:00:00,5.803,5.828,5.784,5.827,1733
2026-03-05T23:00:00,5.829,5.8805,5.81,5.86,2780
2026-03-06T03:00:00,5.8615,5.8785,5.8325,5.8515,2246
2026-03-06T07:00:00,5.851,5.8815,5.8,5.817,4226
2026-03-06T11:00:00,5.816,5.828,5.779,5.814,11656
2026-03-06T15:00:00,5.8145,5.841,5.7905,5.812,10122
2026-03-06T19:00:00,5.813,5.8445,5.8115,5.8375,2422
2026-03-08T22:00:00,5.83,5.83,5.6395,5.7045,14832
2026-03-09T02:00:00,5.7015,5.7815,5.6925,5.764,6374
2026-03-09T06:00:00,5.7635,5.804,5.7315,5.765,7221
2026-03-09T10:00:00,5.7655,5.794,5.7365,5.7615,7279
2026-03-09T14:00:00,5.7615,5.8575,5.758,5.8235,12733
2026-03-09T18:00:00,5.825,5.9055,5.8185,5.9005,4483
2026-03-09T22:00:00,5.9065,5.9165,5.8625,5.9165,4334
2026-03-10T02:00:00,5.9165,5.9345,5.89,5.906,3434
2026-03-10T06:00:00,5.909,5.9575,5.9055,5.945,4463
2026-03-10T10:00:00,5.944,5.944,5.871,5.928,8915
2026-03-10T14:00:00,5.9275,5.962,5.916,5.952,8917
2026-03-10T18:00:00,5.953,5.9535,5.9135,5.9165,2626
2026-03-10T22:00:00,5.9255,5.9415,5.917,5.9265,1635
2026-03-11T02:00:00,5.926,5.943,5.917,5.9225,1719
2026-03-11T06:00:00,5.9235,5.9355,5.837,5.85,6948
2026-03-11T10:00:00,5.85,5.8825,5.8345,5.882,6987
2026-03-11T14:00:00,5.881,5.9105,5.858,5.882,7678
2026-03-11T18:00:00,5.8815,5.9285,5.878,5.9095,2456
2026-03-11T22:00:00,5.919,5.919,5.87,5.8825,2241
2026-03-12T02:00:00,5.8815,5.8905,5.821,5.8435,4040
2026-03-12T06:00:00,5.845,5.9045,5.844,5.9015,3687
2026-03-12T10:00:00,5.901,5.9025,5.849,5.8505,5917
2026-03-12T14:00:00,5.85,5.88,5.828,5.8475,9351
2026-03-12T18:00:00,5.8485,5.8545,5.808,5.821,2251
2026-03-12T22:00:00,5.8265,5.8565,5.8225,5.8485,1989
2026-03-13T02:00:00,5.8485,5.8555,5.799,5.805,3011
2026-03-13T06:00:00,5.805,5.8135,5.7675,5.797,5105
2026-03-13T10:00:00,5.796,5.842,5.787,5.8145,7217
2026-03-13T14:00:00,5.8135,5.818,5.7475,5.7525,10964
2026-03-13T18:00:00,5.7525,5.7595,5.659,5.675,5712
2026-03-15T22:00:00,5.68,5.757,5.656,5.743,7033
2026-03-16T02:00:00,5.743,5.7745,5.7045,5.769,3658
2026-03-16T06:00:00,5.768,5.7755,5.7155,5.7285,3749
2026-03-16T10:00:00,5.7275,5.776,5.722,5.7755,2119
2026-03-16T14:00:00,5.826,5.86,5.815,5.8215,9498
2026-03-16T18:00:00,5.8215,5.8495,5.8215,5.8375,2363
2026-03-16T22:00:00,5.845,5.8495,5.82,5.844,2257
2026-03-17T02:00:00,5.846,5.854,5.804,5.805,2067
2026-03-17T06:00:00,5.8065,5.808,5.75,5.7635,4732
2026-03-17T10:00:00,5.763,5.8,5.749,5.7855,6231
2026-03-17T14:00:00,5.786,5.789,5.737,5.7725,8578
2026-03-17T18:00:00,5.773,5.774,5.761,5.766,770
2026-03-17T22:00:00,5.777,5.7785,5.7425,5.755,1899
2026-03-18T02:00:00,5.755,5.7725,5.6985,5.7055,4343
2026-03-18T06:00:00,5.705,5.747,5.6995,5.742,4095
2026-03-18T10:00:00,5.7415,5.7435,5.559,5.5755,24433
2026-03-18T14:00:00,5.5755,5.616,5.572,5.5855,13194
2026-03-18T18:00:00,5.586,5.592,5.46,5.4735,8425
2026-03-18T22:00:00,5.4885,5.555,5.4785,5.514,5859
2026-03-19T02:00:00,5.5145,5.531,5.46,5.4655,3156
