datetime,open,high,low,close,volume
2026-02-17T00:00:00,5.8265,5.828,5.6895,5.7355,11252
2026-02-18T00:00:00,5.7365,5.8705,5.7285,5.839,9504
2026-02-19T00:00:00,5.8385,5.8715,5.7395,5.822,10124
2026-02-20T00:00:00,5.8155,5.9375,5.7915,5.93,16503
2026-02-23T00:00:00,5.93,5.964,5.8115,5.857,17168
2026-02-24T00:00:00,5.857,5.9975,5.846,5.96,33809
2026-02-25T00:00:00,5.9555,6.0675,5.955,6.0435,29264
2026-02-26T00:00:00,6.0475,6.0605,5.964,6.025,30238
2026-02-27T00:00:00,6.029,6.141,5.9975,6.061,36619
2026-03-02T00:00:00,6.015,6.0955,5.9275,5.9645,40837
2026-03-03T00:00:00,5.9615,6.0125,5.747,5.8325,60816
2026-03-04T00:00:00,5.843,5.9665,5.812,5.9035,34895
2026-03-05T00:00:00,5.9095,5.9535,5.775,5.827,44306
2026-03-06T00:00:00,5.829,5.8815,5.779,5.8375,33452
2026-03-09T00:00:00,5.83,5.9055,5.6395,5.9005,52922
2026-03-10T00:00:00,5.9065,5.962,5.8625,5.9165,32689
2026-03-11T00:00:00,5.9255,5.943,5.8345,5.9095,27423
2026-03-12T00:00:00,5.919,5.919,5.808,5.821,27487
2026-03-13T00:00:00,5.8265,5.8565,5.659,5.675,33998
2026-03-17T00:00:00,5.845,5.854,5.737,5.766,24635
2026-03-18T00:00:00,5.777,5.7785,5.46,5.4735,56389
2026-03-19T00:00:00,5.4885,5.555,5.297,5.521,70223
2026-03-20T00:00:00,5.525,5.565,5.271,5.302,45743
2026-03-23T00:00:00,5.312,5.585,5.246,5.4865,81681
2026-03-24T00:00:00,5.485,5.57,5.356,5.558,38657
2026-03-25T00:00:00,5.5585,5.5965,5.5005,5.52,38661
2026-03-26T00:00:00,5.5245,5.541,5.445,5.4705,35231
2026-03-27T00:00:00,5.485,5.5685,5.455,5.4615,27999
2026-03-30T00:00:00,5.4575,5.5415,5.405,5.487,29069
2026-03-31T00:00:00,5.4865,5.654,5.4645,5.652,40313
2026-04-01T00:00:00,5.648,5.663,5.5845,5.6175,38542
2026-04-02T00:00:00,5.626,5.727,5.513,5.6815,37166
2026-04-06T00:00:00,5.6625,5.697,5.574,5.6055,20570
