datetime,open,high,low,close,volume
2026-02-15T23:00:00,2.2771,2.2771,2.2633,2.2711,65
2026-02-16T00:00:00,2.2674,2.2674,2.2665,2.2665,2
2026-02-16T01:00:00,2.2662,2.2666,2.2662,2.2666,2
2026-02-16T02:00:00,2.2633,2.2673,2.262,2.2647,23
2026-02-16T03:00:00,2.2655,2.2665,2.263,2.2657,12
2026-02-16T04:00:00,2.2664,2.2679,2.2638,2.2679,12
2026-02-16T05:00:00,2.265,2.265,2.2644,2.2644,2
2026-02-16T06:00:00,2.2638,2.2681,2.2635,2.2636,8
2026-02-16T07:00:00,2.2651,2.2651,2.2602,2.261,36
2026-02-16T08:00:00,2.2597,2.2624,2.2547,2.2551,34
2026-02-16T09:00:00,2.2564,2.2653,2.2546,2.255,58
2026-02-16T10:00:00,2.2549,2.2731,2.2549,2.2698,98
2026-02-16T11:00:00,2.2708,2.272,2.2673,2.2705,12
2026-02-16T12:00:00,2.2664,2.2713,2.2631,2.2695,87
2026-02-16T13:00:00,2.2704,2.2718,2.2676,2.2706,37
2026-02-16T14:00:00,2.2689,2.2827,2.265,2.2823,81
2026-02-16T15:00:00,2.2813,2.2843,2.276,2.2843,47
2026-02-16T16:00:00,2.285,2.292,2.2842,2.2878,39
2026-02-16T17:00:00,2.2866,2.2929,2.2826,2.2929,66
2026-02-16T18:00:00,2.2922,2.2937,2.291,2.2918,18
2026-02-16T19:00:00,2.2919,2.292,2.2907,2.292,5
2026-02-16T23:00:00,2.2908,2.2914,2.2903,2.2909,7
2026-02-17T00:00:00,2.293,2.2942,2.293,2.2942,8
2026-02-17T01:00:00,2.2909,2.2909,2.2889,2.2889,6
2026-02-17T02:00:00,2.2905,2.2921,2.2876,2.2876,27
2026-02-17T03:00:00,2.2876,2.288,2.2849,2.2874,30
2026-02-17T04:00:00,2.2872,2.2877,2.2862,2.2869,8
2026-02-17T05:00:00,2.2862,2.2872,2.2836,2.2852,19
2026-02-17T06:00:00,2.2857,2.2859,2.2831,2.2832,11
2026-02-17T07:00:00,2.2836,2.2836,2.276,2.2809,54
2026-02-17T08:00:00,2.2811,2.2846,2.2745,2.2779,128
2026-02-17T09:00:00,2.2768,2.2867,2.2749,2.2862,89
2026-02-17T10:00:00,2.2862,2.3006,2.2813,2.3002,214
2026-02-17T11:00:00,2.3009,2.3198,2.3007,2.3095,352
2026-02-17T12:00:00,2.3101,2.3144,2.3031,2.3033,191
2026-02-17T13:00:00,2.3042,2.3047,2.2645,2.2691,854
2026-02-17T14:00:00,2.2683,2.2859,2.2657,2.269,758
2026-02-17T15:00:00,2.2693,2.2821,2.2521,2.2565,673
2026-02-17T16:00:00,2.2567,2.2775,2.2554,2.2736,553
2026-02-17T17:00:00,2.273,2.273,2.2607,2.2672,548
2026-02-17T18:00:00,2.2685,2.2814,2.2674,2.2771,427
2026-02-17T19:00:00,2.2762,2.2806,2.2703,2.2732,648
2026-02-17T20:00:00,2.2731,2.2778,2.2723,2.2732,140
2026-02-17T21:00:00,2.2731,2.277,2.272,2.2742,72
2026-02-17T23:00:00,2.2727,2.2739,2.2727,2.2739,2
2026-02-18T00:00:00,2.2748,2.276,2.272,2.2734,18
2026-02-18T01:00:00,2.2721,2.276,2.2721,2.2744,20
2026-02-18T02:00:00,2.2752,2.2782,2.2752,2.2776,14
2026-02-18T03:00:00,2.2777,2.2802,2.2777,2.2802,4
2026-02-18T04:00:00,2.2802,2.2842,2.2802,2.2842,17
2026-02-18T05:00:00,2.2835,2.2862,2.2828,2.2834,14
2026-02-18T06:00:00,2.284,2.29,2.2824,2.2874,31
2026-02-18T07:00:00,2.2851,2.2881,2.2841,2.2879,65
2026-02-18T08:00:00,2.2878,2.2965,2.2856,2.2896,126
2026-02-18T09:00:00,2.2903,2.2914,2.2822,2.2862,191
2026-02-18T10:00:00,2.2881,2.3071,2.2881,2.3062,208
2026-02-18T11:00:00,2.3065,2.3206,2.3053,2.3192,120
2026-02-18T12:00:00,2.3215,2.3355,2.3133,2.3349,351
2026-02-18T13:00:00,2.3348,2.3374,2.3277,2.3312,404
2026-02-18T14:00:00,2.3307,2.3531,2.3258,2.35,1907
2026-02-18T15:00:00,2.349,2.3508,2.3438,2.345,1180
2026-02-18T16:00:00,2.344,2.3616,2.3429,2.3589,847
2026-02-18T17:00:00,2.3572,2.3738,2.356,2.3707,777
2026-02-18T18:00:00,2.3709,2.3823,2.3658,2.3817,1441
2026-02-18T19:00:00,2.3822,2.3949,2.3804,2.388,1278
2026-02-18T20:00:00,2.3892,2.4009,2.3886,2.3963,225
2026-02-18T21:00:00,2.3951,2.3952,2.3845,2.3862,115
2026-02-18T23:00:00,2.3942,2.3942,2.3848,2.3848,34
2026-02-19T00:00:00,2.3849,2.3868,2.3843,2.3847,46
2026-02-19T01:00:00,2.3874,2.3909,2.383,2.3907,82
2026-02-19T02:00:00,2.3918,2.3943,2.3893,2.3933,98
2026-02-19T03:00:00,2.393,2.3955,2.3915,2.3932,82
2026-02-19T04:00:00,2.3943,2.3943,2.3857,2.3877,76
2026-02-19T05:00:00,2.3911,2.3927,2.3898,2.3908,39
2026-02-19T06:00:00,2.3907,2.3924,2.3875,2.3883,48
2026-02-19T07:00:00,2.3897,2.4009,2.3868,2.4007,134
2026-02-19T08:00:00,2.401,2.415,2.3954,2.4132,247
2026-02-19T09:00:00,2.4129,2.415,2.3933,2.3971,248
2026-02-19T10:00:00,2.3941,2.4073,2.3912,2.406,226
2026-02-19T11:00:00,2.4054,2.4201,2.4031,2.4159,295
2026-02-19T12:00:00,2.4166,2.421,2.4135,2.4166,259
2026-02-19T13:00:00,2.4163,2.4293,2.4099,2.4231,520
2026-02-19T14:00:00,2.4236,2.4278,2.4092,2.4205,961
2026-02-19T15:00:00,2.421,2.4252,2.3836,2.4234,1510
2026-02-19T16:00:00,2.4232,2.4345,2.417,2.4321,1315
2026-02-19T17:00:00,2.434,2.4432,2.434,2.4417,705
2026-02-19T18:00:00,2.4413,2.4516,2.4338,2.4503,865
2026-02-19T19:00:00,2.4503,2.4541,2.4464,2.4541,959
2026-02-19T20:00:00,2.4541,2.4563,2.4514,2.4552,157
2026-02-19T21:00:00,2.4551,2.4588,2.4255,2.4551,430
2026-02-19T23:00:00,2.455,2.455,2.4453,2.4453,12
2026-02-20T00:00:00,2.4426,2.4426,2.4426,2.4426,1
2026-02-20T01:00:00,2.4425,2.4527,2.4425,2.4459,71
2026-02-20T02:00:00,2.4453,2.4545,2.4453,2.4481,77
2026-02-20T03:00:00,2.4495,2.4547,2.447,2.4519,85
2026-02-20T04:00:00,2.4514,2.4535,2.4498,2.4532,24
2026-02-20T05:00:00,2.4535,2.456,2.4521,2.454,21
2026-02-20T06:00:00,2.4553,2.4638,2.452,2.452,53
2026-02-20T07:00:00,2.4511,2.4542,2.4421,2.4421,81
2026-02-20T08:00:00,2.4434,2.4458,2.4317,2.4339,318
2026-02-20T09:00:00,2.4343,2.4547,2.4343,2.4439,205
2026-02-20T10:00:00,2.443,2.4448,2.4333,2.4421,283
2026-02-20T11:00:00,2.4421,2.4593,2.44,2.449,259
2026-02-20T12:00:00,2.4488,2.4598,2.4467,2.4494,494
2026-02-20T13:00:00,2.4512,2.4563,2.4474,2.4561,400
2026-02-20T14:00:00,2.4564,2.4638,2.4459,2.4584,1392
2026-02-20T15:00:00,2.4599,2.4728,2.4324,2.4328,1669
2026-02-20T16:00:00,2.4332,2.4439,2.427,2.433,948
2026-02-20T17:00:00,2.434,2.4416,2.4273,2.4383,632
2026-02-20T18:00:00,2.4383,2.4478,2.4267,2.4283,861
2026-02-20T19:00:00,2.4281,2.4298,2.4201,2.4259,1345
2026-02-20T20:00:00,2.4266,2.4268,2.4197,2.4233,141
2026-02-20T21:00:00,2.4243,2.4258,2.4192,2.4211,81
2026-02-22T23:00:00,2.4215,2.4222,2.3925,2.4136,54
2026-02-23T00:00:00,2.4128,2.4128,2.4025,2.4025,11
2026-02-23T01:00:00,2.4009,2.4133,2.3994,2.4108,65
2026-02-23T02:00:00,2.4122,2.4168,2.412,2.412,53
2026-02-23T03:00:00,2.411,2.4117,2.4069,2.4077,32
2026-02-23T04:00:00,2.4079,2.4079,2.4032,2.4064,16
2026-02-23T05:00:00,2.4043,2.4155,2.4042,2.4142,39
2026-02-23T06:00:00,2.4126,2.4137,2.4083,2.412,31
2026-02-23T07:00:00,2.412,2.4172,2.4084,2.4144,86
2026-02-23T08:00:00,2.4203,2.4265,2.4152,2.4236,193
2026-02-23T09:00:00,2.423,2.4364,2.4206,2.4315,282
2026-02-23T10:00:00,2.4294,2.4356,2.4266,2.4335,149
2026-02-23T11:00:00,2.4316,2.4459,2.4288,2.4439,131
2026-02-23T12:00:00,2.4453,2.4531,2.4429,2.4516,283
2026-02-23T13:00:00,2.4519,2.4596,2.4493,2.4594,320
2026-02-23T14:00:00,2.46,2.483,2.4579,2.4797,1132
2026-02-23T15:00:00,2.4806,2.4853,2.4699,2.4712,683
2026-02-23T16:00:00,2.4701,2.4841,2.451,2.4544,766
2026-02-23T17:00:00,2.4552,2.4575,2.4455,2.4524,474
2026-02-23T18:00:00,2.4514,2.4567,2.4435,2.4554,480
2026-02-23T19:00:00,2.4552,2.462,2.4482,2.4613,1508
2026-02-23T20:00:00,2.4614,2.4663,2.4614,2.4653,447
2026-02-23T21:00:00,2.4654,2.4664,2.4585,2.4588,139
2026-02-23T23:00:00,2.4563,2.458,2.4563,2.458,3
2026-02-24T00:00:00,2.459,2.4593,2.4578,2.4579,9
2026-02-24T01:00:00,2.4575,2.4639,2.4538,2.4625,48
2026-02-24T02:00:00,2.4638,2.4687,2.4606,2.4681,53
2026-02-24T03:00:00,2.4707,2.472,2.4668,2.4697,35
2026-02-24T04:00:00,2.4691,2.4702,2.4681,2.4683,11
2026-02-24T05:00:00,2.4659,2.4728,2.4624,2.4683,36
2026-02-24T06:00:00,2.4668,2.467,2.4596,2.4608,55
2026-02-24T07:00:00,2.4616,2.4623,2.454,2.4566,87
2026-02-24T08:00:00,2.4572,2.4599,2.449,2.4584,164
2026-02-24T09:00:00,2.4589,2.4642,2.4533,2.4629,125
2026-02-24T10:00:00,2.4631,2.4651,2.4533,2.4555,233
2026-02-24T11:00:00,2.4553,2.4584,2.4507,2.4564,201
2026-02-24T12:00:00,2.4543,2.4651,2.4514,2.4588,356
2026-02-24T13:00:00,2.4598,2.4816,2.4598,2.4772,856
2026-02-24T14:00:00,2.4772,2.4795,2.4684,2.4775,1073
2026-02-24T15:00:00,2.4776,2.4815,2.4424,2.452,1792
2026-02-24T16:00:00,2.4521,2.4573,2.4446,2.447,1231
2026-02-24T17:00:00,2.4469,2.461,2.4425,2.4487,754
2026-02-24T18:00:00,2.4499,2.4549,2.4455,2.4523,501
2026-02-24T19:00:00,2.4528,2.4583,2.4416,2.4557,1548
2026-02-24T20:00:00,2.4547,2.4813,2.4529,2.4773,652
2026-02-24T21:00:00,2.4767,2.4779,2.4654,2.4693,154
2026-02-24T23:00:00,2.4694,2.4698,2.4582,2.4601,34
2026-02-25T00:00:00,2.461,2.4668,2.4584,2.4644,22
2026-02-25T01:00:00,2.4634,2.4668,2.4533,2.4558,135
2026-02-25T02:00:00,2.4562,2.4644,2.4547,2.4644,131
2026-02-25T03:00:00,2.4641,2.4724,2.4542,2.4551,94
2026-02-25T04:00:00,2.454,2.459,2.4529,2.4554,23
2026-02-25T05:00:00,2.4547,2.4588,2.4547,2.458,25
2026-02-25T06:00:00,2.457,2.4574,2.4464,2.4574,38
2026-02-25T07:00:00,2.4582,2.4611,2.449,2.4509,100
2026-02-25T08:00:00,2.4525,2.4667,2.4498,2.463,240
2026-02-25T09:00:00,2.4632,2.4632,2.4438,2.4541,139
2026-02-25T10:00:00,2.4511,2.4598,2.4483,2.4513,247
2026-02-25T11:00:00,2.4524,2.4543,2.4457,2.4543,194
2026-02-25T12:00:00,2.4529,2.4717,2.4525,2.4687,620
2026-02-25T13:00:00,2.4672,2.4726,2.45,2.451,441
2026-02-25T14:00:00,2.4512,2.458,2.43,2.4315,1687
2026-02-25T15:00:00,2.4315,2.4406,2.425,2.4364,1422
2026-02-25T16:00:00,2.4364,2.4495,2.4281,2.4492,954
2026-02-25T17:00:00,2.4499,2.4615,2.4457,2.4607,1118
2026-02-25T18:00:00,2.4607,2.4681,2.4581,2.464,859
2026-02-25T19:00:00,2.4635,2.4765,2.4583,2.4763,1617
2026-02-25T20:00:00,2.476,2.477,2.4663,2.4668,264
