datetime,open,high,low,close,volume
2026-02-15T23:00:00,2.2771,2.2771,2.2633,2.2711,65
2026-02-16T00:00:00,2.2674,2.2674,2.2674,2.2674,1
2026-02-16T00:30:00,2.2665,2.2665,2.2665,2.2665,1
2026-02-16T01:00:00,2.2662,2.2666,2.2662,2.2666,2
2026-02-16T02:00:00,2.2633,2.2633,2.262,2.2622,14
2026-02-16T02:30:00,2.2645,2.2673,2.2638,2.2647,9
2026-02-16T03:00:00,2.2655,2.2661,2.2655,2.2658,5
2026-02-16T03:30:00,2.2665,2.2665,2.263,2.2657,7
2026-02-16T04:00:00,2.2664,2.2664,2.2638,2.2648,7
2026-02-16T04:30:00,2.2654,2.2679,2.2654,2.2679,5
2026-02-16T05:30:00,2.265,2.265,2.2644,2.2644,2
2026-02-16T06:00:00,2.2638,2.2681,2.2638,2.2681,4
2026-02-16T06:30:00,2.2663,2.2663,2.2635,2.2636,4
2026-02-16T07:00:00,2.2651,2.2651,2.2602,2.2602,18
2026-02-16T07:30:00,2.2622,2.2636,2.2607,2.261,18
2026-02-16T08:00:00,2.2597,2.2624,2.2564,2.2572,11
2026-02-16T08:30:00,2.256,2.261,2.2547,2.2551,23
2026-02-16T09:00:00,2.2564,2.2653,2.2564,2.2647,16
2026-02-16T09:30:00,2.2623,2.2623,2.2546,2.255,42
2026-02-16T10:00:00,2.2549,2.2647,2.2549,2.2617,16
2026-02-16T10:30:00,2.2615,2.2731,2.261,2.2698,82
2026-02-16T11:00:00,2.2708,2.272,2.2673,2.2673,7
2026-02-16T11:30:00,2.271,2.2713,2.2705,2.2705,5
2026-02-16T12:00:00,2.2664,2.2675,2.2631,2.2651,44
2026-02-16T12:30:00,2.265,2.2713,2.2646,2.2695,43
2026-02-16T13:00:00,2.2704,2.2714,2.2681,2.2701,18
2026-02-16T13:30:00,2.2715,2.2718,2.2676,2.2706,19
2026-02-16T14:00:00,2.2689,2.2812,2.265,2.2812,57
2026-02-16T14:30:00,2.2796,2.2827,2.2796,2.2823,24
2026-02-16T15:00:00,2.2813,2.2813,2.2768,2.2774,11
2026-02-16T15:30:00,2.2774,2.2843,2.276,2.2843,36
2026-02-16T16:00:00,2.285,2.2899,2.2842,2.288,20
2026-02-16T16:30:00,2.2876,2.292,2.2876,2.2878,19
2026-02-16T17:00:00,2.2866,2.2894,2.2839,2.2863,11
2026-02-16T17:30:00,2.2841,2.2929,2.2826,2.2929,55
2026-02-16T18:00:00,2.2922,2.2937,2.2915,2.2928,5
2026-02-16T18:30:00,2.2932,2.2932,2.291,2.2918,13
2026-02-16T19:00:00,2.2919,2.292,2.2907,2.292,5
2026-02-16T23:00:00,2.2908,2.2908,2.2908,2.2908,2
2026-02-16T23:30:00,2.2903,2.2914,2.2903,2.2909,5
2026-02-17T00:30:00,2.293,2.2942,2.293,2.2942,8
2026-02-17T01:30:00,2.2909,2.2909,2.2889,2.2889,6
2026-02-17T02:00:00,2.2905,2.2921,2.2903,2.2911,8
2026-02-17T02:30:00,2.2901,2.2901,2.2876,2.2876,19
2026-02-17T03:00:00,2.2876,2.288,2.2862,2.2862,21
2026-02-17T03:30:00,2.285,2.2876,2.2849,2.2874,9
2026-02-17T04:00:00,2.2872,2.2877,2.2866,2.2866,4
2026-02-17T04:30:00,2.2869,2.2869,2.2862,2.2869,4
2026-02-17T05:00:00,2.2862,2.2872,2.2845,2.2862,11
2026-02-17T05:30:00,2.2843,2.2852,2.2836,2.2852,8
2026-02-17T06:00:00,2.2857,2.2859,2.2854,2.2857,6
2026-02-17T06:30:00,2.2838,2.2838,2.2831,2.2832,5
2026-02-17T07:00:00,2.2836,2.2836,2.276,2.2792,35
2026-02-17T07:30:00,2.2802,2.2819,2.2794,2.2809,19
2026-02-17T08:00:00,2.2811,2.2815,2.2766,2.281,52
2026-02-17T08:30:00,2.2818,2.2846,2.2745,2.2779,76
2026-02-17T09:00:00,2.2768,2.283,2.2749,2.281,35
2026-02-17T09:30:00,2.2783,2.2867,2.2772,2.2862,54
2026-02-17T10:00:00,2.2862,2.2927,2.2813,2.2917,147
2026-02-17T10:30:00,2.2915,2.3006,2.2915,2.3002,67
2026-02-17T11:00:00,2.3009,2.3108,2.3007,2.3078,151
2026-02-17T11:30:00,2.3087,2.3198,2.3049,2.3095,201
2026-02-17T12:00:00,2.3101,2.3144,2.3066,2.3133,90
2026-02-17T12:30:00,2.3116,2.3132,2.3031,2.3033,101
2026-02-17T13:00:00,2.3042,2.3047,2.2922,2.2983,260
2026-02-17T13:30:00,2.2962,2.2988,2.2645,2.2691,594
2026-02-17T14:00:00,2.2683,2.2859,2.2661,2.2749,398
2026-02-17T14:30:00,2.2746,2.2815,2.2657,2.269,360
2026-02-17T15:00:00,2.2693,2.2821,2.256,2.2561,372
2026-02-17T15:30:00,2.2563,2.2603,2.2521,2.2565,301
2026-02-17T16:00:00,2.2567,2.27,2.2554,2.2674,351
2026-02-17T16:30:00,2.2678,2.2775,2.2632,2.2736,202
2026-02-17T17:00:00,2.273,2.273,2.2641,2.268,258
2026-02-17T17:30:00,2.2679,2.2685,2.2607,2.2672,290
2026-02-17T18:00:00,2.2685,2.28,2.2674,2.2784,216
2026-02-17T18:30:00,2.2801,2.2814,2.2751,2.2771,211
2026-02-17T19:00:00,2.2762,2.2806,2.2738,2.2756,582
2026-02-17T19:30:00,2.2761,2.2767,2.2703,2.2732,66
2026-02-17T20:00:00,2.2731,2.2778,2.273,2.2758,87
2026-02-17T20:30:00,2.2758,2.2758,2.2723,2.2732,53
2026-02-17T21:00:00,2.2731,2.2749,2.2728,2.2737,24
2026-02-17T21:30:00,2.2732,2.277,2.272,2.2742,48
2026-02-17T23:00:00,2.2727,2.2727,2.2727,2.2727,1
2026-02-17T23:30:00,2.2739,2.2739,2.2739,2.2739,1
2026-02-18T00:00:00,2.2748,2.276,2.272,2.2729,11
2026-02-18T00:30:00,2.2736,2.2741,2.2732,2.2734,7
2026-02-18T01:00:00,2.2721,2.276,2.2721,2.2739,13
2026-02-18T01:30:00,2.273,2.2746,2.273,2.2744,7
2026-02-18T02:00:00,2.2752,2.2765,2.2752,2.2765,4
2026-02-18T02:30:00,2.2769,2.2782,2.2769,2.2776,10
