datetime,open,high,low,close,volume
2026-02-19T00:00:00,2.3942,2.4588,2.383,2.4551,9336
2026-02-20T00:00:00,2.455,2.4728,2.4192,2.4211,9453
2026-02-23T00:00:00,2.4215,2.4853,2.3925,2.4588,7374
2026-02-24T00:00:00,2.4563,2.4816,2.4416,2.4693,9977
2026-02-25T00:00:00,2.4694,2.477,2.425,2.4694,10499
2026-02-26T00:00:00,2.4702,2.5224,2.4207,2.481,15275
2026-02-27T00:00:00,2.4743,2.5492,2.4672,2.5221,12448
2026-03-02T00:00:00,2.7545,2.8917,2.6627,2.7901,26954
2026-03-03T00:00:00,2.7942,3.1346,2.7795,2.974,25784
2026-03-04T00:00:00,2.9781,3.1688,2.8957,3.0467,18367
2026-03-05T00:00:00,3.045,3.264,3.0369,3.1244,24325
2026-03-06T00:00:00,3.1643,3.3613,3.0738,3.312,20010
2026-03-09T00:00:00,3.422,4.0211,3.0147,3.11,18890
2026-03-10T00:00:00,3.1417,3.3347,2.9378,3.1721,16156
2026-03-11T00:00:00,3.2204,3.5352,3.0534,3.5334,16474
2026-03-12T00:00:00,3.552,3.7352,3.5182,3.7033,15596
2026-03-13T00:00:00,3.7266,3.7486,3.5509,3.713,11946
2026-03-17T00:00:00,3.6246,3.8425,3.6093,3.7923,13449
2026-03-18T00:00:00,3.79,4.1848,3.7145,4.1538,19242
2026-03-19T00:00:00,4.1472,4.35,3.9804,4.1065,28180
2026-03-20T00:00:00,4.1028,4.3308,3.9797,4.2965,19543
2026-03-23T00:00:00,4.379,4.471,3.6937,3.8255,32774
2026-03-24T00:00:00,3.8159,4.065,3.758,3.8718,22114
2026-03-25T00:00:00,3.8524,3.8556,3.6178,3.8347,24168
2026-03-26T00:00:00,3.845,4.1489,3.8091,4.0439,20619
2026-03-27T00:00:00,4.0275,4.3229,4.0051,4.3209,21250
2026-03-30T00:00:00,4.336,4.4315,4.1856,4.2793,21006
2026-03-31T00:00:00,4.2801,4.3497,4.0595,4.0736,22101
2026-04-01T00:00:00,4.124,4.2167,3.947,4.0463,19634
2026-04-02T00:00:00,4.0343,4.6129,3.9858,4.4315,26990
2026-04-06T00:00:00,4.4432,4.5482,4.2779,4.3646,13714
2026-04-07T00:00:00,4.3709,4.5841,4.2908,4.3013,21453
2026-04-08T00:00:00,4.2831,4.2831,3.5994,3.8751,33904
