datetime,open,high,low,close,volume
2026-03-08T22:00:00,1.3346,1.3346,1.3283,1.3291,75
2026-03-09T02:00:00,1.3299,1.3335,1.3289,1.3335,52
2026-03-09T06:00:00,1.332,1.3358,1.3303,1.3341,85
2026-03-09T10:00:00,1.3344,1.338,1.3329,1.3375,59
2026-03-09T14:00:00,1.3368,1.3405,1.336,1.3385,121
2026-03-09T18:00:00,1.3384,1.3448,1.3384,1.3443,179
2026-03-09T22:00:00,1.3438,1.3444,1.342,1.3422,46
2026-03-10T02:00:00,1.3427,1.3435,1.3414,1.3431,82
2026-03-10T06:00:00,1.3436,1.348,1.3434,1.3458,114
2026-03-10T10:00:00,1.3458,1.3467,1.343,1.3448,92
2026-03-10T14:00:00,1.3449,1.348,1.3439,1.3458,132
2026-03-10T18:00:00,1.3451,1.3451,1.341,1.341,124
2026-03-10T22:00:00,1.3417,1.3449,1.3415,1.3449,29
2026-03-11T02:00:00,1.3442,1.3455,1.344,1.3448,31
2026-03-11T06:00:00,1.3448,1.3457,1.3406,1.3416,127
2026-03-11T10:00:00,1.3427,1.3448,1.3396,1.3413,150
2026-03-11T14:00:00,1.342,1.3437,1.3393,1.3399,79
2026-03-11T18:00:00,1.3413,1.3417,1.3412,1.3413,118
2026-03-11T22:00:00,1.3402,1.3402,1.337,1.3395,153
2026-03-12T02:00:00,1.3393,1.3393,1.3361,1.3367,60
2026-03-12T06:00:00,1.3368,1.3395,1.3365,1.3395,84
2026-03-12T10:00:00,1.3396,1.341,1.3359,1.3369,196
2026-03-12T14:00:00,1.3373,1.3378,1.3336,1.336,280
2026-03-12T18:00:00,1.335,1.3361,1.3339,1.3345,66
2026-03-12T22:00:00,1.3352,1.3368,1.3342,1.3354,237
2026-03-13T02:00:00,1.3355,1.3357,1.3327,1.3331,247
2026-03-13T06:00:00,1.3333,1.3333,1.3255,1.3262,785
2026-03-13T10:00:00,1.3264,1.3288,1.3245,1.328,974
2026-03-13T14:00:00,1.3277,1.3282,1.323,1.3244,1225
2026-03-13T18:00:00,1.3245,1.3247,1.3217,1.3222,400
2026-03-15T22:00:00,1.3225,1.3264,1.3224,1.3255,542
2026-03-16T02:00:00,1.3258,1.3264,1.3247,1.3249,182
2026-03-16T06:00:00,1.325,1.3256,1.3231,1.3246,442
2026-03-16T10:00:00,1.3247,1.3282,1.3247,1.3277,323
2026-03-16T14:00:00,1.3299,1.3316,1.329,1.3302,605
2026-03-16T18:00:00,1.3305,1.3339,1.3304,1.3319,622
