datetime,open,high,low,close,volume
2026-03-13T00:00:00,1.3352,1.3368,1.3217,1.3222,3868
2026-03-17T00:00:00,1.3328,1.3364,1.3273,1.3357,3049
2026-03-18T00:00:00,1.3362,1.3374,1.3252,1.3257,3624
2026-03-19T00:00:00,1.3261,1.3464,1.3246,1.3428,7054
2026-03-20T00:00:00,1.3431,1.344,1.3297,1.334,4891
2026-03-23T00:00:00,1.3316,1.3476,1.3255,1.3424,16323
2026-03-24T00:00:00,1.3425,1.3442,1.335,1.3409,7558
2026-03-25T00:00:00,1.3417,1.3432,1.3355,1.3362,5141
2026-03-26T00:00:00,1.336,1.3375,1.3307,1.3327,4440
2026-03-27T00:00:00,1.3335,1.3344,1.3258,1.3259,3411
2026-03-30T00:00:00,1.3252,1.3278,1.3172,1.3181,4852
2026-03-31T00:00:00,1.3182,1.3263,1.3157,1.3224,8486
2026-04-01T00:00:00,1.3225,1.3344,1.3219,1.3305,6472
2026-04-02T00:00:00,1.3306,1.3318,1.318,1.3225,5899
2026-04-03T00:00:00,1.3229,1.3241,1.319,1.3205,1478
