datetime,open,high,low,close,volume
2026-01-20T14:48:00,1.1803,1.1804,1.1803,1.1804,2
2026-01-20T14:52:00,1.1801,1.1801,1.1801,1.1801,1
2026-01-20T15:06:00,1.1806,1.1807,1.1806,1.1807,3
2026-01-20T15:17:00,1.1806,1.1806,1.1806,1.1806,1
2026-01-20T15:20:00,1.1806,1.1806,1.1806,1.1806,1
2026-01-20T15:27:00,1.1805,1.1805,1.1805,1.1805,3
2026-01-20T15:34:00,1.1808,1.1808,1.1808,1.1808,1
2026-01-20T15:40:00,1.181,1.181,1.1809,1.1809,3
2026-01-20T15:50:00,1.1814,1.1814,1.1814,1.1814,1
2026-01-20T15:51:00,1.1816,1.1816,1.1816,1.1816,2
2026-01-20T15:52:00,1.1817,1.1817,1.1817,1.1817,110
2026-01-20T15:54:00,1.1813,1.1813,1.1813,1.1813,5
2026-01-20T15:55:00,1.1814,1.1814,1.1814,1.1814,2
2026-01-20T15:57:00,1.1808,1.1808,1.1808,1.1808,1
2026-01-20T15:58:00,1.1807,1.1807,1.1807,1.1807,3
2026-01-20T16:09:00,1.1815,1.1815,1.1815,1.1815,5
2026-01-20T16:21:00,1.1816,1.1816,1.1816,1.1816,1
2026-01-20T16:34:00,1.181,1.181,1.181,1.181,1
2026-01-20T16:42:00,1.1812,1.1813,1.1812,1.1813,6
2026-01-20T16:46:00,1.1815,1.1815,1.1814,1.1814,2
2026-01-20T16:48:00,1.1815,1.1815,1.1815,1.1815,2
2026-01-20T16:55:00,1.1816,1.1816,1.1816,1.1816,1
2026-01-20T17:01:00,1.182,1.182,1.182,1.182,1
2026-01-20T17:15:00,1.182,1.182,1.1819,1.1819,10
2026-01-20T17:17:00,1.182,1.182,1.182,1.182,5
2026-01-20T17:21:00,1.182,1.182,1.182,1.182,1
2026-01-20T17:36:00,1.1815,1.1815,1.1815,1.1815,2
2026-01-20T17:45:00,1.1813,1.1813,1.1813,1.1813,2
2026-01-20T17:57:00,1.1814,1.1814,1.1814,1.1814,5
2026-01-20T18:04:00,1.1809,1.1809,1.1809,1.1809,1
2026-01-20T18:16:00,1.1813,1.1814,1.1813,1.1814,3
2026-01-20T18:27:00,1.1811,1.1811,1.1811,1.1811,1
2026-01-20T18:34:00,1.1811,1.1811,1.1811,1.1811,2
2026-01-20T18:47:00,1.1811,1.1811,1.1811,1.1811,1
2026-01-20T18:49:00,1.1813,1.1813,1.1813,1.1813,1
2026-01-20T18:55:00,1.1809,1.1809,1.1809,1.1809,1
2026-01-20T19:24:00,1.1804,1.1804,1.1804,1.1804,1
2026-01-20T19:35:00,1.1802,1.1802,1.1802,1.1802,1
2026-01-20T19:40:00,1.18,1.18,1.18,1.18,1
2026-01-20T19:41:00,1.1799,1.1799,1.1799,1.1799,5
2026-01-20T19:51:00,1.1796,1.1796,1.1796,1.1796,2
2026-01-20T19:57:00,1.1794,1.1794,1.1794,1.1794,1
2026-01-20T19:59:00,1.1793,1.1793,1.1793,1.1793,1
2026-01-20T20:08:00,1.1794,1.1794,1.1794,1.1794,1
2026-01-20T20:21:00,1.1794,1.1794,1.1794,1.1794,1
2026-01-20T20:29:00,1.1799,1.1799,1.1798,1.1798,4
2026-01-20T21:24:00,1.1803,1.1803,1.1803,1.1803,1
2026-01-20T21:25:00,1.1803,1.1803,1.1803,1.1803,1
2026-01-20T21:28:00,1.1804,1.1804,1.1804,1.1804,1
2026-01-20T21:43:00,1.1803,1.1803,1.1803,1.1803,1
2026-01-20T21:59:00,1.1805,1.1805,1.1805,1.1805,1
