datetime,open,high,low,close,volume
2025-12-21T23:00:00,1.1811,1.1811,1.1802,1.1811,24
2025-12-22T03:00:00,1.1815,1.1816,1.181,1.1811,44
2025-12-22T07:00:00,1.1812,1.1831,1.181,1.1825,70
2025-12-22T11:00:00,1.183,1.186,1.1828,1.1855,272
2025-12-22T15:00:00,1.1857,1.1864,1.1845,1.1845,112
2025-12-22T19:00:00,1.1846,1.1856,1.1845,1.1856,18
2025-12-22T23:00:00,1.1855,1.1871,1.1855,1.187,292
2025-12-23T03:00:00,1.1869,1.1872,1.1861,1.1862,144
2025-12-23T07:00:00,1.1863,1.189,1.186,1.189,356
2025-12-23T11:00:00,1.189,1.1894,1.1862,1.1863,213
2025-12-23T15:00:00,1.1861,1.1874,1.1857,1.1874,55
2025-12-23T19:00:00,1.1877,1.189,1.1877,1.1888,166
2025-12-23T23:00:00,1.1889,1.19,1.1884,1.1892,390
2025-12-24T03:00:00,1.1889,1.1896,1.1878,1.1896,331
2025-12-24T07:00:00,1.189,1.1893,1.1873,1.1889,701
2025-12-24T11:00:00,1.1886,1.1886,1.1871,1.1871,29
2025-12-24T15:00:00,1.1872,1.1873,1.1866,1.1871,37
2025-12-25T23:00:00,1.1871,1.1886,1.1871,1.1886,105
2025-12-26T03:00:00,1.1879,1.188,1.1865,1.1868,94
2025-12-26T07:00:00,1.1868,1.1869,1.186,1.1869,40
2025-12-26T11:00:00,1.1871,1.1888,1.1869,1.1875,193
2025-12-26T15:00:00,1.1881,1.1884,1.1855,1.1865,57
2025-12-26T19:00:00,1.1872,1.1873,1.1862,1.1862,51
2025-12-28T23:00:00,1.187,1.1877,1.1864,1.1868,128
2025-12-29T03:00:00,1.1866,1.1866,1.1844,1.1859,224
2025-12-29T07:00:00,1.186,1.188,1.1857,1.1857,305
2025-12-29T11:00:00,1.1856,1.1879,1.1848,1.1877,362
2025-12-29T15:00:00,1.1875,1.1877,1.1841,1.1849,194
2025-12-29T19:00:00,1.1857,1.1866,1.1856,1.1864,53
2025-12-29T23:00:00,1.1861,1.1865,1.186,1.1861,129
2025-12-30T03:00:00,1.1859,1.1868,1.1859,1.1867,161
2025-12-30T07:00:00,1.1861,1.1866,1.1856,1.1862,305
2025-12-30T11:00:00,1.1861,1.1865,1.1845,1.1849,335
2025-12-30T15:00:00,1.1851,1.1853,1.1835,1.1837,125
2025-12-30T19:00:00,1.1837,1.1842,1.1833,1.1837,78
2025-12-30T23:00:00,1.1836,1.1836,1.1827,1.1829,111
2025-12-31T03:00:00,1.1828,1.1829,1.1821,1.1825,114
2025-12-31T07:00:00,1.1823,1.1829,1.1806,1.1829,216
2025-12-31T11:00:00,1.1826,1.1845,1.1815,1.1815,560
2025-12-31T15:00:00,1.1813,1.1836,1.1808,1.1822,339
2025-12-31T19:00:00,1.1824,1.1839,1.1824,1.1836,142
2026-01-01T23:00:00,1.1834,1.1848,1.1833,1.1845,265
2026-01-02T03:00:00,1.1848,1.1851,1.183,1.183,241
2026-01-02T07:00:00,1.1831,1.1831,1.1799,1.1801,161
2026-01-02T11:00:00,1.1805,1.1814,1.1802,1.1811,60
2026-01-02T15:00:00,1.1816,1.1839,1.1801,1.1801,161
2026-01-02T19:00:00,1.1801,1.1808,1.18,1.1806,25
2026-01-04T23:00:00,1.1795,1.1798,1.1769,1.1773,296
2026-01-05T03:00:00,1.1774,1.1775,1.1757,1.1774,339
2026-01-05T07:00:00,1.1775,1.1776,1.1758,1.1772,553
2026-01-05T11:00:00,1.1768,1.1771,1.1744,1.177,342
2026-01-05T15:00:00,1.1773,1.181,1.1773,1.181,102
2026-01-05T19:00:00,1.1812,1.1813,1.1805,1.1805,16
2026-01-05T23:00:00,1.1803,1.1821,1.1796,1.1821,78
2026-01-06T03:00:00,1.182,1.1822,1.1812,1.1819,75
2026-01-06T07:00:00,1.1825,1.1825,1.1794,1.1797,54
2026-01-06T11:00:00,1.1792,1.1802,1.1782,1.1796,52
2026-01-06T15:00:00,1.1785,1.1786,1.1768,1.1777,62
2026-01-06T19:00:00,1.177,1.1775,1.1769,1.1773,32
2026-01-06T23:00:00,1.1774,1.1786,1.177,1.1779,46
2026-01-07T03:00:00,1.1783,1.1784,1.1776,1.1777,38
2026-01-07T07:00:00,1.1781,1.1781,1.1758,1.1775,256
2026-01-07T11:00:00,1.1774,1.1782,1.1768,1.1781,45
2026-01-07T15:00:00,1.177,1.1781,1.1767,1.1769,36
2026-01-07T19:00:00,1.1764,1.1766,1.176,1.176,22
2026-01-07T23:00:00,1.1766,1.1766,1.1756,1.1761,246
2026-01-08T03:00:00,1.1762,1.1765,1.1762,1.1764,40
2026-01-08T07:00:00,1.1761,1.1764,1.1752,1.1762,370
2026-01-08T11:00:00,1.1759,1.1759,1.174,1.1741,257
2026-01-08T15:00:00,1.1753,1.1753,1.1728,1.1728,77
2026-01-08T19:00:00,1.1726,1.1745,1.1726,1.1742,19
2026-01-08T23:00:00,1.1736,1.1743,1.173,1.1735,67
2026-01-09T03:00:00,1.1736,1.174,1.1732,1.1735,217
2026-01-09T07:00:00,1.173,1.1733,1.172,1.1728,106
2026-01-09T11:00:00,1.1728,1.1742,1.1707,1.1719,230
2026-01-09T15:00:00,1.1712,1.1725,1.1703,1.1721,134
2026-01-09T19:00:00,1.1719,1.1721,1.1713,1.1715,15
2026-01-11T23:00:00,1.1718,1.1752,1.1705,1.1737,875
2026-01-12T03:00:00,1.1742,1.1755,1.1737,1.1755,187
2026-01-12T07:00:00,1.1757,1.1778,1.1757,1.1768,309
2026-01-12T11:00:00,1.177,1.1781,1.1758,1.1761,245
2026-01-12T15:00:00,1.1757,1.1767,1.1748,1.175,75
2026-01-12T19:00:00,1.1755,1.1755,1.1746,1.1748,50
2026-01-12T23:00:00,1.1748,1.1752,1.1739,1.1741,312
2026-01-13T03:00:00,1.1739,1.1749,1.1737,1.1739,480
2026-01-13T07:00:00,1.1742,1.1755,1.1742,1.1755,250
2026-01-13T11:00:00,1.175,1.1759,1.1733,1.1743,718
2026-01-13T15:00:00,1.1745,1.1745,1.1717,1.1732,207
2026-01-13T19:00:00,1.1731,1.1733,1.1729,1.1729,4
2026-01-13T23:00:00,1.1733,1.1733,1.1719,1.1726,231
2026-01-14T03:00:00,1.1726,1.1731,1.1724,1.1728,236
2026-01-14T07:00:00,1.1732,1.1737,1.1724,1.1737,208
2026-01-14T11:00:00,1.1735,1.1742,1.1727,1.1742,108
2026-01-14T15:00:00,1.1735,1.1744,1.1721,1.1721,183
2026-01-14T19:00:00,1.1719,1.1728,1.1718,1.1728,77
2026-01-14T23:00:00,1.1725,1.1726,1.1713,1.172,316
2026-01-15T03:00:00,1.1719,1.1721,1.1709,1.1712,300
2026-01-15T07:00:00,1.1716,1.1719,1.1706,1.1717,250
2026-01-15T11:00:00,1.1716,1.1716,1.1711,1.1711,182
2026-01-15T15:00:00,1.1683,1.1694,1.1678,1.1693,277
2026-01-15T19:00:00,1.1694,1.1696,1.1682,1.169,34
2026-01-15T23:00:00,1.1687,1.1691,1.1685,1.1691,212
2026-01-16T03:00:00,1.1688,1.1692,1.1684,1.1684,119
2026-01-16T07:00:00,1.1691,1.1697,1.1688,1.1694,57
2026-01-16T11:00:00,1.1694,1.1703,1.1691,1.17,92
2026-01-16T15:00:00,1.1703,1.1706,1.1665,1.1677,622
2026-01-16T19:00:00,1.1674,1.1682,1.1674,1.1679,71
2026-01-18T23:00:00,1.1673,1.1717,1.1671,1.1697,382
2026-01-19T03:00:00,1.1695,1.1714,1.1695,1.1709,188
2026-01-19T07:00:00,1.1707,1.172,1.1691,1.1704,472
2026-01-19T11:00:00,1.1701,1.1723,1.1701,1.1721,277
2026-01-19T15:00:00,1.1723,1.1729,1.1715,1.1726,234
2026-01-19T19:00:00,1.1722,1.1726,1.1722,1.1723,5
2026-01-19T23:00:00,1.1718,1.1725,1.1713,1.1725,211
2026-01-20T03:00:00,1.173,1.175,1.173,1.1748,328
2026-01-20T07:00:00,1.1746,1.1811,1.1746,1.1803,963
2026-01-20T11:00:00,1.1804,1.185,1.1796,1.1801,1140
2026-01-20T15:00:00,1.1806,1.182,1.1805,1.1809,190
2026-01-20T19:00:00,1.1804,1.1805,1.1793,1.1805,23
2026-01-20T23:00:00,1.1808,1.1813,1.1798,1.1806,214
2026-01-21T03:00:00,1.1807,1.1807,1.1791,1.1804,138
2026-01-21T07:00:00,1.1799,1.1805,1.1783,1.1786,95
2026-01-21T11:00:00,1.1785,1.1823,1.1785,1.1805,458
2026-01-21T15:00:00,1.1799,1.1799,1.1775,1.1777,85
2026-01-21T19:00:00,1.1775,1.1784,1.1756,1.1768,126
2026-01-21T23:00:00,1.1764,1.1771,1.1748,1.1762,255
2026-01-22T03:00:00,1.1765,1.1774,1.1763,1.1765,46
2026-01-22T07:00:00,1.177,1.1774,1.1761,1.177,190
2026-01-22T11:00:00,1.1772,1.1802,1.177,1.1801,270
2026-01-22T15:00:00,1.1802,1.1829,1.1802,1.1825,344
2026-01-22T19:00:00,1.1823,1.1834,1.1819,1.1833,84
2026-01-22T23:00:00,1.1836,1.1837,1.1821,1.1821,143
2026-01-23T03:00:00,1.1825,1.1832,1.1819,1.1819,101
2026-01-23T07:00:00,1.182,1.1823,1.1807,1.1811,290
2026-01-23T11:00:00,1.1813,1.1825,1.181,1.1825,194
2026-01-23T15:00:00,1.1827,1.1876,1.1827,1.1863,745
2026-01-23T19:00:00,1.1873,1.191,1.1871,1.1902,268
2026-01-25T23:00:00,1.1914,1.1975,1.1914,1.1943,1068
2026-01-26T03:00:00,1.1944,1.1946,1.1929,1.1929,368
2026-01-26T07:00:00,1.1935,1.1944,1.1915,1.1933,489
2026-01-26T11:00:00,1.1938,1.1957,1.1913,1.1957,915
2026-01-26T15:00:00,1.1957,1.1984,1.1949,1.1957,329
2026-01-26T19:00:00,1.1953,1.1964,1.195,1.1957,32
2026-01-26T23:00:00,1.2,1.2,1.1951,1.1971,577
2026-01-27T03:00:00,1.197,1.197,1.1948,1.1949,710
2026-01-27T07:00:00,1.195,1.1967,1.1929,1.1967,690
2026-01-27T11:00:00,1.1967,1.2032,1.1964,1.2023,3322
2026-01-27T15:00:00,1.2023,1.2068,1.2023,1.2062,3935
2026-01-27T19:00:00,1.2055,1.2159,1.205,1.2115,1194
2026-01-27T23:00:00,1.2129,1.2129,1.2065,1.2077,1999
2026-01-28T03:00:00,1.2075,1.2083,1.2053,1.2072,908
2026-01-28T07:00:00,1.2076,1.2102,1.2049,1.2067,1428
