datetime,open,high,low,close,volume
2025-12-24T00:00:00,1.1889,1.19,1.1866,1.1871,1488
2025-12-26T00:00:00,1.1871,1.1888,1.1855,1.1862,540
2025-12-29T00:00:00,1.187,1.188,1.1841,1.1864,1266
2025-12-30T00:00:00,1.1861,1.1868,1.1833,1.1837,1133
2025-12-31T00:00:00,1.1836,1.1845,1.1806,1.1836,1482
2026-01-02T00:00:00,1.1834,1.1851,1.1799,1.1806,913
2026-01-05T00:00:00,1.1795,1.1813,1.1744,1.1805,1648
2026-01-06T00:00:00,1.1803,1.1825,1.1768,1.1773,353
2026-01-07T00:00:00,1.1774,1.1786,1.1758,1.176,443
2026-01-08T00:00:00,1.1766,1.1766,1.1726,1.1742,1009
2026-01-09T00:00:00,1.1736,1.1743,1.1703,1.1715,769
2026-01-12T00:00:00,1.1718,1.1781,1.1705,1.1748,1741
2026-01-13T00:00:00,1.1748,1.1759,1.1717,1.1729,1971
2026-01-14T00:00:00,1.1733,1.1744,1.1718,1.1728,1043
2026-01-16T00:00:00,1.1687,1.1706,1.1665,1.1679,1173
2026-01-19T00:00:00,1.1673,1.1729,1.1671,1.1723,1558
2026-01-20T00:00:00,1.1718,1.185,1.1713,1.1805,2855
2026-01-21T00:00:00,1.1808,1.1823,1.1756,1.1768,1116
2026-01-22T00:00:00,1.1764,1.1834,1.1748,1.1833,1189
2026-01-23T00:00:00,1.1836,1.191,1.1807,1.1902,1741
2026-01-26T00:00:00,1.1914,1.1984,1.1913,1.1957,3201
2026-01-27T00:00:00,1.2,1.2159,1.1929,1.2115,10428
2026-01-28T00:00:00,1.2129,1.2129,1.1975,1.2027,6361
2026-01-29T00:00:00,1.203,1.2072,1.1983,1.2046,2352
2026-01-30T00:00:00,1.2047,1.2051,1.1925,1.1927,2317
2026-02-02T00:00:00,1.1914,1.1948,1.1849,1.1863,2632
2026-02-03T00:00:00,1.186,1.1902,1.1854,1.1895,1096
2026-02-04T00:00:00,1.1891,1.191,1.1862,1.1875,990
2026-02-05T00:00:00,1.1877,1.1894,1.1844,1.1845,1167
2026-02-06T00:00:00,1.1854,1.1895,1.1835,1.1884,1560
2026-02-09T00:00:00,1.1914,1.1995,1.1881,1.1984,2184
2026-02-10T00:00:00,1.1984,1.1996,1.1955,1.1964,1322
2026-02-11T00:00:00,1.1959,1.1994,1.1902,1.194,1348
2026-02-12T00:00:00,1.194,1.1957,1.192,1.1938,1306
2026-02-13T00:00:00,1.1936,1.195,1.1914,1.1935,1048
2026-02-16T00:00:00,1.1932,1.1936,1.1913,1.1917,1341
2026-02-17T00:00:00,1.1916,1.1921,1.187,1.1921,1656
2026-02-18T00:00:00,1.192,1.1922,1.1846,1.1849,1261
2026-02-19T00:00:00,1.1854,1.187,1.1806,1.1845,2438
2026-02-20T00:00:00,1.1837,1.1874,1.1805,1.1847,2836
2026-02-23T00:00:00,1.1832,1.1898,1.1832,1.1848,1602
2026-02-24T00:00:00,1.1853,1.1859,1.1828,1.1835,951
2026-02-25T00:00:00,1.1833,1.1875,1.1833,1.187,1339
2026-02-26T00:00:00,1.1868,1.1888,1.1834,1.1857,2046
2026-02-27T00:00:00,1.1857,1.1886,1.1849,1.1875,3382
2026-03-02T00:00:00,1.1835,1.1855,1.1731,1.1747,6976
2026-03-03T00:00:00,1.1743,1.1766,1.1588,1.1671,6160
2026-03-04T00:00:00,1.1675,1.1711,1.1634,1.1691,3285
2026-03-05T00:00:00,1.1693,1.1702,1.1614,1.1663,5991
2026-03-06T00:00:00,1.1661,1.1676,1.1601,1.1674,6164
2026-03-09T00:00:00,1.161,1.1692,1.1561,1.1688,8865
2026-03-10T00:00:00,1.1689,1.1721,1.1659,1.1665,6017
2026-03-11T00:00:00,1.1665,1.1698,1.1614,1.162,5924
2026-03-12T00:00:00,1.162,1.1625,1.1562,1.1562,9572
2026-03-13T00:00:00,1.1561,1.1581,1.146,1.147,29745
2026-03-17T00:00:00,1.1555,1.1596,1.1516,1.1591,24423
2026-03-18T00:00:00,1.1588,1.1605,1.1498,1.1502,29581
2026-03-19T00:00:00,1.1511,1.1665,1.1491,1.1634,42740
2026-03-20T00:00:00,1.1634,1.1642,1.1571,1.1619,28328
2026-03-23T00:00:00,1.1597,1.1687,1.1531,1.1659,63150
2026-03-24T00:00:00,1.1659,1.1674,1.1602,1.1651,28849
2026-03-25T00:00:00,1.1657,1.1676,1.16,1.1602,29816
2026-03-26T00:00:00,1.16,1.1615,1.1562,1.1573,25896
