datetime,open,high,low,close,volume
2026-01-20T13:30:00,59.55,59.6,59.53,59.57,97
2026-01-20T14:00:00,59.57,60.27,59.51,60.26,3647
2026-01-20T14:30:00,60.25,60.5,60.12,60.4,3938
2026-01-20T15:00:00,60.39,60.51,60.27,60.46,1769
2026-01-20T15:30:00,60.46,60.49,59.99,60.06,2463
2026-01-20T16:00:00,60.04,60.31,60.02,60.22,1909
2026-01-20T16:30:00,60.26,60.36,60.21,60.31,864
2026-01-20T17:00:00,60.31,60.44,60.31,60.34,676
2026-01-20T17:30:00,60.33,60.4,60.23,60.39,805
2026-01-20T18:00:00,60.4,60.48,60.18,60.29,747
2026-01-20T18:30:00,60.27,60.36,60.17,60.26,553
2026-01-20T19:00:00,60.26,60.41,60.09,60.35,1515
2026-01-20T19:30:00,60.35,60.35,59.89,59.94,1728
2026-01-20T20:00:00,59.94,60.01,59.71,59.72,1733
2026-01-20T20:30:00,59.73,59.74,59.33,59.48,3133
2026-01-20T21:00:00,59.47,59.6,59.44,59.49,871
2026-01-20T21:30:00,59.48,59.56,59.37,59.51,1552
2026-01-20T23:00:00,59.64,59.68,59.47,59.59,725
2026-01-20T23:30:00,59.59,59.85,59.57,59.64,934
2026-01-21T00:00:00,59.63,59.65,59.45,59.56,563
2026-01-21T00:30:00,59.55,59.71,59.53,59.67,452
2026-01-21T01:00:00,59.66,59.74,59.47,59.73,715
2026-01-21T01:30:00,59.73,59.78,59.64,59.76,437
2026-01-21T02:00:00,59.75,59.89,59.7,59.75,655
2026-01-21T02:30:00,59.75,59.77,59.66,59.77,461
2026-01-21T03:00:00,59.76,59.88,59.76,59.85,561
2026-01-21T03:30:00,59.84,59.84,59.72,59.74,297
2026-01-21T04:00:00,59.73,59.81,59.71,59.79,267
2026-01-21T04:30:00,59.78,59.8,59.68,59.72,254
2026-01-21T05:00:00,59.72,59.84,59.71,59.82,429
2026-01-21T05:30:00,59.82,59.91,59.76,59.82,348
2026-01-21T06:00:00,59.82,59.93,59.76,59.78,410
2026-01-21T06:30:00,59.78,59.87,59.67,59.86,630
2026-01-21T07:00:00,59.85,59.85,59.56,59.78,1042
2026-01-21T07:30:00,59.75,59.78,59.46,59.57,1319
2026-01-21T08:00:00,59.58,59.76,59.47,59.62,1435
2026-01-21T08:30:00,59.63,59.7,59.27,59.31,1623
2026-01-21T09:00:00,59.32,59.81,59.23,59.65,2340
2026-01-21T09:30:00,59.67,59.89,59.55,59.87,1562
2026-01-21T10:00:00,59.87,60.05,59.82,59.98,1391
2026-01-21T10:30:00,59.98,60.05,59.7,59.91,1304
2026-01-21T11:00:00,59.91,60.41,59.9,60.4,2458
2026-01-21T11:30:00,60.41,60.6,60.26,60.37,2625
2026-01-21T12:00:00,60.38,60.6,60.38,60.45,1326
2026-01-21T12:30:00,60.42,60.54,60.34,60.5,1423
2026-01-21T13:00:00,60.51,60.81,60.44,60.77,1869
2026-01-21T13:30:00,60.8,60.88,60.31,60.33,3093
2026-01-21T14:00:00,60.34,60.5,60.13,60.27,2630
2026-01-21T14:30:00,60.3,60.48,60.21,60.33,1789
2026-01-21T15:00:00,60.33,60.37,60.06,60.2,2754
2026-01-21T15:30:00,60.21,60.55,60.2,60.5,1978
2026-01-21T16:00:00,60.48,60.64,60.31,60.4,2320
2026-01-21T16:30:00,60.4,60.59,60.28,60.45,1698
2026-01-21T17:00:00,60.45,60.51,60.25,60.39,883
2026-01-21T17:30:00,60.4,60.44,60.32,60.39,347
2026-01-21T18:00:00,60.4,60.72,60.38,60.67,1383
2026-01-21T18:30:00,60.63,60.79,60.6,60.68,1026
2026-01-21T19:00:00,60.65,60.67,60.42,60.59,1499
2026-01-21T19:30:00,60.59,60.7,60.5,60.64,817
2026-01-21T20:00:00,60.64,60.66,60.52,60.6,604
2026-01-21T20:30:00,60.6,60.71,60.57,60.68,463
2026-01-21T21:00:00,60.66,60.72,60.61,60.66,325
2026-01-21T21:30:00,60.65,60.73,60.62,60.68,415
2026-01-21T23:00:00,60.68,60.68,60.5,60.53,508
2026-01-21T23:30:00,60.55,60.57,60.4,60.49,532
2026-01-22T00:00:00,60.51,60.52,60.46,60.5,214
2026-01-22T00:30:00,60.5,60.57,60.49,60.51,233
2026-01-22T01:00:00,60.52,60.79,60.48,60.74,1058
2026-01-22T01:30:00,60.73,60.75,60.64,60.71,896
2026-01-22T02:00:00,60.7,60.77,60.66,60.71,350
2026-01-22T02:30:00,60.71,60.76,60.56,60.75,664
2026-01-22T03:00:00,60.74,60.79,60.7,60.76,300
2026-01-22T03:30:00,60.74,60.81,60.74,60.77,246
2026-01-22T04:00:00,60.76,60.81,60.74,60.76,403
2026-01-22T04:30:00,60.76,60.81,60.72,60.78,235
2026-01-22T05:00:00,60.76,60.76,60.67,60.7,182
2026-01-22T05:30:00,60.72,60.8,60.72,60.72,290
2026-01-22T06:00:00,60.71,60.71,60.59,60.61,416
2026-01-22T06:30:00,60.62,60.67,60.52,60.63,561
2026-01-22T07:00:00,60.63,60.66,60.43,60.47,779
2026-01-22T07:30:00,60.47,60.49,60.36,60.45,945
2026-01-22T08:00:00,60.43,60.52,60.39,60.45,792
2026-01-22T08:30:00,60.45,60.59,60.3,60.37,1262
2026-01-22T09:00:00,60.37,60.39,60.16,60.18,1408
2026-01-22T09:30:00,60.18,60.21,60.01,60.07,1365
2026-01-22T10:00:00,60.05,60.15,59.74,59.94,2007
2026-01-22T10:30:00,59.9,60.05,59.79,59.85,1046
2026-01-22T11:00:00,59.85,59.93,59.53,59.71,1709
2026-01-22T11:30:00,59.69,59.82,59.48,59.74,1920
2026-01-22T12:00:00,59.76,59.78,59.6,59.7,1016
2026-01-22T12:30:00,59.72,59.73,59.42,59.46,1449
2026-01-22T13:00:00,59.47,59.7,59.31,59.68,2069
2026-01-22T13:30:00,59.68,59.78,59.59,59.7,1352
2026-01-22T14:00:00,59.67,60.0,59.65,59.93,2650
