datetime,open,high,low,close,volume
2025-06-01T22:00:00,61.02,62.51,60.89,62.36,10045
2025-06-02T02:00:00,62.35,62.72,62.29,62.49,5388
2025-06-02T06:00:00,62.5,63.12,62.28,63.1,10477
2025-06-02T10:00:00,63.1,63.88,62.63,62.66,21236
2025-06-02T14:00:00,62.65,63.23,62.45,62.92,16216
2025-06-02T18:00:00,62.95,63.19,62.19,63.04,9043
2025-06-02T22:00:00,63.0,63.25,62.88,63.02,3425
2025-06-03T02:00:00,63.02,63.09,62.68,62.72,2292
2025-06-03T06:00:00,62.71,63.19,62.5,62.52,5872
2025-06-03T10:00:00,62.51,63.47,62.41,63.08,13841
2025-06-03T14:00:00,63.1,63.88,63.1,63.51,18594
2025-06-03T18:00:00,63.51,63.6,63.3,63.34,3349
2025-06-03T22:00:00,63.35,63.45,63.16,63.35,2273
2025-06-04T02:00:00,63.34,63.35,63.07,63.16,2291
2025-06-04T06:00:00,63.16,63.71,63.04,63.69,7813
2025-06-04T10:00:00,63.68,63.84,62.87,63.68,15906
2025-06-04T14:00:00,63.68,63.95,62.18,62.68,28648
2025-06-04T18:00:00,62.66,63.07,62.62,62.73,3905
2025-06-04T22:00:00,62.74,62.8,62.54,62.76,2678
2025-06-05T02:00:00,62.77,62.8,62.51,62.68,2015
2025-06-05T06:00:00,62.68,63.15,62.63,63.03,6683
2025-06-05T10:00:00,63.03,63.99,62.9,63.79,13923
2025-06-05T14:00:00,63.79,63.91,63.21,63.39,13939
2025-06-05T18:00:00,63.39,63.45,63.22,63.26,3251
2025-06-05T22:00:00,63.26,63.47,63.13,63.21,2037
2025-06-06T02:00:00,63.18,63.23,63.02,63.09,1821
2025-06-06T06:00:00,63.08,63.31,62.82,63.21,5905
2025-06-06T10:00:00,63.2,64.72,63.16,64.54,15915
2025-06-06T14:00:00,64.54,64.81,64.05,64.44,15757
2025-06-06T18:00:00,64.44,64.94,64.35,64.77,4555
2025-06-08T22:00:00,64.75,64.95,64.49,64.57,3686
2025-06-09T02:00:00,64.57,64.62,64.46,64.54,1720
2025-06-09T06:00:00,64.56,64.77,64.2,64.71,5591
2025-06-09T10:00:00,64.69,65.11,64.35,64.49,11577
2025-06-09T14:00:00,64.51,65.27,64.48,64.92,13511
2025-06-09T18:00:00,64.91,65.43,64.89,65.38,4598
2025-06-09T22:00:00,65.35,65.61,65.26,65.58,2671
2025-06-10T02:00:00,65.58,65.66,65.28,65.38,3411
2025-06-10T06:00:00,65.36,65.65,65.15,65.41,5827
2025-06-10T10:00:00,65.41,65.93,65.33,65.93,10951
2025-06-10T14:00:00,65.93,66.28,65.11,65.24,17891
2025-06-10T18:00:00,65.22,65.29,64.57,64.75,7313
2025-06-10T22:00:00,64.79,64.9,64.61,64.86,2869
2025-06-11T02:00:00,64.86,65.07,64.77,65.04,2043
2025-06-11T06:00:00,65.06,65.7,64.66,65.67,9116
2025-06-11T10:00:00,65.66,66.48,65.61,66.44,15941
2025-06-11T14:00:00,66.43,67.35,65.98,67.24,18760
2025-06-11T18:00:00,67.23,68.36,67.18,68.29,14245
2025-06-11T22:00:00,68.82,69.24,67.71,67.85,12868
2025-06-12T02:00:00,67.83,67.98,67.63,67.69,4474
2025-06-12T06:00:00,67.69,67.81,67.03,67.15,10305
2025-06-12T10:00:00,67.16,67.59,66.72,67.49,14752
2025-06-12T14:00:00,67.48,68.48,67.41,68.35,23777
2025-06-12T18:00:00,68.38,68.89,67.84,68.84,5949
2025-06-12T22:00:00,68.93,74.35,68.48,73.47,63371
2025-06-13T02:00:00,73.46,77.62,73.16,73.19,98841
2025-06-13T06:00:00,73.21,73.72,70.85,73.71,55332
2025-06-13T10:00:00,73.71,74.38,72.32,72.44,41531
2025-06-13T14:00:00,72.46,73.32,71.48,73.16,37381
2025-06-13T18:00:00,73.17,74.03,72.67,73.18,24765
2025-06-15T22:00:00,76.72,77.95,72.93,74.06,37291
2025-06-16T02:00:00,74.1,74.15,73.29,73.54,11315
2025-06-16T06:00:00,73.54,73.91,72.23,72.43,17846
2025-06-16T10:00:00,72.44,72.84,69.85,70.05,34679
2025-06-16T14:00:00,70.05,72.09,69.37,71.59,42839
2025-06-16T18:00:00,71.58,72.0,71.12,71.47,7822
2025-06-16T22:00:00,71.25,73.7,70.82,72.53,13433
2025-06-17T02:00:00,72.54,73.4,71.91,72.18,5967
2025-06-17T06:00:00,72.15,73.03,71.17,72.78,7586
2025-06-17T10:00:00,72.78,73.73,72.31,73.55,9188
2025-06-17T14:00:00,73.56,74.56,73.0,74.43,13909
2025-06-17T18:00:00,74.45,75.58,74.31,75.42,4597
2025-06-17T22:00:00,75.19,75.77,74.72,74.83,1234
2025-06-18T02:00:00,74.79,75.35,74.33,74.92,608
2025-06-18T06:00:00,74.91,75.03,73.74,74.22,685
2025-06-18T10:00:00,74.29,76.09,74.24,75.88,1405
2025-06-18T14:00:00,75.93,75.95,72.95,74.77,2128
2025-06-18T18:00:00,74.74,75.34,74.71,75.25,102
2025-07-13T22:00:00,67.3,67.59,67.0,67.03,371
2025-07-14T02:00:00,67.05,67.26,67.01,67.18,189
2025-07-14T06:00:00,67.12,67.9,67.01,67.89,960
2025-07-14T10:00:00,67.93,68.15,66.85,66.88,1550
2025-07-14T14:00:00,66.87,66.96,65.77,65.79,2314
2025-07-14T18:00:00,65.8,66.0,65.63,65.69,733
2025-07-14T22:00:00,65.74,65.84,65.54,65.68,720
2025-07-15T02:00:00,65.68,65.72,65.4,65.66,718
2025-07-15T06:00:00,65.61,65.95,65.1,65.52,2357
2025-07-15T10:00:00,65.5,66.03,65.4,65.6,1779
2025-07-15T14:00:00,65.61,66.05,65.22,65.35,2566
2025-07-15T18:00:00,65.37,65.63,65.3,65.53,600
2025-07-15T22:00:00,65.63,65.79,65.42,65.77,463
2025-07-16T02:00:00,65.76,65.76,65.51,65.6,505
2025-07-16T06:00:00,65.57,65.77,64.96,65.12,1647
2025-07-16T10:00:00,65.1,65.27,64.56,64.67,3026
2025-07-16T14:00:00,64.66,65.48,64.38,65.45,5249
2025-07-16T18:00:00,65.46,65.57,65.11,65.4,1299
2025-07-16T22:00:00,65.47,65.71,65.32,65.51,1030
2025-07-17T02:00:00,65.5,65.66,65.41,65.48,731
2025-07-17T06:00:00,65.5,65.51,65.02,65.25,2689
2025-07-17T10:00:00,65.26,65.75,65.14,65.35,4472
2025-07-17T14:00:00,65.35,66.17,65.15,65.97,5412
2025-07-17T18:00:00,65.97,66.36,65.97,66.31,1681
2025-07-17T22:00:00,66.3,66.4,66.15,66.21,2139
2025-07-18T02:00:00,66.22,66.61,66.12,66.43,2462
2025-07-18T06:00:00,66.43,67.16,66.36,67.05,8838
2025-07-18T10:00:00,67.06,67.54,66.63,66.92,13478
2025-07-18T14:00:00,66.93,67.26,65.94,65.99,20050
2025-07-18T18:00:00,65.98,66.22,65.92,66.02,3241
2025-07-20T22:00:00,66.05,66.3,65.98,66.16,3792
2025-07-21T02:00:00,66.15,66.43,66.05,66.3,2416
2025-07-21T06:00:00,66.3,66.39,65.59,65.91,8730
2025-07-21T10:00:00,65.9,66.16,65.47,65.51,12437
2025-07-21T14:00:00,65.51,66.02,65.22,65.97,18574
2025-07-21T18:00:00,65.98,66.04,65.72,65.77,3912
2025-07-21T22:00:00,65.77,65.86,65.39,65.41,2646
2025-07-22T02:00:00,65.41,65.55,65.18,65.45,4352
2025-07-22T06:00:00,65.45,65.72,65.03,65.3,8216
2025-07-22T10:00:00,65.3,65.79,64.92,65.03,16075
2025-07-22T14:00:00,65.06,65.38,64.83,65.12,17051
2025-07-22T18:00:00,65.1,65.65,64.98,65.47,5820
2025-07-22T22:00:00,65.47,65.77,65.42,65.5,3134
2025-07-23T02:00:00,65.51,65.65,65.41,65.51,1970
2025-07-23T06:00:00,65.5,65.52,64.91,64.96,8660
2025-07-23T10:00:00,64.96,65.26,64.74,64.86,12589
2025-07-23T14:00:00,64.87,65.34,64.7,65.2,16009
2025-07-23T18:00:00,65.2,65.51,65.15,65.42,4409
2025-07-23T22:00:00,65.42,65.59,65.38,65.44,2087
2025-07-24T02:00:00,65.45,65.63,65.35,65.42,2267
2025-07-24T06:00:00,65.44,66.32,65.42,66.16,14074
2025-07-24T10:00:00,66.17,66.2,65.61,66.0,12872
2025-07-24T14:00:00,66.01,66.39,65.32,65.44,24770
2025-07-24T18:00:00,65.43,66.27,65.41,66.16,6249
2025-07-24T22:00:00,66.18,66.42,66.05,66.37,2816
2025-07-25T02:00:00,66.37,66.57,66.11,66.54,4057
2025-07-25T06:00:00,66.5,66.73,66.06,66.25,8017
2025-07-25T10:00:00,66.24,66.56,65.81,65.85,11000
2025-07-25T14:00:00,65.86,65.93,65.06,65.14,16805
2025-07-25T18:00:00,65.15,65.25,65.01,65.06,4708
2025-07-27T22:00:00,65.13,65.56,65.05,65.38,4590
2025-07-28T02:00:00,65.37,65.63,65.29,65.51,2718
2025-07-28T06:00:00,65.52,65.83,65.26,65.79,6894
2025-07-28T10:00:00,65.78,67.06,65.73,66.82,21517
2025-07-28T14:00:00,66.8,66.95,66.22,66.56,12888
2025-07-28T18:00:00,66.55,67.14,66.41,66.98,5440
2025-07-28T22:00:00,66.96,67.17,66.67,66.68,2625
