datetime,open,high,low,close,volume
2025-06-02T00:00:00,61.02,63.88,60.89,63.04,72405
2025-06-03T00:00:00,63.0,63.88,62.41,63.34,47373
2025-06-04T00:00:00,63.35,63.95,62.18,62.73,60836
2025-06-05T00:00:00,62.74,63.99,62.51,63.26,42489
2025-06-06T00:00:00,63.26,64.94,62.82,64.77,45990
2025-06-09T00:00:00,64.75,65.43,64.2,65.38,40683
2025-06-10T00:00:00,65.35,66.28,64.57,64.75,48064
2025-06-11T00:00:00,64.79,68.36,64.61,68.29,62974
2025-06-12T00:00:00,68.82,69.24,66.72,68.84,72125
2025-06-13T00:00:00,68.93,77.62,68.48,73.18,321221
2025-06-16T00:00:00,76.72,77.95,69.37,71.47,151792
2025-06-17T00:00:00,71.25,75.58,70.82,75.42,54680
2025-06-18T00:00:00,75.19,76.09,72.95,75.25,6162
2025-07-17T00:00:00,65.47,66.36,65.02,66.31,16015
2025-07-18T00:00:00,66.3,67.54,65.92,66.02,50208
2025-07-21T00:00:00,66.05,66.43,65.22,65.77,49861
2025-07-22T00:00:00,65.77,65.86,64.83,65.47,54160
2025-07-23T00:00:00,65.47,65.77,64.7,65.42,46771
2025-07-24T00:00:00,65.42,66.39,65.32,66.16,62319
2025-07-25T00:00:00,66.18,66.73,65.01,65.06,47403
2025-07-28T00:00:00,65.13,67.14,65.05,66.98,54047
2025-07-29T00:00:00,66.96,69.76,66.53,69.26,68729
2025-07-30T00:00:00,69.21,70.48,68.46,70.29,63677
2025-07-31T00:00:00,70.32,70.42,68.54,69.38,54381
2025-08-18T00:00:00,62.23,63.02,61.46,62.58,39125
2025-08-19T00:00:00,62.57,62.73,61.65,61.99,40242
2025-08-20T00:00:00,62.0,63.02,61.83,62.86,43482
2025-08-21T00:00:00,62.86,63.68,62.52,63.48,42365
2025-08-22T00:00:00,63.44,63.92,63.3,63.77,39027
2025-08-25T00:00:00,63.85,65.1,63.54,64.74,34070
2025-08-26T00:00:00,64.7,64.87,63.14,63.31,41924
2025-08-27T00:00:00,63.35,64.23,62.96,63.86,41406
2025-08-28T00:00:00,63.89,64.69,63.36,64.3,43261
2025-08-29T00:00:00,64.3,64.55,63.87,64.0,32478
2025-09-17T00:00:00,64.25,64.31,63.35,63.63,11112
2025-09-18T00:00:00,63.62,64.2,63.02,63.3,37851
2025-09-19T00:00:00,63.27,63.37,62.21,62.36,38054
2025-09-22T00:00:00,62.31,63.0,61.62,62.34,40468
2025-09-23T00:00:00,62.31,63.88,61.85,63.64,46173
2025-09-24T00:00:00,63.65,65.05,63.25,64.83,39349
2025-09-25T00:00:00,64.8,65.33,64.06,65.23,41989
2025-09-26T00:00:00,65.22,66.42,64.66,65.18,47532
2025-09-29T00:00:00,65.13,65.4,62.95,63.18,56066
2025-09-30T00:00:00,63.18,63.28,62.04,62.44,52647
2025-10-14T00:00:00,59.11,59.38,57.3,58.18,8173
2025-10-15T00:00:00,58.08,58.93,57.77,58.32,6883
2025-10-16T00:00:00,58.29,58.64,56.77,56.97,17852
2025-10-17T00:00:00,57.13,57.32,56.15,57.24,37697
2025-10-20T00:00:00,57.31,57.5,55.97,56.94,43548
2025-10-21T00:00:00,56.94,58.12,56.35,57.56,56378
2025-10-22T00:00:00,57.63,59.83,57.33,59.35,59705
2025-10-23T00:00:00,59.9,62.2,59.63,61.75,93180
2025-10-24T00:00:00,61.8,62.59,61.23,61.42,52375
2025-10-27T00:00:00,61.74,62.2,60.68,61.53,56737
2025-10-28T00:00:00,61.51,61.51,59.76,60.17,56350
2025-10-29T00:00:00,60.19,61.05,59.69,60.36,46314
2025-10-30T00:00:00,60.38,60.45,59.95,60.18,6300
2025-10-31T00:00:00,60.37,61.4,59.98,60.89,48904
2025-11-17T00:00:00,59.78,60.3,59.2,59.68,13725
2025-11-18T00:00:00,59.72,60.83,59.27,60.6,34649
2025-11-19T00:00:00,60.57,60.7,58.67,59.4,51497
2025-11-20T00:00:00,59.4,60.09,58.58,58.78,51430
2025-11-21T00:00:00,58.79,58.93,57.38,58.0,52372
2025-11-24T00:00:00,58.01,59.07,57.42,58.89,40809
2025-11-25T00:00:00,58.88,58.98,57.1,58.1,55239
2025-11-26T00:00:00,57.96,58.72,57.66,58.54,35197
2025-11-28T00:00:00,58.55,59.17,58.28,59.07,20118
2025-12-16T00:00:00,56.74,56.74,54.9,55.07,16493
2025-12-17T00:00:00,55.12,56.81,55.08,56.73,39223
2025-12-18T00:00:00,56.78,56.86,55.73,55.91,36728
2025-12-19T00:00:00,55.92,56.72,55.61,56.56,32419
2025-12-22T00:00:00,56.61,58.14,56.52,57.96,33931
2025-12-23T00:00:00,57.99,58.56,57.71,58.45,24701
2025-12-24T00:00:00,58.42,58.75,58.12,58.38,19749
2025-12-26T00:00:00,58.39,58.87,56.66,56.91,30723
2025-12-29T00:00:00,57.02,58.31,56.9,57.83,31637
2025-12-30T00:00:00,57.85,58.47,57.54,57.95,21150
2025-12-31T00:00:00,57.93,58.55,57.2,57.45,27984
2026-01-14T00:00:00,60.9,62.2,59.1,61.05,36276
2026-01-15T00:00:00,61.39,61.5,58.75,59.16,54366
2026-01-16T00:00:00,59.19,60.07,58.8,59.24,49000
2026-01-19T00:00:00,58.99,59.57,58.53,59.42,37028
2026-01-20T00:00:00,59.42,60.51,58.72,59.51,52601
2026-01-21T00:00:00,59.64,60.88,59.23,60.68,53879
2026-01-22T00:00:00,60.68,60.81,58.94,59.66,49993
2026-01-23T00:00:00,59.66,61.37,59.52,61.3,46961
2026-01-26T00:00:00,61.26,61.71,60.31,60.83,55865
2026-01-27T00:00:00,60.88,62.62,60.15,62.56,62132
2026-01-28T00:00:00,62.54,63.56,62.07,63.49,60043
2026-01-29T00:00:00,63.46,66.47,63.28,65.51,91855
2026-01-30T00:00:00,65.51,66.11,63.64,65.74,92792
2026-02-17T00:00:00,63.57,63.96,61.75,62.19,23944
2026-02-18T00:00:00,62.26,65.44,62.05,64.93,49381
2026-02-19T00:00:00,64.99,66.9,64.77,66.69,84595
2026-02-20T00:00:00,66.66,67.04,65.82,66.36,67062
2026-02-23T00:00:00,65.91,67.28,65.34,66.29,64890
2026-02-24T00:00:00,66.28,67.14,65.55,66.1,75025
2026-02-25T00:00:00,66.11,66.6,65.12,65.56,62152
2026-02-26T00:00:00,65.51,66.72,63.56,65.47,128177
2026-02-27T00:00:00,65.4,67.82,64.85,67.36,101031
2026-03-13T00:00:00,94.97,97.34,91.03,97.34,58156
2026-03-16T00:00:00,98.51,100.2,91.84,93.08,87434
2026-03-17T00:00:00,93.33,97.63,92.8,95.3,134777
2026-03-18T00:00:00,95.15,99.77,91.45,99.07,431194
2026-03-19T00:00:00,98.25,100.49,92.11,94.59,711914
2026-03-20T00:00:00,94.54,98.77,92.45,98.25,411227
