datetime,open,high,low,close,volume
2026-02-22T23:00:00,5.926,5.9645,5.926,5.962,470
2026-02-23T00:00:00,5.962,5.962,5.9325,5.933,252
2026-02-23T01:00:00,5.9325,5.943,5.91,5.92,412
2026-02-23T02:00:00,5.9165,5.9165,5.8825,5.896,356
2026-02-23T03:00:00,5.8955,5.9015,5.877,5.8925,203
2026-02-23T04:00:00,5.892,5.892,5.883,5.8855,89
2026-02-23T05:00:00,5.886,5.8865,5.8725,5.8825,147
2026-02-23T06:00:00,5.8795,5.89,5.87,5.8725,120
2026-02-23T07:00:00,5.87,5.89,5.87,5.888,160
2026-02-23T08:00:00,5.888,5.888,5.868,5.8725,136
2026-02-23T09:00:00,5.879,5.8985,5.8705,5.8945,148
2026-02-23T10:00:00,5.894,5.904,5.885,5.898,236
2026-02-23T11:00:00,5.899,5.9,5.8845,5.8855,78
2026-02-23T12:00:00,5.885,5.885,5.8595,5.868,286
2026-02-23T13:00:00,5.868,5.877,5.8425,5.8475,335
2026-02-23T14:00:00,5.846,5.8825,5.8435,5.8775,344
2026-02-23T15:00:00,5.875,5.878,5.842,5.844,288
2026-02-23T16:00:00,5.842,5.852,5.8175,5.835,540
2026-02-23T17:00:00,5.836,5.845,5.8115,5.8415,270
2026-02-23T18:00:00,5.841,5.8575,5.838,5.851,319
2026-02-23T19:00:00,5.8485,5.855,5.846,5.848,72
2026-02-23T20:00:00,5.848,5.8585,5.846,5.8555,73
2026-02-23T21:00:00,5.86,5.8675,5.858,5.858,76
2026-02-23T23:00:00,5.858,5.869,5.858,5.862,171
2026-02-24T00:00:00,5.8615,5.87,5.846,5.8685,357
2026-02-24T01:00:00,5.867,5.9355,5.8625,5.914,1993
2026-02-24T02:00:00,5.913,5.9625,5.912,5.9605,702
2026-02-24T03:00:00,5.962,5.9625,5.936,5.939,373
2026-02-24T04:00:00,5.939,5.942,5.933,5.9385,171
2026-02-24T05:00:00,5.937,5.9545,5.931,5.953,387
2026-02-24T06:00:00,5.9525,5.963,5.9265,5.9305,577
2026-02-24T07:00:00,5.93,5.9335,5.907,5.91,748
2026-02-24T08:00:00,5.911,5.924,5.9005,5.9155,556
2026-02-24T09:00:00,5.9155,5.929,5.913,5.9215,286
2026-02-24T10:00:00,5.9225,5.929,5.918,5.923,139
2026-02-24T11:00:00,5.9225,5.939,5.918,5.9255,374
2026-02-24T12:00:00,5.9255,5.948,5.919,5.946,483
2026-02-24T13:00:00,5.949,5.9835,5.921,5.922,1444
2026-02-24T14:00:00,5.9215,5.966,5.915,5.9495,1298
2026-02-24T15:00:00,5.95,5.9725,5.943,5.97,668
2026-02-24T16:00:00,5.972,5.9825,5.9585,5.976,493
2026-02-24T17:00:00,5.977,5.9975,5.9755,5.9915,429
2026-02-24T18:00:00,5.9895,5.991,5.972,5.973,300
2026-02-24T19:00:00,5.9735,5.9735,5.945,5.9555,390
2026-02-24T20:00:00,5.9555,5.977,5.951,5.9635,316
2026-02-24T21:00:00,5.9645,5.966,5.954,5.954,184
2026-02-24T23:00:00,5.961,5.9685,5.95,5.962,471
2026-02-25T00:00:00,5.963,5.9685,5.955,5.968,354
2026-02-25T01:00:00,5.9675,6.003,5.9665,5.983,1668
2026-02-25T02:00:00,5.9815,6.023,5.9815,6.017,1396
2026-02-25T03:00:00,6.0165,6.025,6.0015,6.0125,737
2026-02-25T04:00:00,6.0115,6.012,5.9965,5.9975,450
2026-02-25T05:00:00,5.9975,6.035,5.996,6.0215,1029
2026-02-25T06:00:00,6.02,6.032,6.0045,6.0265,985
2026-02-25T07:00:00,6.0245,6.0305,6.004,6.008,507
2026-02-25T08:00:00,6.007,6.031,6.006,6.0255,606
2026-02-25T09:00:00,6.0245,6.045,6.0135,6.0285,1578
2026-02-25T10:00:00,6.0285,6.03,6.0075,6.008,456
2026-02-25T11:00:00,6.0075,6.0245,5.99,6.023,761
2026-02-25T12:00:00,6.022,6.035,6.0115,6.033,741
2026-02-25T13:00:00,6.0335,6.05,6.009,6.014,1691
2026-02-25T14:00:00,6.013,6.025,5.998,6.0215,1393
2026-02-25T15:00:00,6.0215,6.031,6.0105,6.024,863
2026-02-25T16:00:00,6.025,6.0435,6.0225,6.041,957
2026-02-25T17:00:00,6.041,6.0505,6.029,6.0435,716
2026-02-25T18:00:00,6.043,6.0445,6.043,6.0445,6
2026-02-25T19:00:00,6.0435,6.06,6.02,6.053,392
2026-02-25T20:00:00,6.0515,6.0685,6.029,6.0325,703
2026-02-25T21:00:00,6.033,6.05,6.032,6.0445,366
2026-02-25T23:00:00,6.0395,6.0525,6.0375,6.0405,496
2026-02-26T00:00:00,6.0405,6.054,6.036,6.0475,487
2026-02-26T01:00:00,6.047,6.047,6.023,6.031,1074
2026-02-26T02:00:00,6.031,6.04,5.983,6.0105,1558
2026-02-26T03:00:00,6.011,6.027,6.009,6.0185,565
2026-02-26T04:00:00,6.0185,6.037,6.0185,6.032,452
2026-02-26T05:00:00,6.0325,6.0425,6.023,6.034,646
2026-02-26T06:00:00,6.0335,6.0515,6.025,6.0465,793
2026-02-26T07:00:00,6.0475,6.048,6.0205,6.0295,658
2026-02-26T08:00:00,6.029,6.029,5.9965,6.0165,1172
2026-02-26T09:00:00,6.016,6.0375,6.015,6.032,585
2026-02-26T10:00:00,6.0325,6.0465,6.022,6.024,639
2026-02-26T11:00:00,6.026,6.044,6.019,6.02,541
2026-02-26T12:00:00,6.022,6.045,6.01,6.04,1115
2026-02-26T13:00:00,6.04,6.045,6.007,6.029,1366
2026-02-26T14:00:00,6.0265,6.034,6.0085,6.0235,1520
2026-02-26T15:00:00,6.0225,6.036,5.965,6.0355,2705
2026-02-26T16:00:00,6.0365,6.06,6.0285,6.0365,1230
2026-02-26T17:00:00,6.037,6.05,6.002,6.0065,995
2026-02-26T18:00:00,6.006,6.018,5.9965,6.0145,620
2026-02-26T19:00:00,6.016,6.031,6.0155,6.026,410
2026-02-26T20:00:00,6.026,6.037,6.0245,6.0335,211
2026-02-26T21:00:00,6.0325,6.0355,6.021,6.024,198
2026-02-26T23:00:00,6.031,6.0375,6.014,6.0165,282
2026-02-27T00:00:00,6.016,6.027,6.006,6.014,438
2026-02-27T01:00:00,6.013,6.03,5.9975,6.03,934
2026-02-27T02:00:00,6.031,6.0545,6.0305,6.0525,1367
2026-02-27T03:00:00,6.0515,6.0575,6.0315,6.0415,814
2026-02-27T04:00:00,6.042,6.05,6.0375,6.0435,297
2026-02-27T05:00:00,6.044,6.07,6.044,6.058,912
2026-02-27T06:00:00,6.0565,6.119,6.052,6.108,2535
2026-02-27T07:00:00,6.1085,6.1315,6.1065,6.1135,1272
2026-02-27T08:00:00,6.113,6.127,6.0995,6.1075,947
2026-02-27T09:00:00,6.1085,6.129,6.1035,6.1155,658
2026-02-27T10:00:00,6.1145,6.1275,6.0995,6.123,633
2026-02-27T11:00:00,6.1245,6.133,6.114,6.123,579
2026-02-27T12:00:00,6.123,6.138,6.113,6.126,899
2026-02-27T13:00:00,6.1265,6.1415,6.076,6.0895,2463
2026-02-27T14:00:00,6.0905,6.099,6.068,6.0845,1799
2026-02-27T15:00:00,6.0825,6.097,6.0735,6.082,1088
2026-02-27T16:00:00,6.081,6.0835,6.0485,6.059,1269
2026-02-27T17:00:00,6.06,6.073,6.0525,6.0595,688
2026-02-27T18:00:00,6.0585,6.059,6.032,6.0375,786
2026-02-27T19:00:00,6.04,6.047,6.032,6.035,319
2026-02-27T20:00:00,6.035,6.054,6.035,6.053,485
2026-02-27T21:00:00,6.051,6.0665,6.05,6.059,482
2026-03-01T23:00:00,6.053,6.0895,6.01,6.0525,2245
2026-03-02T00:00:00,6.0555,6.068,6.046,6.0615,584
2026-03-02T01:00:00,6.0625,6.0895,6.011,6.0325,2987
2026-03-02T02:00:00,6.0315,6.049,5.9945,6.0475,1363
2026-03-02T03:00:00,6.044,6.061,6.039,6.052,492
2026-03-02T04:00:00,6.052,6.056,6.0305,6.0335,259
2026-03-02T05:00:00,6.033,6.078,6.026,6.0695,782
2026-03-02T06:00:00,6.069,6.0855,6.0605,6.072,638
2026-03-02T07:00:00,6.07,6.095,6.056,6.074,1042
2026-03-02T08:00:00,6.0755,6.0755,6.0105,6.0625,1739
2026-03-02T09:00:00,6.057,6.0785,6.0475,6.067,758
2026-03-02T10:00:00,6.0675,6.0755,6.051,6.0565,404
2026-03-02T11:00:00,6.0595,6.0675,6.0425,6.0445,409
2026-03-02T12:00:00,6.0475,6.0505,6.0155,6.024,920
2026-03-02T13:00:00,6.0255,6.0405,6.0005,6.0165,1223
2026-03-02T14:00:00,6.015,6.015,5.9425,5.963,3617
2026-03-02T15:00:00,5.961,5.9805,5.9455,5.956,1528
2026-03-02T16:00:00,5.954,5.965,5.936,5.943,1360
2026-03-02T17:00:00,5.9415,5.951,5.9265,5.9475,1041
2026-03-02T18:00:00,5.948,5.951,5.937,5.939,382
2026-03-02T19:00:00,5.9385,5.972,5.9385,5.9715,540
2026-03-02T20:00:00,5.9715,5.984,5.961,5.968,712
2026-03-02T21:00:00,5.9685,5.97,5.962,5.9655,196
2026-03-02T23:00:00,5.9635,5.974,5.9625,5.967,260
2026-03-03T00:00:00,5.966,5.97,5.961,5.9675,243
2026-03-03T01:00:00,5.9665,6.0065,5.95,5.95,2167
2026-03-03T02:00:00,5.949,5.992,5.9415,5.992,1430
2026-03-03T03:00:00,5.992,6.0115,5.986,6.0,807
2026-03-03T04:00:00,5.9995,6.0015,5.978,5.981,437
2026-03-03T05:00:00,5.9775,5.9995,5.916,5.919,2313
2026-03-03T06:00:00,5.9225,5.958,5.8975,5.95,2540
2026-03-03T07:00:00,5.948,5.9555,5.9225,5.9345,976
2026-03-03T08:00:00,5.931,5.931,5.7875,5.8015,5353
2026-03-03T09:00:00,5.805,5.8185,5.7695,5.7915,2829
2026-03-03T10:00:00,5.7905,5.8265,5.7895,5.8105,1717
2026-03-03T11:00:00,5.808,5.812,5.7465,5.7945,3650
2026-03-03T12:00:00,5.7925,5.8415,5.7805,5.8365,2059
2026-03-03T13:00:00,5.8365,5.858,5.8165,5.835,3098
2026-03-03T14:00:00,5.836,5.8515,5.777,5.7815,2754
2026-03-03T15:00:00,5.782,5.8305,5.77,5.828,2529
2026-03-03T16:00:00,5.8285,5.8725,5.824,5.853,1825
2026-03-03T17:00:00,5.8495,5.852,5.821,5.823,1112
2026-03-03T18:00:00,5.824,5.871,5.8215,5.8595,820
2026-03-03T19:00:00,5.86,5.8675,5.8375,5.859,500
2026-03-03T20:00:00,5.859,5.872,5.83,5.842,657
2026-03-03T21:00:00,5.842,5.845,5.83,5.834,234
2026-03-03T23:00:00,5.8385,5.852,5.8,5.8465,441
2026-03-04T00:00:00,5.846,5.856,5.8265,5.8545,581
2026-03-04T01:00:00,5.854,5.869,5.842,5.868,1488
2026-03-04T02:00:00,5.866,5.9285,5.8655,5.894,1909
2026-03-04T03:00:00,5.8935,5.9285,5.881,5.9235,1175
2026-03-04T04:00:00,5.924,5.927,5.893,5.898,517
2026-03-04T05:00:00,5.899,5.9165,5.891,5.8965,669
2026-03-04T06:00:00,5.8965,5.907,5.884,5.89,687
2026-03-04T07:00:00,5.8895,5.935,5.8875,5.9175,1029
2026-03-04T08:00:00,5.917,5.9515,5.9095,5.9375,1097
2026-03-04T09:00:00,5.936,5.952,5.9245,5.9425,887
2026-03-04T10:00:00,5.943,5.967,5.925,5.93,1342
2026-03-04T11:00:00,5.9285,5.9435,5.9195,5.9275,945
2026-03-04T12:00:00,5.928,5.9465,5.886,5.9135,2109
2026-03-04T13:00:00,5.913,5.936,5.896,5.8975,1849
2026-03-04T14:00:00,5.8945,5.916,5.874,5.8755,2290
2026-03-04T15:00:00,5.875,5.919,5.8725,5.897,2239
2026-03-04T16:00:00,5.8975,5.928,5.8815,5.9255,1264
2026-03-04T17:00:00,5.9255,5.926,5.8985,5.909,939
2026-03-04T18:00:00,5.9075,5.911,5.889,5.896,446
2026-03-04T19:00:00,5.8975,5.9085,5.8965,5.9065,210
2026-03-04T20:00:00,5.906,5.907,5.889,5.897,223
2026-03-04T21:00:00,5.897,5.9075,5.8945,5.9045,198
2026-03-04T23:00:00,5.9035,5.9155,5.902,5.9095,265
2026-03-05T00:00:00,5.9065,5.947,5.9015,5.9385,924
2026-03-05T01:00:00,5.9355,5.953,5.9135,5.9235,1435
2026-03-05T02:00:00,5.9225,5.9425,5.915,5.9345,1022
2026-03-05T03:00:00,5.9365,5.9475,5.886,5.888,1465
2026-03-05T04:00:00,5.891,5.9035,5.8815,5.891,679
2026-03-05T05:00:00,5.8935,5.9075,5.8375,5.8375,1622
2026-03-05T06:00:00,5.8375,5.875,5.823,5.87,2030
2026-03-05T07:00:00,5.87,5.879,5.847,5.867,836
2026-03-05T08:00:00,5.869,5.872,5.8185,5.834,1294
2026-03-05T09:00:00,5.8335,5.8865,5.819,5.8645,2401
2026-03-05T10:00:00,5.864,5.868,5.83,5.8325,635
2026-03-05T11:00:00,5.834,5.8435,5.8165,5.828,1146
2026-03-05T12:00:00,5.8295,5.8395,5.8105,5.8225,1060
2026-03-05T13:00:00,5.8215,5.8245,5.793,5.7995,1849
2026-03-05T14:00:00,5.797,5.8225,5.772,5.8185,2215
2026-03-05T15:00:00,5.8205,5.8555,5.7995,5.855,2424
2026-03-05T16:00:00,5.8545,5.8575,5.8185,5.8375,1440
2026-03-05T17:00:00,5.839,5.8535,5.802,5.8045,1649
2026-03-05T18:00:00,5.804,5.819,5.793,5.8035,671
2026-03-05T19:00:00,5.802,5.8095,5.785,5.795,388
2026-03-05T20:00:00,5.794,5.8265,5.7925,5.826,590
2026-03-05T21:00:00,5.8255,5.829,5.817,5.829,321
2026-03-05T23:00:00,5.829,5.843,5.829,5.836,366
2026-03-06T00:00:00,5.8365,5.843,5.828,5.8315,508
2026-03-06T01:00:00,5.83,5.8605,5.8085,5.8575,1637
2026-03-06T02:00:00,5.858,5.88,5.8505,5.861,945
2026-03-06T03:00:00,5.861,5.877,5.861,5.8715,477
2026-03-06T04:00:00,5.869,5.871,5.858,5.8585,275
2026-03-06T05:00:00,5.8575,5.868,5.833,5.8525,537
2026-03-06T06:00:00,5.85,5.8595,5.8385,5.8515,431
2026-03-06T07:00:00,5.8505,5.861,5.837,5.8505,519
2026-03-06T08:00:00,5.851,5.881,5.8495,5.8645,987
2026-03-06T09:00:00,5.864,5.864,5.807,5.813,1350
2026-03-06T10:00:00,5.8145,5.8235,5.8,5.819,631
2026-03-06T11:00:00,5.818,5.8235,5.784,5.792,996
2026-03-06T12:00:00,5.7955,5.8205,5.792,5.796,1032
2026-03-06T13:00:00,5.7945,5.829,5.7795,5.783,2268
2026-03-06T14:00:00,5.782,5.817,5.7805,5.8155,1614
2026-03-06T15:00:00,5.8145,5.8415,5.7905,5.804,2224
2026-03-06T16:00:00,5.8045,5.8335,5.8025,5.8075,1086
2026-03-06T17:00:00,5.808,5.832,5.804,5.8075,805
2026-03-06T18:00:00,5.8065,5.8205,5.804,5.812,463
2026-03-06T19:00:00,5.8135,5.8295,5.8135,5.827,305
2026-03-06T20:00:00,5.828,5.8445,5.82,5.8375,545
2026-03-06T21:00:00,5.8355,5.844,5.8305,5.8305,278
2026-03-08T22:00:00,5.8295,5.8295,5.694,5.719,2964
2026-03-08T23:00:00,5.7205,5.727,5.63,5.665,2377
2026-03-09T00:00:00,5.665,5.719,5.656,5.6965,1569
2026-03-09T01:00:00,5.7005,5.725,5.673,5.7025,1837
2026-03-09T02:00:00,5.7,5.782,5.6935,5.7525,1688
2026-03-09T03:00:00,5.7535,5.7625,5.742,5.7575,354
2026-03-09T04:00:00,5.757,5.7625,5.748,5.748,148
2026-03-09T05:00:00,5.748,5.782,5.7395,5.7635,726
2026-03-09T06:00:00,5.765,5.786,5.7545,5.761,681
2026-03-09T07:00:00,5.7585,5.762,5.732,5.74,779
2026-03-09T08:00:00,5.7425,5.768,5.7325,5.7585,557
2026-03-09T09:00:00,5.7585,5.806,5.75,5.7645,1049
2026-03-09T10:00:00,5.766,5.7765,5.751,5.7585,250
2026-03-09T11:00:00,5.763,5.766,5.737,5.7425,351
2026-03-09T12:00:00,5.743,5.778,5.738,5.7625,600
2026-03-09T13:00:00,5.764,5.795,5.76,5.7625,1404
2026-03-09T14:00:00,5.7635,5.7985,5.7575,5.794,1085
2026-03-09T15:00:00,5.7955,5.841,5.795,5.8265,1700
2026-03-09T16:00:00,5.83,5.8575,5.829,5.8495,1233
2026-03-09T17:00:00,5.849,5.8555,5.821,5.8225,623
2026-03-09T18:00:00,5.824,5.834,5.8195,5.8235,406
2026-03-09T19:00:00,5.824,5.894,5.8235,5.89,1267
2026-03-09T20:00:00,5.8885,5.904,5.887,5.9,599
2026-03-09T22:00:00,5.9015,5.9115,5.88,5.898,585
2026-03-09T23:00:00,5.8975,5.905,5.8845,5.887,450
2026-03-10T00:00:00,5.8855,5.9055,5.8795,5.8865,716
2026-03-10T01:00:00,5.886,5.9165,5.8615,5.916,1908
2026-03-10T02:00:00,5.917,5.935,5.899,5.903,1036
2026-03-10T03:00:00,5.903,5.9155,5.8905,5.8985,556
2026-03-10T04:00:00,5.897,5.904,5.8935,5.897,162
2026-03-10T05:00:00,5.8975,5.9105,5.8915,5.908,417
2026-03-10T06:00:00,5.908,5.92,5.906,5.911,445
2026-03-10T07:00:00,5.915,5.94,5.907,5.94,792
2026-03-10T08:00:00,5.9385,5.9435,5.9245,5.9305,689
2026-03-10T09:00:00,5.931,5.958,5.93,5.945,781
2026-03-10T10:00:00,5.9425,5.9425,5.895,5.908,1134
2026-03-10T11:00:00,5.9085,5.921,5.8955,5.8995,709
2026-03-10T12:00:00,5.8995,5.901,5.8715,5.897,1367
2026-03-10T13:00:00,5.8965,5.935,5.8895,5.9265,1474
2026-03-10T14:00:00,5.93,5.941,5.916,5.9405,1023
2026-03-10T15:00:00,5.939,5.9575,5.9325,5.9505,803
2026-03-10T16:00:00,5.9505,5.9545,5.93,5.9535,454
2026-03-10T17:00:00,5.953,5.962,5.945,5.9515,574
2026-03-10T18:00:00,5.9515,5.952,5.914,5.9235,836
2026-03-10T19:00:00,5.924,5.9385,5.914,5.917,343
2026-03-10T20:00:00,5.919,5.922,5.915,5.9175,206
2026-03-10T22:00:00,5.916,5.9295,5.916,5.92,191
2026-03-10T23:00:00,5.92,5.9245,5.918,5.9235,132
2026-03-11T00:00:00,5.924,5.9415,5.9235,5.94,371
2026-03-11T01:00:00,5.9395,5.9405,5.921,5.926,524
2026-03-11T02:00:00,5.9255,5.943,5.9205,5.934,482
2026-03-11T03:00:00,5.936,5.9405,5.9225,5.936,232
2026-03-11T04:00:00,5.935,5.942,5.933,5.94,106
2026-03-11T05:00:00,5.9405,5.9425,5.917,5.9225,462
2026-03-11T06:00:00,5.9245,5.935,5.888,5.89,757
2026-03-11T07:00:00,5.892,5.901,5.8675,5.875,690
2026-03-11T08:00:00,5.8775,5.8775,5.8405,5.8525,964
2026-03-11T09:00:00,5.8555,5.8635,5.8375,5.851,610
2026-03-11T10:00:00,5.852,5.873,5.852,5.8625,485
2026-03-11T11:00:00,5.8635,5.874,5.8455,5.8475,428
2026-03-11T12:00:00,5.8475,5.864,5.835,5.838,865
2026-03-11T13:00:00,5.8385,5.882,5.8375,5.882,1115
2026-03-11T14:00:00,5.88,5.91,5.874,5.8965,928
2026-03-11T15:00:00,5.8995,5.903,5.872,5.8745,401
2026-03-11T16:00:00,5.873,5.8935,5.8695,5.8905,511
2026-03-11T17:00:00,5.8895,5.8935,5.8585,5.88,392
2026-03-11T18:00:00,5.8825,5.8985,5.878,5.894,299
2026-03-11T19:00:00,5.896,5.928,5.894,5.922,538
2026-03-11T20:00:00,5.9235,5.9235,5.902,5.906,277
2026-03-11T22:00:00,5.91,5.915,5.8815,5.884,452
2026-03-11T23:00:00,5.883,5.889,5.8745,5.879,284
2026-03-12T00:00:00,5.879,5.8955,5.879,5.887,375
2026-03-12T01:00:00,5.8865,5.891,5.87,5.8825,852
2026-03-12T02:00:00,5.882,5.891,5.834,5.835,948
2026-03-12T03:00:00,5.834,5.8485,5.8315,5.8395,399
2026-03-12T04:00:00,5.84,5.844,5.8215,5.8225,606
2026-03-12T05:00:00,5.8235,5.848,5.823,5.8435,401
2026-03-12T06:00:00,5.8445,5.869,5.8435,5.866,463
2026-03-12T07:00:00,5.865,5.889,5.859,5.8885,652
2026-03-12T08:00:00,5.89,5.9005,5.8845,5.892,699
2026-03-12T09:00:00,5.894,5.904,5.8855,5.9015,715
2026-03-12T10:00:00,5.901,5.902,5.8815,5.8865,405
2026-03-12T11:00:00,5.8865,5.899,5.88,5.899,469
2026-03-12T12:00:00,5.8995,5.902,5.867,5.885,836
2026-03-12T13:00:00,5.885,5.89,5.8485,5.85,965
2026-03-12T14:00:00,5.8505,5.866,5.838,5.8465,832
2026-03-12T15:00:00,5.847,5.8665,5.8285,5.8655,1256
2026-03-12T16:00:00,5.8665,5.88,5.8545,5.8675,743
2026-03-12T17:00:00,5.8665,5.868,5.842,5.8475,370
2026-03-12T18:00:00,5.8495,5.8545,5.8345,5.8395,374
2026-03-12T19:00:00,5.838,5.8445,5.8295,5.8325,592
2026-03-12T20:00:00,5.8315,5.8325,5.8055,5.822,650
2026-03-12T22:00:00,5.8155,5.8325,5.8155,5.8325,185
2026-03-12T23:00:00,5.832,5.835,5.8285,5.829,177
2026-03-13T00:00:00,5.828,5.8425,5.825,5.839,262
2026-03-13T01:00:00,5.839,5.8565,5.8375,5.849,577
2026-03-13T02:00:00,5.849,5.855,5.826,5.829,366
2026-03-13T03:00:00,5.8305,5.838,5.8195,5.8295,346
2026-03-13T04:00:00,5.827,5.832,5.818,5.824,276
2026-03-13T05:00:00,5.824,5.8265,5.798,5.806,920
2026-03-13T06:00:00,5.805,5.811,5.7935,5.8025,513
2026-03-13T07:00:00,5.803,5.8035,5.7835,5.787,594
2026-03-13T08:00:00,5.783,5.8015,5.768,5.798,988
2026-03-13T09:00:00,5.799,5.813,5.789,5.797,466
2026-03-13T10:00:00,5.796,5.821,5.796,5.809,427
2026-03-13T11:00:00,5.8135,5.8175,5.7965,5.799,288
2026-03-13T12:00:00,5.7995,5.8235,5.787,5.823,933
2026-03-13T13:00:00,5.823,5.841,5.7985,5.814,1060
2026-03-13T14:00:00,5.8135,5.818,5.793,5.796,729
2026-03-13T15:00:00,5.7965,5.8075,5.7755,5.777,1062
2026-03-13T16:00:00,5.777,5.783,5.754,5.7555,828
2026-03-13T17:00:00,5.7555,5.763,5.7475,5.753,581
2026-03-13T18:00:00,5.752,5.759,5.7355,5.744,488
2026-03-13T19:00:00,5.7445,5.7445,5.6965,5.703,904
2026-03-13T20:00:00,5.703,5.7035,5.6515,5.6895,1193
2026-03-15T22:00:00,5.681,5.702,5.6555,5.698,881
2026-03-15T23:00:00,5.697,5.7015,5.6805,5.6925,532
2026-03-16T00:00:00,5.694,5.7385,5.694,5.733,1053
2026-03-16T01:00:00,5.734,5.758,5.701,5.743,1964
2026-03-16T02:00:00,5.743,5.7435,5.718,5.719,396
2026-03-16T03:00:00,5.7185,5.742,5.7045,5.7385,414
2026-03-16T04:00:00,5.737,5.7485,5.7365,5.738,223
2026-03-16T05:00:00,5.739,5.7735,5.7365,5.7675,686
2026-03-16T06:00:00,5.769,5.774,5.759,5.76,400
2026-03-16T07:00:00,5.759,5.77,5.728,5.731,577
2026-03-16T08:00:00,5.7325,5.7425,5.7155,5.7365,533
2026-03-16T09:00:00,5.737,5.746,5.724,5.728,407
2026-03-16T10:00:00,5.7285,5.756,5.7215,5.756,775
2026-03-16T11:00:00,5.754,5.7755,5.7495,5.7755,691
2026-03-16T12:00:00,5.7755,5.802,5.7745,5.7915,1153
2026-03-16T13:00:00,5.7935,5.826,5.7865,5.8225,1011
2026-03-16T15:00:00,5.8255,5.859,5.8145,5.8325,1515
2026-03-16T16:00:00,5.8345,5.8455,5.827,5.8285,476
2026-03-16T17:00:00,5.828,5.8325,5.8165,5.8205,592
2026-03-16T18:00:00,5.8205,5.842,5.8205,5.833,361
2026-03-16T19:00:00,5.8375,5.85,5.8325,5.8425,474
2026-03-16T20:00:00,5.8425,5.843,5.8305,5.8315,210
2026-03-16T22:00:00,5.8325,5.849,5.831,5.831,209
2026-03-16T23:00:00,5.833,5.8405,5.833,5.838,118
2026-03-17T00:00:00,5.8385,5.8385,5.828,5.8355,181
2026-03-17T01:00:00,5.8325,5.8475,5.8205,5.845,609
2026-03-17T02:00:00,5.846,5.8545,5.827,5.8275,478
2026-03-17T03:00:00,5.8265,5.8335,5.8185,5.823,398
2026-03-17T04:00:00,5.8235,5.839,5.8215,5.835,271
