datetime,open,high,low,close,volume
2026-02-15T23:00:00,3.049,3.049,2.87,2.956,158
2026-02-15T23:30:00,2.956,2.956,2.936,2.947,63
2026-02-16T00:00:00,2.948,2.949,2.942,2.949,18
2026-02-16T00:30:00,2.946,2.946,2.924,2.93,48
2026-02-16T01:00:00,2.935,2.938,2.928,2.928,30
2026-02-16T01:30:00,2.932,2.936,2.928,2.928,24
2026-02-16T02:00:00,2.928,2.932,2.916,2.92,20
2026-02-16T02:30:00,2.924,2.932,2.924,2.932,10
2026-02-16T03:00:00,2.93,2.936,2.93,2.93,3
2026-02-16T03:30:00,2.933,2.937,2.932,2.937,6
2026-02-16T04:00:00,2.934,2.939,2.931,2.931,17
2026-02-16T04:30:00,2.93,2.935,2.921,2.935,7
2026-02-16T05:00:00,2.927,2.93,2.926,2.93,3
2026-02-16T05:30:00,2.935,2.944,2.914,2.921,56
2026-02-16T06:00:00,2.916,2.932,2.904,2.904,70
2026-02-16T06:30:00,2.905,2.91,2.897,2.897,47
2026-02-16T07:00:00,2.897,2.902,2.888,2.892,38
2026-02-16T07:30:00,2.893,2.902,2.891,2.899,31
2026-02-16T08:00:00,2.898,2.904,2.898,2.903,12
2026-02-16T08:30:00,2.912,2.912,2.898,2.91,15
2026-02-16T09:00:00,2.906,2.906,2.906,2.906,1
2026-02-16T09:30:00,2.911,2.912,2.904,2.906,9
2026-02-16T10:00:00,2.918,2.926,2.915,2.92,27
2026-02-16T10:30:00,2.917,2.917,2.913,2.916,11
2026-02-16T11:00:00,2.919,2.92,2.907,2.912,21
2026-02-16T11:30:00,2.905,2.917,2.903,2.915,12
2026-02-16T12:00:00,2.915,2.92,2.902,2.908,34
2026-02-16T12:30:00,2.906,2.928,2.905,2.918,29
2026-02-16T13:00:00,2.924,2.944,2.922,2.935,38
2026-02-16T13:30:00,2.936,2.938,2.921,2.937,29
2026-02-16T14:00:00,2.94,2.958,2.94,2.951,64
2026-02-16T14:30:00,2.951,2.959,2.949,2.953,36
2026-02-16T15:00:00,2.95,2.952,2.941,2.941,26
2026-02-16T15:30:00,2.943,2.949,2.934,2.934,28
2026-02-16T16:00:00,2.938,2.952,2.931,2.942,25
2026-02-16T16:30:00,2.949,2.952,2.949,2.949,6
2026-02-16T17:00:00,2.945,2.948,2.945,2.946,3
2026-02-16T17:30:00,2.948,2.969,2.943,2.969,41
2026-02-16T18:00:00,2.959,2.986,2.959,2.986,35
2026-02-16T18:30:00,2.986,2.999,2.976,2.989,57
2026-02-16T19:00:00,2.991,3.0,2.989,2.989,19
2026-02-16T23:00:00,2.998,2.998,2.984,2.986,37
2026-02-16T23:30:00,2.983,2.986,2.981,2.986,6
2026-02-17T00:00:00,2.976,2.982,2.976,2.982,5
2026-02-17T00:30:00,2.982,2.982,2.981,2.982,9
2026-02-17T01:00:00,2.982,2.998,2.982,2.996,18
2026-02-17T01:30:00,2.986,2.987,2.98,2.982,13
2026-02-17T02:00:00,2.983,2.993,2.98,2.991,14
2026-02-17T02:30:00,2.994,2.994,2.99,2.993,7
2026-02-17T03:00:00,2.989,2.989,2.982,2.983,7
2026-02-17T03:30:00,2.991,3.008,2.991,3.005,36
2026-02-17T04:00:00,3.005,3.012,3.002,3.002,25
2026-02-17T04:30:00,3.004,3.01,3.001,3.01,17
2026-02-17T05:00:00,3.01,3.01,3.002,3.002,9
2026-02-17T05:30:00,3.007,3.018,3.0,3.008,29
2026-02-17T06:00:00,3.01,3.02,3.008,3.009,9
2026-02-17T06:30:00,3.005,3.011,3.003,3.006,13
2026-02-17T07:00:00,3.0,3.012,2.994,3.012,26
2026-02-17T07:30:00,3.012,3.023,3.01,3.017,35
2026-02-17T08:00:00,3.002,3.002,2.993,2.993,6
2026-02-17T08:30:00,2.993,2.993,2.989,2.993,10
2026-02-17T09:00:00,2.994,3.003,2.993,3.001,9
2026-02-17T09:30:00,2.995,3.0,2.995,3.0,2
2026-02-17T10:00:00,3.005,3.023,3.005,3.021,31
2026-02-17T10:30:00,3.028,3.032,3.018,3.032,35
2026-02-17T11:00:00,3.033,3.058,3.028,3.049,105
2026-02-17T11:30:00,3.044,3.06,3.025,3.037,140
2026-02-17T12:00:00,3.036,3.047,3.03,3.03,48
2026-02-17T12:30:00,3.038,3.05,3.015,3.025,109
2026-02-17T13:00:00,3.014,3.015,2.991,3.0,121
2026-02-17T13:30:00,3.001,3.001,2.969,2.972,273
2026-02-17T14:00:00,2.972,2.974,2.944,2.954,164
2026-02-17T14:30:00,2.956,2.967,2.951,2.955,106
2026-02-17T15:00:00,2.955,2.987,2.955,2.956,97
2026-02-17T15:30:00,2.96,2.978,2.957,2.96,87
2026-02-17T16:00:00,2.953,2.979,2.953,2.979,41
2026-02-17T16:30:00,2.98,2.99,2.977,2.979,45
2026-02-17T17:00:00,2.964,2.983,2.959,2.97,12
2026-02-17T17:30:00,2.972,2.972,2.955,2.955,14
2026-02-17T18:00:00,2.95,2.956,2.933,2.947,54
2026-02-17T18:30:00,2.949,2.958,2.946,2.946,13
2026-02-17T19:00:00,2.945,2.949,2.934,2.939,40
2026-02-17T19:30:00,2.937,2.95,2.936,2.95,14
2026-02-17T20:00:00,2.949,2.949,2.936,2.936,10
2026-02-17T20:30:00,2.945,2.957,2.94,2.954,27
2026-02-17T21:00:00,2.955,2.959,2.947,2.947,8
2026-02-17T21:30:00,2.946,2.956,2.943,2.956,25
2026-02-17T23:00:00,2.945,2.962,2.945,2.96,11
2026-02-17T23:30:00,2.96,2.96,2.95,2.957,15
2026-02-18T00:00:00,2.954,2.954,2.948,2.95,8
2026-02-18T00:30:00,2.949,2.953,2.94,2.946,50
2026-02-18T01:00:00,2.949,2.949,2.944,2.944,14
2026-02-18T01:30:00,2.943,2.943,2.938,2.938,13
2026-02-18T02:00:00,2.94,2.94,2.932,2.932,21
2026-02-18T02:30:00,2.938,2.938,2.93,2.93,13
2026-02-18T03:00:00,2.932,2.932,2.932,2.932,2
2026-02-18T03:30:00,2.933,2.935,2.933,2.933,5
2026-02-18T04:00:00,2.937,2.938,2.931,2.931,18
2026-02-18T04:30:00,2.93,2.93,2.92,2.92,52
2026-02-18T05:00:00,2.923,2.923,2.919,2.923,5
2026-02-18T05:30:00,2.924,2.928,2.923,2.928,5
2026-02-18T06:00:00,2.928,2.931,2.922,2.926,46
2026-02-18T06:30:00,2.925,2.925,2.925,2.925,1
2026-02-18T07:00:00,2.924,2.928,2.915,2.925,34
2026-02-18T07:30:00,2.926,2.927,2.92,2.92,16
2026-02-18T08:00:00,2.92,2.927,2.918,2.924,23
2026-02-18T08:30:00,2.921,2.921,2.918,2.919,4
2026-02-18T09:00:00,2.916,2.917,2.909,2.912,28
2026-02-18T09:30:00,2.911,2.912,2.908,2.912,19
2026-02-18T10:00:00,2.914,2.914,2.913,2.913,2
2026-02-18T10:30:00,2.92,2.925,2.92,2.921,35
2026-02-18T11:00:00,2.918,2.929,2.914,2.92,36
2026-02-18T11:30:00,2.924,2.94,2.924,2.93,27
2026-02-18T12:00:00,2.915,2.921,2.894,2.907,90
2026-02-18T12:30:00,2.906,2.906,2.871,2.884,188
2026-02-18T13:00:00,2.881,2.915,2.878,2.91,78
2026-02-18T13:30:00,2.908,2.925,2.868,2.915,219
2026-02-18T14:00:00,2.905,2.93,2.896,2.928,284
2026-02-18T14:30:00,2.92,2.935,2.906,2.925,95
2026-02-18T15:00:00,2.92,2.945,2.913,2.919,91
2026-02-18T15:30:00,2.915,2.915,2.897,2.905,111
2026-02-18T16:00:00,2.904,2.913,2.9,2.902,24
2026-02-18T16:30:00,2.902,2.909,2.88,2.888,133
2026-02-18T17:00:00,2.886,2.896,2.878,2.882,71
2026-02-18T17:30:00,2.883,2.889,2.868,2.886,111
2026-02-18T18:00:00,2.883,2.921,2.883,2.914,119
2026-02-18T18:30:00,2.916,2.944,2.916,2.929,147
2026-02-18T19:00:00,2.927,2.933,2.917,2.933,30
2026-02-18T19:30:00,2.941,2.956,2.935,2.949,83
2026-02-18T20:00:00,2.947,2.955,2.947,2.955,25
2026-02-18T20:30:00,2.95,2.957,2.947,2.95,64
2026-02-18T21:00:00,2.95,2.954,2.925,2.947,30
2026-02-18T21:30:00,2.943,2.944,2.924,2.943,29
2026-02-18T23:00:00,2.943,2.946,2.939,2.939,19
2026-02-18T23:30:00,2.939,2.94,2.934,2.94,13
