datetime,open,high,low,close,volume
2026-02-15T23:00:00,3.049,3.049,2.87,2.932,371
2026-02-16T03:00:00,2.93,2.944,2.897,2.897,209
2026-02-16T07:00:00,2.897,2.926,2.888,2.916,144
2026-02-16T11:00:00,2.919,2.959,2.902,2.953,263
2026-02-16T15:00:00,2.95,2.999,2.931,2.989,221
2026-02-16T19:00:00,2.991,3.0,2.989,2.989,19
2026-02-16T23:00:00,2.998,2.998,2.976,2.993,109
2026-02-17T03:00:00,2.989,3.02,2.982,3.006,145
2026-02-17T07:00:00,3.0,3.032,2.989,3.032,154
2026-02-17T11:00:00,3.033,3.06,2.944,2.955,1066
2026-02-17T15:00:00,2.955,2.99,2.933,2.946,363
2026-02-17T19:00:00,2.945,2.959,2.934,2.956,124
2026-02-17T23:00:00,2.945,2.962,2.93,2.93,145
2026-02-18T03:00:00,2.932,2.938,2.919,2.925,134
2026-02-18T07:00:00,2.924,2.928,2.908,2.921,161
2026-02-18T11:00:00,2.918,2.94,2.868,2.925,1017
2026-02-18T15:00:00,2.92,2.945,2.868,2.929,807
2026-02-18T19:00:00,2.927,2.957,2.917,2.943,261
2026-02-18T23:00:00,2.943,2.993,2.934,2.976,470
2026-02-19T03:00:00,2.978,2.978,2.925,2.95,427
2026-02-19T07:00:00,2.952,2.983,2.929,2.969,634
2026-02-19T11:00:00,2.973,3.006,2.967,2.996,721
2026-02-19T15:00:00,2.994,3.002,2.927,2.945,921
2026-02-19T19:00:00,2.948,2.959,2.908,2.922,362
2026-02-19T23:00:00,2.936,2.944,2.91,2.941,404
2026-02-20T03:00:00,2.942,2.954,2.924,2.939,242
2026-02-20T07:00:00,2.943,2.95,2.912,2.919,641
2026-02-20T11:00:00,2.919,2.973,2.909,2.962,928
2026-02-20T15:00:00,2.958,3.075,2.937,2.986,3107
2026-02-20T19:00:00,2.986,2.998,2.968,2.996,726
2026-02-22T23:00:00,3.148,3.182,3.084,3.091,1536
2026-02-23T03:00:00,3.091,3.097,3.02,3.032,1254
2026-02-23T07:00:00,3.032,3.056,3.025,3.047,1140
2026-02-23T11:00:00,3.045,3.08,2.989,3.011,2684
2026-02-23T15:00:00,3.012,3.023,2.917,2.918,3885
2026-02-23T19:00:00,2.921,2.93,2.912,2.917,996
2026-02-23T23:00:00,2.922,2.934,2.913,2.919,882
2026-02-24T03:00:00,2.919,2.933,2.898,2.921,1124
2026-02-24T07:00:00,2.924,2.93,2.89,2.893,908
2026-02-24T11:00:00,2.891,2.899,2.85,2.881,3797
2026-02-24T15:00:00,2.88,2.908,2.845,2.85,2550
2026-02-24T19:00:00,2.849,2.855,2.826,2.835,1197
2026-02-24T23:00:00,2.843,2.855,2.826,2.84,648
2026-02-25T03:00:00,2.84,2.853,2.824,2.825,842
2026-02-25T07:00:00,2.825,2.837,2.817,2.827,809
