datetime,open,high,low,close,volume
2026-02-19T00:00:00,2.943,3.006,2.908,2.922,3535
2026-02-20T00:00:00,2.936,3.075,2.909,2.996,6048
2026-02-23T00:00:00,3.148,3.182,2.912,2.917,11495
2026-02-24T00:00:00,2.922,2.934,2.826,2.835,10458
2026-02-25T00:00:00,2.843,2.93,2.817,2.89,11499
2026-02-26T00:00:00,2.892,2.898,2.774,2.832,13483
2026-02-27T00:00:00,2.827,2.893,2.811,2.858,8550
2026-03-02T00:00:00,2.93,3.07,2.866,2.983,18496
2026-03-03T00:00:00,2.984,3.187,2.971,3.043,23404
2026-03-04T00:00:00,3.04,3.076,2.891,2.932,17691
2026-03-05T00:00:00,2.932,3.046,2.92,3.003,15802
2026-03-06T00:00:00,3.0,3.279,2.952,3.167,22116
2026-03-09T00:00:00,3.293,3.496,3.014,3.035,36216
2026-03-10T00:00:00,3.037,3.147,2.96,3.064,16391
2026-03-11T00:00:00,3.031,3.226,3.02,3.225,13582
2026-03-12T00:00:00,3.233,3.294,3.145,3.253,16615
2026-03-13T00:00:00,3.262,3.318,3.106,3.135,14947
2026-03-17T00:00:00,3.039,3.096,3.004,3.036,7499
2026-03-18T00:00:00,3.042,3.211,2.908,3.202,16034
2026-03-19T00:00:00,3.206,3.269,3.101,3.122,21357
2026-03-20T00:00:00,3.15,3.169,3.043,3.087,10104
2026-03-23T00:00:00,3.098,3.2,2.874,2.915,13439
2026-03-24T00:00:00,2.922,2.972,2.877,2.9,4653
2026-03-25T00:00:00,2.896,2.99,2.85,2.985,2910
