datetime,open,high,low,close,volume
2026-01-25T23:00:00,3.656,3.795,3.652,3.67,1222
2026-01-25T23:15:00,3.664,3.737,3.651,3.651,907
2026-01-25T23:30:00,3.652,3.699,3.651,3.698,396
2026-01-25T23:45:00,3.694,3.736,3.682,3.729,528
2026-01-26T00:00:00,3.726,3.733,3.681,3.687,223
2026-01-26T00:15:00,3.691,3.703,3.655,3.656,266
2026-01-26T00:30:00,3.658,3.69,3.654,3.686,166
2026-01-26T00:45:00,3.683,3.707,3.651,3.695,463
2026-01-26T01:00:00,3.693,3.696,3.656,3.672,368
2026-01-26T01:15:00,3.669,3.679,3.633,3.638,474
2026-01-26T01:30:00,3.639,3.647,3.63,3.634,99
2026-01-26T01:45:00,3.636,3.641,3.627,3.631,129
2026-01-26T02:00:00,3.632,3.641,3.63,3.638,155
2026-01-26T02:15:00,3.636,3.648,3.627,3.637,150
2026-01-26T02:30:00,3.635,3.648,3.633,3.642,118
2026-01-26T02:45:00,3.643,3.644,3.635,3.635,37
2026-01-26T03:00:00,3.64,3.646,3.626,3.63,85
2026-01-26T03:15:00,3.633,3.638,3.629,3.632,56
2026-01-26T03:30:00,3.635,3.641,3.621,3.622,61
2026-01-26T03:45:00,3.623,3.64,3.619,3.639,123
2026-01-26T04:00:00,3.639,3.64,3.604,3.606,322
2026-01-26T04:15:00,3.607,3.619,3.605,3.616,64
2026-01-26T04:30:00,3.615,3.626,3.611,3.625,45
2026-01-26T04:45:00,3.627,3.632,3.616,3.621,55
2026-01-26T05:00:00,3.618,3.623,3.612,3.622,52
2026-01-26T05:15:00,3.622,3.626,3.603,3.607,65
2026-01-26T05:30:00,3.606,3.64,3.603,3.637,105
2026-01-26T05:45:00,3.635,3.648,3.622,3.639,123
2026-01-26T06:00:00,3.645,3.65,3.616,3.618,308
2026-01-26T06:15:00,3.62,3.652,3.617,3.652,194
2026-01-26T06:30:00,3.653,3.667,3.64,3.664,121
2026-01-26T06:45:00,3.66,3.668,3.653,3.661,81
2026-01-26T07:00:00,3.659,3.676,3.655,3.672,111
2026-01-26T07:15:00,3.672,3.675,3.65,3.668,85
2026-01-26T07:30:00,3.667,3.673,3.652,3.652,90
2026-01-26T07:45:00,3.651,3.674,3.651,3.671,114
2026-01-26T08:00:00,3.672,3.683,3.671,3.671,135
2026-01-26T08:15:00,3.671,3.676,3.649,3.659,297
2026-01-26T08:30:00,3.659,3.676,3.653,3.661,158
2026-01-26T08:45:00,3.663,3.687,3.659,3.667,357
2026-01-26T09:00:00,3.668,3.668,3.642,3.651,294
2026-01-26T09:15:00,3.653,3.661,3.648,3.656,619
2026-01-26T09:30:00,3.657,3.658,3.63,3.648,203
2026-01-26T09:45:00,3.646,3.648,3.639,3.646,120
2026-01-26T10:00:00,3.644,3.644,3.617,3.618,117
2026-01-26T10:15:00,3.614,3.633,3.614,3.629,168
2026-01-26T10:30:00,3.627,3.629,3.62,3.622,91
2026-01-26T10:45:00,3.622,3.652,3.622,3.652,123
2026-01-26T11:00:00,3.65,3.66,3.638,3.66,124
2026-01-26T11:15:00,3.66,3.669,3.65,3.657,166
2026-01-26T11:30:00,3.657,3.659,3.638,3.655,176
2026-01-26T11:45:00,3.653,3.668,3.642,3.642,169
2026-01-26T12:00:00,3.643,3.643,3.623,3.631,407
2026-01-26T12:15:00,3.63,3.664,3.626,3.631,383
2026-01-26T12:30:00,3.63,3.634,3.589,3.611,885
2026-01-26T12:45:00,3.613,3.624,3.58,3.595,1979
2026-01-26T13:00:00,3.6,3.628,3.575,3.613,1513
2026-01-26T13:15:00,3.612,3.645,3.602,3.631,1310
2026-01-26T13:30:00,3.629,3.647,3.557,3.563,1518
2026-01-26T13:45:00,3.565,3.587,3.542,3.548,2123
2026-01-26T14:00:00,3.547,3.599,3.543,3.556,2185
2026-01-26T14:15:00,3.555,3.557,3.523,3.527,1651
2026-01-26T14:30:00,3.53,3.573,3.511,3.514,2378
2026-01-26T14:45:00,3.515,3.544,3.508,3.539,2012
2026-01-26T15:00:00,3.54,3.557,3.539,3.553,1514
2026-01-26T15:15:00,3.553,3.579,3.54,3.557,1621
2026-01-26T15:30:00,3.558,3.578,3.543,3.567,1294
2026-01-26T15:45:00,3.568,3.579,3.552,3.555,1354
2026-01-26T16:00:00,3.553,3.57,3.525,3.568,2029
2026-01-26T16:15:00,3.571,3.621,3.565,3.591,3067
2026-01-26T16:30:00,3.589,3.611,3.575,3.605,2292
2026-01-26T16:45:00,3.604,3.623,3.589,3.612,1413
2026-01-26T17:00:00,3.611,3.655,3.605,3.653,2081
2026-01-26T17:15:00,3.652,3.666,3.642,3.646,2262
2026-01-26T17:30:00,3.645,3.682,3.641,3.678,2795
2026-01-26T17:45:00,3.677,3.681,3.647,3.67,2271
2026-01-26T18:00:00,3.67,3.673,3.622,3.642,2782
2026-01-26T18:15:00,3.641,3.662,3.625,3.662,1544
2026-01-26T18:30:00,3.663,3.684,3.658,3.673,1805
2026-01-26T18:45:00,3.676,3.691,3.64,3.65,1934
2026-01-26T19:00:00,3.649,3.657,3.626,3.635,1515
2026-01-26T19:15:00,3.633,3.663,3.612,3.649,3733
2026-01-26T19:30:00,3.648,3.661,3.586,3.588,2339
2026-01-26T19:45:00,3.589,3.6,3.578,3.587,954
2026-01-26T20:00:00,3.587,3.596,3.571,3.575,493
2026-01-26T20:15:00,3.576,3.59,3.565,3.583,983
2026-01-26T20:30:00,3.583,3.618,3.579,3.608,629
2026-01-26T20:45:00,3.606,3.613,3.599,3.608,289
2026-01-26T21:00:00,3.606,3.619,3.606,3.615,255
2026-01-26T21:15:00,3.614,3.62,3.609,3.616,234
2026-01-26T21:30:00,3.619,3.63,3.612,3.618,371
2026-01-26T21:45:00,3.62,3.624,3.607,3.621,336
2026-01-26T23:00:00,3.617,3.625,3.588,3.618,68
2026-01-26T23:15:00,3.618,3.629,3.618,3.627,118
2026-01-26T23:30:00,3.627,3.627,3.6,3.612,94
2026-01-26T23:45:00,3.61,3.61,3.598,3.601,37
2026-01-27T00:00:00,3.601,3.601,3.587,3.588,50
2026-01-27T00:15:00,3.591,3.601,3.591,3.597,26
2026-01-27T00:30:00,3.596,3.596,3.593,3.594,8
2026-01-27T00:45:00,3.593,3.593,3.575,3.577,208
2026-01-27T01:00:00,3.578,3.602,3.573,3.602,70
2026-01-27T01:15:00,3.606,3.606,3.591,3.593,28
2026-01-27T01:30:00,3.593,3.6,3.585,3.593,58
2026-01-27T01:45:00,3.592,3.602,3.587,3.602,54
2026-01-27T02:00:00,3.602,3.607,3.591,3.591,30
2026-01-27T02:15:00,3.593,3.603,3.588,3.59,64
2026-01-27T02:30:00,3.591,3.605,3.588,3.605,43
2026-01-27T02:45:00,3.605,3.605,3.567,3.572,236
2026-01-27T03:00:00,3.57,3.573,3.542,3.548,319
2026-01-27T03:15:00,3.55,3.564,3.544,3.547,79
2026-01-27T03:30:00,3.55,3.583,3.547,3.583,137
2026-01-27T03:45:00,3.584,3.587,3.56,3.562,138
2026-01-27T04:00:00,3.563,3.569,3.557,3.562,46
2026-01-27T04:15:00,3.562,3.566,3.557,3.558,48
2026-01-27T04:30:00,3.562,3.57,3.558,3.57,25
2026-01-27T04:45:00,3.564,3.577,3.563,3.575,32
2026-01-27T05:00:00,3.573,3.577,3.533,3.533,51
2026-01-27T05:15:00,3.532,3.544,3.502,3.538,308
2026-01-27T05:30:00,3.535,3.536,3.501,3.518,150
2026-01-27T05:45:00,3.518,3.56,3.515,3.543,133
2026-01-27T06:00:00,3.546,3.557,3.539,3.542,44
2026-01-27T06:15:00,3.542,3.581,3.529,3.555,111
2026-01-27T06:30:00,3.557,3.573,3.555,3.57,21
2026-01-27T06:45:00,3.578,3.596,3.573,3.594,105
2026-01-27T07:00:00,3.597,3.598,3.572,3.574,75
2026-01-27T07:15:00,3.573,3.595,3.569,3.594,74
2026-01-27T07:30:00,3.599,3.599,3.576,3.58,27
2026-01-27T07:45:00,3.583,3.591,3.571,3.571,53
2026-01-27T08:00:00,3.573,3.6,3.571,3.591,65
2026-01-27T08:15:00,3.593,3.599,3.584,3.597,67
2026-01-27T08:30:00,3.594,3.597,3.558,3.563,213
2026-01-27T08:45:00,3.566,3.577,3.564,3.573,87
2026-01-27T09:00:00,3.572,3.579,3.57,3.574,86
2026-01-27T09:15:00,3.576,3.582,3.575,3.577,66
2026-01-27T09:30:00,3.578,3.581,3.569,3.572,49
2026-01-27T09:45:00,3.575,3.575,3.53,3.533,212
2026-01-27T10:00:00,3.532,3.555,3.531,3.547,168
2026-01-27T10:15:00,3.546,3.549,3.519,3.539,209
2026-01-27T10:30:00,3.539,3.545,3.511,3.519,265
2026-01-27T10:45:00,3.521,3.564,3.521,3.535,276
2026-01-27T11:00:00,3.532,3.569,3.527,3.562,152
2026-01-27T11:15:00,3.558,3.564,3.55,3.559,161
2026-01-27T11:30:00,3.557,3.59,3.557,3.573,217
2026-01-27T11:45:00,3.571,3.598,3.56,3.579,220
2026-01-27T12:00:00,3.581,3.582,3.521,3.53,596
2026-01-27T12:15:00,3.529,3.532,3.508,3.519,814
2026-01-27T12:30:00,3.517,3.529,3.504,3.508,696
2026-01-27T12:45:00,3.51,3.521,3.462,3.475,1347
2026-01-27T13:00:00,3.476,3.544,3.476,3.528,1297
2026-01-27T13:15:00,3.528,3.584,3.523,3.58,1013
2026-01-27T13:30:00,3.578,3.582,3.553,3.578,1134
2026-01-27T13:45:00,3.578,3.6,3.557,3.598,1315
2026-01-27T14:00:00,3.598,3.631,3.572,3.586,1850
2026-01-27T14:15:00,3.586,3.587,3.524,3.572,3634
2026-01-27T14:30:00,3.573,3.616,3.566,3.574,2870
2026-01-27T14:45:00,3.575,3.585,3.522,3.528,2017
2026-01-27T15:00:00,3.528,3.555,3.508,3.551,1702
2026-01-27T15:15:00,3.55,3.562,3.524,3.555,1481
2026-01-27T15:30:00,3.553,3.579,3.548,3.569,1469
2026-01-27T15:45:00,3.57,3.586,3.554,3.565,1176
2026-01-27T16:00:00,3.566,3.596,3.564,3.592,941
2026-01-27T16:15:00,3.592,3.615,3.586,3.596,1887
2026-01-27T16:30:00,3.595,3.628,3.573,3.596,1139
2026-01-27T16:45:00,3.597,3.633,3.597,3.633,1078
2026-01-27T17:00:00,3.632,3.66,3.62,3.633,1454
2026-01-27T17:15:00,3.632,3.634,3.611,3.63,1052
2026-01-27T17:30:00,3.63,3.656,3.618,3.632,1331
2026-01-27T17:45:00,3.632,3.666,3.632,3.659,1444
2026-01-27T18:00:00,3.661,3.67,3.642,3.642,1573
2026-01-27T18:15:00,3.645,3.666,3.643,3.666,826
2026-01-27T18:30:00,3.665,3.692,3.652,3.686,1763
2026-01-27T18:45:00,3.687,3.698,3.672,3.697,2169
2026-01-27T19:00:00,3.696,3.714,3.686,3.7,1866
2026-01-27T19:15:00,3.7,3.702,3.64,3.664,4479
2026-01-27T19:30:00,3.664,3.672,3.636,3.644,1691
2026-01-27T19:45:00,3.644,3.651,3.62,3.649,1062
2026-01-27T20:00:00,3.652,3.653,3.618,3.635,741
2026-01-27T20:15:00,3.637,3.653,3.63,3.651,431
2026-01-27T20:30:00,3.65,3.653,3.634,3.636,327
2026-01-27T20:45:00,3.637,3.64,3.628,3.634,548
2026-01-27T21:00:00,3.636,3.649,3.623,3.646,422
2026-01-27T21:15:00,3.645,3.651,3.637,3.647,182
2026-01-27T21:30:00,3.648,3.649,3.639,3.64,184
2026-01-27T21:45:00,3.639,3.642,3.618,3.626,249
2026-01-27T23:00:00,3.632,3.637,3.619,3.635,47
2026-01-27T23:15:00,3.636,3.647,3.636,3.644,72
