datetime,open,high,low,close,volume
2025-11-02T23:00:00,3.68,3.713,3.637,3.641,105
2025-11-03T03:00:00,3.642,3.716,3.639,3.708,209
2025-11-03T07:00:00,3.706,3.729,3.697,3.703,602
2025-11-03T11:00:00,3.703,3.709,3.629,3.631,2653
2025-11-03T15:00:00,3.633,3.725,3.633,3.71,4951
2025-11-03T19:00:00,3.712,3.738,3.704,3.707,1489
2025-11-03T23:00:00,3.721,3.721,3.71,3.719,47
2025-11-04T03:00:00,3.723,3.728,3.694,3.701,141
2025-11-04T07:00:00,3.701,3.742,3.689,3.732,290
2025-11-04T11:00:00,3.733,3.737,3.688,3.716,5138
2025-11-04T15:00:00,3.715,3.808,3.698,3.793,9252
2025-11-04T19:00:00,3.795,3.797,3.744,3.745,2835
2025-11-04T23:00:00,3.745,3.756,3.734,3.746,51
2025-11-05T03:00:00,3.744,3.751,3.702,3.703,96
2025-11-05T07:00:00,3.701,3.715,3.696,3.712,296
2025-11-05T11:00:00,3.711,3.758,3.706,3.748,1894
2025-11-05T15:00:00,3.748,3.762,3.684,3.696,3966
2025-11-05T19:00:00,3.695,3.696,3.673,3.694,1742
2025-11-05T23:00:00,3.683,3.72,3.683,3.71,109
2025-11-06T03:00:00,3.711,3.735,3.707,3.726,91
2025-11-06T07:00:00,3.723,3.727,3.717,3.724,85
2025-11-06T11:00:00,3.725,3.743,3.696,3.699,1668
2025-11-06T15:00:00,3.697,3.738,3.634,3.724,7114
2025-11-06T19:00:00,3.725,3.749,3.697,3.739,2053
2025-11-06T23:00:00,3.74,3.742,3.73,3.73,32
2025-11-07T03:00:00,3.729,3.757,3.721,3.748,94
2025-11-07T07:00:00,3.744,3.744,3.719,3.719,226
2025-11-07T11:00:00,3.718,3.719,3.67,3.714,2188
2025-11-07T15:00:00,3.713,3.736,3.683,3.699,2679
2025-11-07T19:00:00,3.701,3.711,3.689,3.705,2571
2026-01-25T23:00:00,3.656,3.795,3.627,3.635,5701
2026-01-26T03:00:00,3.64,3.668,3.603,3.661,1860
2026-01-26T07:00:00,3.659,3.687,3.614,3.652,3082
2026-01-26T11:00:00,3.65,3.669,3.508,3.539,18979
2026-01-26T15:00:00,3.54,3.691,3.525,3.65,32058
2026-01-26T19:00:00,3.649,3.663,3.565,3.621,12131
2026-01-26T23:00:00,3.617,3.629,3.567,3.572,1192
2026-01-27T03:00:00,3.57,3.596,3.501,3.594,1747
2026-01-27T07:00:00,3.597,3.6,3.511,3.535,1992
2026-01-27T11:00:00,3.532,3.631,3.462,3.528,19333
2026-01-27T15:00:00,3.528,3.698,3.508,3.697,22485
2026-01-27T19:00:00,3.696,3.714,3.618,3.626,12182
2026-01-27T23:00:00,3.632,3.65,3.6,3.642,718
2026-01-28T03:00:00,3.639,3.65,3.57,3.592,1102
2026-01-28T07:00:00,3.589,3.6,3.501,3.525,1854
2026-01-28T11:00:00,3.524,3.632,3.521,3.624,13792
2026-01-28T15:00:00,3.622,3.709,3.55,3.589,20491
2026-01-28T19:00:00,3.586,3.616,3.552,3.573,11091
2026-01-28T23:00:00,3.586,3.625,3.573,3.625,436
2026-01-29T03:00:00,3.624,3.708,3.622,3.674,1477
2026-01-29T07:00:00,3.673,3.687,3.594,3.626,3706
2026-01-29T11:00:00,3.624,3.678,3.576,3.65,15247
2026-01-29T15:00:00,3.649,3.663,3.572,3.647,17501
2026-01-29T19:00:00,3.645,3.713,3.641,3.661,8621
2026-01-29T23:00:00,3.674,3.69,3.645,3.659,580
2026-01-30T03:00:00,3.659,3.68,3.63,3.677,735
2026-01-30T07:00:00,3.674,3.686,3.644,3.68,2054
2026-01-30T11:00:00,3.684,3.81,3.632,3.797,18455
2026-01-30T15:00:00,3.797,4.001,3.794,3.964,46896
2026-01-30T19:00:00,3.963,4.085,3.963,4.08,24813
2026-02-01T23:00:00,3.64,3.64,3.563,3.617,8506
2026-02-02T03:00:00,3.619,3.636,3.527,3.546,2621
2026-02-02T07:00:00,3.544,3.587,3.511,3.543,3613
2026-02-02T11:00:00,3.544,3.574,3.443,3.451,23897
2026-02-02T15:00:00,3.45,3.468,3.099,3.116,82169
2026-02-02T19:00:00,3.115,3.204,3.089,3.185,20005
2026-02-02T23:00:00,3.182,3.202,3.128,3.134,904
2026-02-03T03:00:00,3.13,3.181,3.099,3.174,779
2026-02-03T07:00:00,3.18,3.187,3.12,3.148,2476
2026-02-03T11:00:00,3.145,3.26,3.116,3.258,16216
2026-02-03T15:00:00,3.256,3.28,3.168,3.178,17168
2026-02-03T19:00:00,3.18,3.269,3.158,3.258,8690
2026-02-03T23:00:00,3.252,3.262,3.212,3.23,516
2026-02-04T03:00:00,3.237,3.239,3.183,3.183,545
2026-02-04T07:00:00,3.189,3.244,3.182,3.233,951
2026-02-04T11:00:00,3.232,3.379,3.218,3.302,16998
2026-02-04T15:00:00,3.3,3.358,3.265,3.317,15602
2026-02-04T19:00:00,3.318,3.337,3.296,3.308,7321
2026-02-04T23:00:00,3.318,3.32,3.268,3.275,439
2026-02-05T03:00:00,3.273,3.36,3.273,3.357,1042
2026-02-05T07:00:00,3.356,3.375,3.291,3.306,1370
2026-02-05T11:00:00,3.307,3.385,3.284,3.339,14375
2026-02-05T15:00:00,3.339,3.366,3.21,3.34,31369
2026-02-05T19:00:00,3.342,3.375,3.297,3.34,6736
2026-02-05T23:00:00,3.342,3.354,3.31,3.333,486
2026-02-06T03:00:00,3.332,3.345,3.282,3.293,547
2026-02-06T07:00:00,3.294,3.345,3.287,3.333,1133
2026-02-06T11:00:00,3.335,3.452,3.329,3.415,13987
2026-02-06T15:00:00,3.415,3.42,3.227,3.248,17237
2026-02-06T19:00:00,3.249,3.261,3.202,3.213,11515
2026-02-08T23:00:00,3.113,3.13,3.075,3.101,2088
2026-02-09T03:00:00,3.102,3.109,3.082,3.087,654
2026-02-09T07:00:00,3.084,3.108,3.062,3.079,1777
2026-02-09T11:00:00,3.078,3.122,3.025,3.101,13669
2026-02-09T15:00:00,3.101,3.127,3.045,3.06,17214
2026-02-09T19:00:00,3.061,3.067,3.032,3.051,10003
2026-02-09T23:00:00,3.051,3.054,3.022,3.035,666
2026-02-10T03:00:00,3.035,3.045,3.013,3.025,677
2026-02-10T07:00:00,3.026,3.045,3.0,3.041,1115
2026-02-10T11:00:00,3.038,3.083,3.022,3.077,13128
2026-02-10T15:00:00,3.077,3.105,3.029,3.038,15609
2026-02-10T19:00:00,3.038,3.067,3.019,3.067,7184
2026-02-10T23:00:00,3.063,3.065,3.033,3.036,710
2026-02-11T03:00:00,3.036,3.048,3.001,3.041,825
2026-02-11T07:00:00,3.042,3.054,3.014,3.043,1099
2026-02-11T11:00:00,3.043,3.063,2.975,3.032,12540
2026-02-11T15:00:00,3.032,3.102,3.03,3.068,15539
2026-02-11T19:00:00,3.07,3.135,3.067,3.121,6879
2026-02-11T23:00:00,3.131,3.131,3.093,3.112,853
2026-02-12T03:00:00,3.114,3.117,3.066,3.071,1055
2026-02-12T07:00:00,3.068,3.14,3.065,3.134,2039
2026-02-12T11:00:00,3.133,3.19,3.115,3.173,12160
2026-02-12T15:00:00,3.173,3.177,3.075,3.084,22012
2026-02-12T19:00:00,3.085,3.11,3.071,3.085,6149
2026-02-12T23:00:00,3.082,3.097,3.062,3.063,471
2026-02-13T03:00:00,3.064,3.067,3.011,3.025,986
2026-02-13T07:00:00,3.027,3.047,3.024,3.043,964
2026-02-13T11:00:00,3.042,3.068,2.998,3.055,11185
2026-02-13T15:00:00,3.056,3.114,3.033,3.096,15815
2026-02-13T19:00:00,3.096,3.11,3.067,3.067,6074
2026-02-15T23:00:00,2.947,2.958,2.916,2.927,2003
2026-02-16T03:00:00,2.926,2.942,2.898,2.899,1423
