datetime,open,high,low,close,volume
2025-11-07T00:00:00,3.74,3.757,3.67,3.705,7790
2026-01-30T00:00:00,3.674,4.085,3.63,4.08,93533
2026-02-02T00:00:00,3.64,3.64,3.089,3.185,140811
2026-02-03T00:00:00,3.182,3.28,3.099,3.258,46233
2026-02-04T00:00:00,3.252,3.379,3.182,3.308,41933
2026-02-05T00:00:00,3.318,3.385,3.21,3.34,55331
2026-02-06T00:00:00,3.342,3.452,3.202,3.213,44905
2026-02-09T00:00:00,3.113,3.13,3.025,3.051,45405
2026-02-10T00:00:00,3.051,3.105,3.0,3.067,38379
2026-02-11T00:00:00,3.063,3.135,2.975,3.121,37592
2026-02-12T00:00:00,3.131,3.19,3.065,3.085,44268
2026-02-13T00:00:00,3.082,3.114,2.998,3.067,35495
2026-02-16T00:00:00,2.947,3.0,2.888,2.991,14418
2026-02-17T00:00:00,2.997,3.06,2.93,2.954,45506
2026-02-18T00:00:00,2.951,2.958,2.868,2.937,57355
2026-02-19T00:00:00,2.941,3.006,2.91,2.923,63269
2026-02-20T00:00:00,2.919,3.076,2.911,2.994,79701
2026-02-23T00:00:00,3.15,3.15,2.912,2.914,80401
2026-02-24T00:00:00,2.918,2.934,2.826,2.835,84743
2026-02-25T00:00:00,2.836,2.93,2.819,2.889,86668
2026-02-26T00:00:00,2.891,2.891,2.775,2.836,94388
2026-02-27T00:00:00,2.832,2.894,2.818,2.857,74478
2026-03-02T00:00:00,2.929,3.07,2.867,2.98,127136
2026-03-03T00:00:00,2.98,3.188,2.973,3.039,164040
2026-03-04T00:00:00,3.041,3.076,2.891,2.933,115689
2026-03-05T00:00:00,2.937,3.046,2.92,2.999,98446
2026-03-06T00:00:00,3.022,3.28,2.951,3.182,139653
2026-03-09T00:00:00,3.304,3.494,3.021,3.032,179537
2026-03-10T00:00:00,3.027,3.147,2.961,3.06,113945
2026-03-11T00:00:00,3.064,3.228,3.019,3.227,94624
2026-03-12T00:00:00,3.231,3.292,3.145,3.248,96446
2026-03-13T00:00:00,3.252,3.317,3.109,3.132,86542
2026-03-17T00:00:00,3.036,3.097,3.006,3.04,53288
2026-03-18T00:00:00,3.044,3.211,2.923,3.202,83414
2026-03-19T00:00:00,3.164,3.27,3.103,3.128,108041
2026-03-20T00:00:00,3.12,3.169,3.045,3.096,61797
2026-03-23T00:00:00,3.108,3.153,2.875,2.912,75968
2026-03-24T00:00:00,2.91,2.974,2.876,2.898,26684
2026-03-25T00:00:00,2.9,2.985,2.864,2.985,11446
2026-03-26T00:00:00,2.984,3.025,2.918,2.974,17540
