datetime,open,high,low,close,volume
2026-02-15T23:00:00,2.99,2.99,2.915,2.915,64
2026-02-16T03:00:00,2.93,2.94,2.9,2.9,49
2026-02-16T07:00:00,2.9,2.925,2.885,2.92,276
2026-02-16T11:00:00,2.92,2.965,2.9,2.945,145
2026-02-16T15:00:00,2.955,2.995,2.925,2.995,132
2026-02-16T19:00:00,2.995,2.995,2.99,2.995,7
2026-02-16T23:00:00,2.995,3.0,2.97,2.995,35
2026-02-17T03:00:00,2.98,3.02,2.98,3.01,34
2026-02-17T07:00:00,3.005,3.03,2.99,3.03,38
2026-02-17T11:00:00,3.025,3.065,2.935,2.96,181
2026-02-17T15:00:00,2.96,2.99,2.935,2.945,106
2026-02-17T19:00:00,2.945,2.96,2.935,2.955,29
2026-02-17T23:00:00,2.97,2.98,2.93,2.93,17
2026-02-18T03:00:00,2.93,2.935,2.92,2.925,23
2026-02-18T07:00:00,2.925,2.93,2.905,2.92,60
2026-02-18T11:00:00,2.92,2.945,2.87,2.935,355
2026-02-18T15:00:00,2.945,2.95,2.87,2.93,316
2026-02-18T19:00:00,2.935,2.96,2.92,2.94,93
2026-02-18T23:00:00,2.93,3.0,2.925,2.98,141
2026-02-19T03:00:00,2.975,2.975,2.93,2.96,336
2026-02-19T07:00:00,2.95,2.98,2.93,2.975,517
2026-02-19T11:00:00,2.975,3.01,2.965,3.0,150
2026-02-19T15:00:00,2.99,3.005,2.935,2.95,189
2026-02-19T19:00:00,2.95,2.96,2.91,2.95,88
2026-02-19T23:00:00,2.92,2.94,2.91,2.935,55
2026-02-20T03:00:00,2.94,2.955,2.925,2.945,61
2026-02-20T07:00:00,2.945,2.95,2.91,2.925,836
2026-02-20T11:00:00,2.92,2.97,2.915,2.96,514
2026-02-20T15:00:00,2.965,3.075,2.94,2.985,1057
2026-02-20T19:00:00,2.985,3.0,2.965,2.99,236
2026-02-22T23:00:00,3.135,3.155,3.085,3.09,382
2026-02-23T03:00:00,3.095,3.095,3.02,3.03,258
2026-02-23T07:00:00,3.03,3.055,3.03,3.045,231
2026-02-23T11:00:00,3.045,3.08,2.985,3.01,821
2026-02-23T15:00:00,3.01,3.02,2.92,2.925,1201
2026-02-23T19:00:00,2.915,2.93,2.91,2.91,254
2026-02-23T23:00:00,2.92,2.935,2.91,2.92,148
