datetime,open,high,low,close,volume
2026-02-16T00:00:00,2.99,2.995,2.885,2.995,673
2026-02-17T00:00:00,2.995,3.065,2.935,2.955,423
2026-02-18T00:00:00,2.97,2.98,2.87,2.94,864
2026-02-19T00:00:00,2.93,3.01,2.91,2.95,1421
2026-02-20T00:00:00,2.92,3.075,2.91,2.99,2759
2026-02-23T00:00:00,3.135,3.155,2.91,2.91,3147
2026-02-24T00:00:00,2.92,2.935,2.83,2.835,2576
2026-02-25T00:00:00,2.83,2.93,2.815,2.89,2276
2026-02-26T00:00:00,2.88,2.89,2.775,2.83,2362
2026-02-27T00:00:00,2.84,2.895,2.82,2.845,1788
2026-03-02T00:00:00,2.93,3.07,2.865,2.98,4017
2026-03-03T00:00:00,2.975,3.19,2.955,3.04,5768
2026-03-04T00:00:00,3.045,3.085,2.89,2.93,5452
2026-03-05T00:00:00,2.94,3.045,2.92,3.0,3970
2026-03-06T00:00:00,3.005,3.28,2.955,3.185,5630
2026-03-09T00:00:00,3.305,3.495,3.02,3.03,10120
2026-03-10T00:00:00,3.025,3.145,2.96,3.06,3972
2026-03-11T00:00:00,3.055,3.23,3.02,3.225,2644
2026-03-12T00:00:00,3.23,3.29,3.14,3.245,3403
2026-03-13T00:00:00,3.25,3.32,3.11,3.13,3189
2026-03-17T00:00:00,3.035,3.095,3.005,3.035,1815
2026-03-18T00:00:00,3.055,3.21,2.925,3.205,4373
2026-03-19T00:00:00,3.16,3.27,3.1,3.125,4924
2026-03-20T00:00:00,3.12,3.165,3.04,3.09,2326
2026-03-23T00:00:00,3.095,3.15,2.875,2.915,2347
2026-03-24T00:00:00,2.91,2.97,2.88,2.89,754
2026-03-25T00:00:00,2.915,2.985,2.855,2.975,670
2026-03-26T00:00:00,2.985,3.025,2.92,3.01,840
