datetime,open,high,low,close,volume
2026-03-08T22:00:00,90.475,104.925,90.475,102.4,601
2026-03-08T23:00:00,102.075,103.125,100.5,102.95,260
2026-03-09T00:00:00,102.775,104.55,101.45,103.425,183
2026-03-09T01:00:00,103.175,109.225,102.8,108.725,375
2026-03-09T02:00:00,108.725,113.0,107.325,108.775,408
2026-03-09T03:00:00,108.825,110.725,106.5,110.1,207
2026-03-09T04:00:00,110.0,111.425,109.45,110.475,110
2026-03-09T05:00:00,110.4,110.4,98.725,100.6,300
2026-03-09T06:00:00,99.625,102.275,96.525,100.375,224
2026-03-09T07:00:00,100.375,100.375,97.4,99.35,249
2026-03-09T08:00:00,99.05,100.85,98.3,98.95,56
2026-03-09T09:00:00,99.65,100.425,93.225,96.225,247
2026-03-09T10:00:00,96.575,99.45,96.525,98.6,170
2026-03-09T11:00:00,98.65,98.95,97.075,97.825,65
2026-03-09T12:00:00,97.45,98.525,95.7,97.8,99
2026-03-09T13:00:00,97.25,97.25,93.5,95.175,144
2026-03-09T14:00:00,95.475,99.5,95.475,96.45,169
2026-03-09T15:00:00,96.075,96.075,91.1,91.6,191
2026-03-09T16:00:00,91.8,93.2,90.025,91.625,170
2026-03-09T17:00:00,91.525,92.375,91.05,91.6,77
2026-03-09T18:00:00,91.225,91.825,88.45,91.7,203
2026-03-09T19:00:00,92.0,92.125,79.7,83.8,341
2026-03-09T20:00:00,84.5,86.025,80.5,82.4,114
2026-03-09T22:00:00,83.1,87.0,83.1,85.45,80
2026-03-09T23:00:00,84.8,86.775,84.6,85.575,58
2026-03-10T00:00:00,85.2,85.9,82.8,83.4,95
2026-03-10T01:00:00,83.675,83.825,82.0,82.275,47
2026-03-10T02:00:00,82.575,86.325,82.3,86.325,50
2026-03-10T03:00:00,86.25,88.4,85.8,87.225,131
2026-03-10T04:00:00,87.0,88.175,87.0,87.475,61
2026-03-10T05:00:00,87.0,87.0,85.275,86.525,68
2026-03-10T06:00:00,86.35,87.475,85.75,87.275,32
2026-03-10T07:00:00,87.5,87.5,83.425,83.625,118
2026-03-10T08:00:00,83.525,86.25,83.325,86.225,105
2026-03-10T09:00:00,86.175,86.3,83.5,84.5,82
2026-03-10T10:00:00,84.525,87.0,84.525,85.8,91
2026-03-10T11:00:00,85.775,86.9,84.0,86.3,105
2026-03-10T12:00:00,86.225,88.05,85.975,86.6,120
2026-03-10T13:00:00,86.375,86.6,84.85,84.95,150
2026-03-10T14:00:00,85.125,85.75,81.3,82.175,301
2026-03-10T15:00:00,82.3,83.0,81.025,82.825,107
2026-03-10T16:00:00,83.05,83.7,80.4,80.575,124
2026-03-10T17:00:00,80.675,80.9,75.6,78.825,536
2026-03-10T18:00:00,78.8,85.275,78.425,82.725,365
2026-03-10T19:00:00,82.75,85.75,82.6,85.2,101
2026-03-10T20:00:00,84.975,85.4,84.4,84.95,28
2026-03-10T22:00:00,85.8,86.875,85.75,86.875,38
2026-03-10T23:00:00,86.25,86.25,83.9,84.125,58
2026-03-11T00:00:00,84.275,84.35,80.725,81.875,119
2026-03-11T01:00:00,81.5,83.15,81.5,82.6,134
2026-03-11T02:00:00,82.775,83.6,82.65,82.925,50
2026-03-11T03:00:00,82.875,82.95,81.575,81.575,23
2026-03-11T04:00:00,81.7,82.375,81.425,81.95,74
2026-03-11T05:00:00,81.9,82.95,81.9,82.725,30
2026-03-11T06:00:00,82.825,83.075,82.0,82.725,22
2026-03-11T07:00:00,82.2,84.4,82.1,84.1,58
2026-03-11T08:00:00,84.0,85.2,83.6,85.0,128
2026-03-11T09:00:00,84.95,87.325,84.875,87.075,136
2026-03-11T10:00:00,87.0,87.0,83.25,83.625,201
2026-03-11T11:00:00,83.5,85.825,83.425,85.2,134
2026-03-11T12:00:00,85.375,86.45,85.0,85.625,143
2026-03-11T13:00:00,85.35,85.45,82.35,82.875,221
2026-03-11T14:00:00,82.875,85.5,81.25,85.0,195
2026-03-11T15:00:00,85.4,86.25,84.85,86.0,44
2026-03-11T16:00:00,86.3,87.0,85.65,85.65,60
2026-03-11T17:00:00,85.55,86.925,84.925,86.4,55
2026-03-11T18:00:00,86.375,87.0,85.675,86.225,48
2026-03-11T19:00:00,86.225,86.775,85.8,86.5,18
2026-03-11T20:00:00,86.85,87.4,86.75,87.2,21
2026-03-11T22:00:00,87.45,91.5,87.45,89.875,103
2026-03-11T23:00:00,89.675,93.4,89.625,91.375,117
2026-03-12T00:00:00,91.3,92.975,90.95,91.95,114
2026-03-12T01:00:00,91.975,92.2,90.5,91.675,79
2026-03-12T02:00:00,92.125,94.625,92.0,93.025,124
2026-03-12T03:00:00,93.1,94.075,93.05,93.275,62
2026-03-12T04:00:00,93.1,93.85,92.975,93.525,33
2026-03-12T05:00:00,93.0,93.3,91.2,91.825,124
2026-03-12T06:00:00,91.675,92.075,90.35,90.875,97
2026-03-12T07:00:00,90.975,90.975,88.775,89.2,97
2026-03-12T08:00:00,89.15,91.275,89.075,91.075,80
2026-03-12T09:00:00,90.8,91.7,89.825,89.975,71
2026-03-12T10:00:00,89.8,90.45,89.6,89.875,66
2026-03-12T11:00:00,90.075,91.5,90.075,91.5,45
2026-03-12T12:00:00,91.2,92.125,91.2,91.475,69
2026-03-12T13:00:00,91.5,93.6,91.45,93.225,164
2026-03-12T14:00:00,93.05,94.325,92.725,94.025,216
2026-03-12T15:00:00,93.9,95.2,92.625,92.9,203
2026-03-12T16:00:00,93.0,94.05,91.6,93.3,130
2026-03-12T17:00:00,93.275,94.05,93.1,93.4,37
2026-03-12T18:00:00,92.875,95.275,92.875,95.275,70
2026-03-12T19:00:00,95.175,95.6,94.35,95.2,39
2026-03-12T20:00:00,95.2,95.325,94.55,95.0,43
2026-03-12T22:00:00,95.8,96.8,94.625,95.1,74
2026-03-12T23:00:00,95.325,96.15,95.25,95.5,32
2026-03-13T00:00:00,95.125,95.3,93.725,94.225,66
2026-03-13T01:00:00,94.2,94.975,93.6,94.4,63
2026-03-13T02:00:00,94.3,95.2,94.2,95.0,26
2026-03-13T03:00:00,94.85,95.075,94.025,94.4,25
2026-03-13T04:00:00,94.3,94.65,94.125,94.125,26
2026-03-13T05:00:00,94.225,94.4,93.775,94.075,21
2026-03-13T06:00:00,93.9,95.125,93.45,95.125,49
2026-03-13T07:00:00,95.125,96.15,95.05,95.975,97
2026-03-13T08:00:00,95.875,96.7,94.5,94.625,158
2026-03-13T09:00:00,94.425,95.125,93.9,94.9,91
2026-03-13T10:00:00,94.725,94.725,92.5,92.75,115
2026-03-13T11:00:00,92.7,93.95,92.2,92.375,120
2026-03-13T12:00:00,92.575,93.3,91.175,92.575,151
2026-03-13T13:00:00,92.225,93.25,91.925,93.25,96
2026-03-13T14:00:00,93.15,94.3,92.775,94.125,84
2026-03-13T15:00:00,94.375,95.3,94.225,94.9,84
2026-03-13T16:00:00,95.175,95.85,94.825,95.35,71
2026-03-13T17:00:00,95.2,96.3,94.85,96.25,76
2026-03-13T18:00:00,96.1,97.325,95.4,95.75,188
2026-03-13T19:00:00,95.75,96.35,95.55,96.2,39
2026-03-13T20:00:00,96.375,97.325,96.35,97.2,46
2026-03-15T22:00:00,98.65,100.275,97.6,97.675,160
2026-03-15T23:00:00,97.8,98.5,96.75,97.025,125
2026-03-16T00:00:00,97.025,97.025,95.725,95.75,80
2026-03-16T01:00:00,95.5,97.225,95.4,97.0,82
2026-03-16T02:00:00,97.0,97.85,96.55,97.45,61
2026-03-16T03:00:00,97.4,97.625,97.0,97.55,46
2026-03-16T04:00:00,97.65,98.0,97.65,97.8,20
2026-03-16T05:00:00,97.925,98.025,96.75,96.825,59
2026-03-16T06:00:00,96.8,98.05,96.65,97.425,31
2026-03-16T07:00:00,97.325,99.325,97.125,98.65,101
2026-03-16T08:00:00,98.65,99.2,98.05,98.3,83
2026-03-16T09:00:00,98.325,98.725,97.25,97.75,95
2026-03-16T10:00:00,97.7,97.7,95.65,95.65,128
2026-03-16T11:00:00,95.65,96.6,95.65,95.925,113
2026-03-16T12:00:00,96.0,96.275,93.4,94.1,237
2026-03-16T13:00:00,94.0,94.625,91.825,92.25,325
2026-03-16T15:00:00,94.0,94.525,93.5,94.375,139
2026-03-16T16:00:00,94.3,95.475,93.9,94.375,126
2026-03-16T17:00:00,94.05,94.375,92.75,93.2,114
2026-03-16T18:00:00,93.35,93.425,92.0,92.45,99
2026-03-16T19:00:00,92.6,93.5,92.0,92.325,77
2026-03-16T20:00:00,92.675,93.35,92.175,93.05,67
2026-03-16T22:00:00,93.275,94.25,93.125,93.925,63
2026-03-16T23:00:00,93.925,94.15,93.45,93.8,49
2026-03-17T00:00:00,93.85,95.325,93.85,94.9,233
2026-03-17T01:00:00,95.1,95.225,94.275,95.0,121
2026-03-17T02:00:00,95.175,95.325,94.725,95.15,60
2026-03-17T03:00:00,94.975,95.375,94.95,95.175,51
2026-03-17T04:00:00,95.2,95.45,94.625,95.025,69
2026-03-17T05:00:00,95.025,97.2,94.45,97.0,160
2026-03-17T06:00:00,96.875,97.65,96.3,96.85,205
2026-03-17T07:00:00,97.0,97.0,95.75,96.05,129
2026-03-17T08:00:00,96.0,96.95,95.9,96.675,104
2026-03-17T09:00:00,96.5,96.525,94.95,95.2,150
2026-03-17T10:00:00,95.3,96.175,95.3,95.5,105
2026-03-17T11:00:00,95.7,96.35,95.575,96.225,79
2026-03-17T12:00:00,96.1,96.1,94.6,94.625,209
2026-03-17T13:00:00,94.6,94.725,93.275,94.425,344
2026-03-17T14:00:00,94.45,94.875,93.2,93.45,274
2026-03-17T15:00:00,93.475,95.2,93.25,94.9,223
2026-03-17T16:00:00,94.875,95.025,93.65,94.35,162
2026-03-17T17:00:00,94.375,95.325,94.375,95.175,130
2026-03-17T18:00:00,95.15,95.625,94.875,95.25,78
2026-03-17T19:00:00,95.4,95.575,95.025,95.325,59
2026-03-17T20:00:00,95.5,95.5,95.125,95.275,19
2026-03-17T22:00:00,95.0,95.525,94.275,95.15,406
2026-03-17T23:00:00,95.125,95.65,94.95,95.325,135
2026-03-18T00:00:00,95.275,95.275,94.0,94.15,287
2026-03-18T01:00:00,94.1,94.475,93.8,94.3,326
2026-03-18T02:00:00,94.25,94.5,93.225,93.775,294
