datetime,open,high,low,close,volume
2026-03-13T00:00:00,95.8,97.325,91.175,97.2,1798
2026-03-17T00:00:00,93.275,97.65,93.125,95.275,3076
2026-03-18T00:00:00,95.0,99.75,91.325,99.05,23300
2026-03-19T00:00:00,99.05,100.4,92.125,94.525,38304
2026-03-20T00:00:00,94.5,98.75,92.5,98.225,13949
2026-03-23T00:00:00,100.05,101.675,84.425,88.95,41810
2026-03-24T00:00:00,88.875,93.375,86.375,88.375,18496
2026-03-25T00:00:00,88.225,91.6,86.475,91.325,15436
2026-03-26T00:00:00,91.5,95.45,89.5,93.725,12039
2026-03-27T00:00:00,93.125,101.5,92.1,101.125,11373
2026-03-30T00:00:00,102.5,105.375,99.6,105.0,13882
2026-03-31T00:00:00,105.1,106.975,99.625,101.425,14299
2026-04-01T00:00:00,101.325,103.35,96.475,98.875,20066
