datetime,open,high,low,close,volume
2026-02-08T23:00:00,2.1537,2.1703,2.1535,2.1615,85
2026-02-09T03:00:00,2.1624,2.163,2.1569,2.1597,28
2026-02-09T07:00:00,2.1597,2.1845,2.1548,2.1845,386
2026-02-09T11:00:00,2.1838,2.1967,2.1687,2.192,1226
2026-02-09T15:00:00,2.1918,2.2142,2.1898,2.2063,1402
2026-02-09T19:00:00,2.2063,2.2085,2.2027,2.2077,639
2026-02-09T23:00:00,2.2045,2.2058,2.1945,2.2032,103
2026-02-10T03:00:00,2.2027,2.2069,2.1992,2.2043,95
2026-02-10T07:00:00,2.2051,2.2113,2.1911,2.1979,574
2026-02-10T11:00:00,2.1984,2.2076,2.1947,2.2025,813
2026-02-10T15:00:00,2.2031,2.204,2.1826,2.1862,1184
2026-02-10T19:00:00,2.1851,2.1986,2.1851,2.192,754
2026-02-10T23:00:00,2.195,2.2,2.1918,2.2,58
2026-02-11T03:00:00,2.1975,2.1989,2.1954,2.1979,48
2026-02-11T07:00:00,2.1986,2.2097,2.1979,2.2062,182
2026-02-11T11:00:00,2.2065,2.2344,2.2064,2.2259,891
2026-02-11T15:00:00,2.2262,2.2262,2.2011,2.2068,1582
2026-02-11T19:00:00,2.2064,2.2171,2.203,2.2113,754
2026-02-11T23:00:00,2.2049,2.2121,2.2019,2.2076,76
2026-02-12T03:00:00,2.2106,2.2126,2.2052,2.2068,62
2026-02-12T07:00:00,2.2062,2.2097,2.1823,2.1867,318
2026-02-12T11:00:00,2.1879,2.1927,2.1759,2.1771,1289
2026-02-12T15:00:00,2.1779,2.1812,2.1422,2.1452,2030
2026-02-12T19:00:00,2.1457,2.1551,2.1399,2.1513,878
2026-02-12T23:00:00,2.1519,2.1535,2.1452,2.1472,78
2026-02-13T03:00:00,2.1471,2.148,2.1435,2.1478,65
2026-02-13T07:00:00,2.1462,2.153,2.1364,2.153,513
2026-02-13T11:00:00,2.1506,2.1519,2.128,2.1412,1020
2026-02-13T15:00:00,2.1407,2.1503,2.1326,2.1468,1134
2026-02-13T19:00:00,2.1465,2.1497,2.1334,2.1423,1101
2026-02-15T23:00:00,2.146,2.146,2.1411,2.1446,23
2026-02-16T03:00:00,2.1455,2.1473,2.1431,2.1455,20
2026-02-16T07:00:00,2.1452,2.1481,2.1341,2.1411,433
2026-02-16T11:00:00,2.1416,2.1536,2.1375,2.1536,145
2026-02-16T15:00:00,2.1519,2.163,2.1471,2.1602,243
2026-02-16T19:00:00,2.1597,2.1599,2.1579,2.1599,25
2026-02-16T23:00:00,2.1563,2.16,2.1551,2.1553,57
2026-02-17T03:00:00,2.1545,2.1545,2.15,2.1509,71
2026-02-17T07:00:00,2.1509,2.162,2.1424,2.162,377
2026-02-17T11:00:00,2.1622,2.1727,2.1313,2.1435,2346
2026-02-17T15:00:00,2.1432,2.1532,2.1286,2.1468,2213
2026-02-17T19:00:00,2.1465,2.1501,2.1435,2.1475,951
2026-02-17T23:00:00,2.1468,2.1485,2.1435,2.1477,78
2026-02-18T03:00:00,2.1484,2.153,2.1471,2.1515,75
2026-02-18T07:00:00,2.1503,2.1712,2.1481,2.1692,487
2026-02-18T11:00:00,2.1698,2.2048,2.1698,2.2007,2503
2026-02-18T15:00:00,2.2003,2.2137,2.1935,2.2115,3716
2026-02-18T19:00:00,2.211,2.2212,2.2067,2.2116,1664
2026-02-18T23:00:00,2.2157,2.2205,2.2094,2.2199,205
2026-02-19T03:00:00,2.2199,2.2237,2.2177,2.2185,246
2026-02-19T07:00:00,2.2189,2.2399,2.2186,2.2321,1310
2026-02-19T11:00:00,2.2307,2.2444,2.2271,2.2355,1871
2026-02-19T15:00:00,2.2358,2.2517,2.214,2.2468,3855
2026-02-19T19:00:00,2.2465,2.2619,2.2399,2.256,2021
2026-02-19T23:00:00,2.2516,2.2658,2.2484,2.2554,186
2026-02-20T03:00:00,2.2557,2.2618,2.2526,2.2537,189
2026-02-20T07:00:00,2.2539,2.2561,2.2387,2.243,1139
2026-02-20T11:00:00,2.2429,2.2605,2.2414,2.2536,2068
2026-02-20T15:00:00,2.254,2.2632,2.2423,2.2537,3275
2026-02-20T19:00:00,2.2539,2.2539,2.2462,2.2477,1679
2026-02-22T23:00:00,2.227,2.2408,2.2245,2.2349,202
2026-02-23T03:00:00,2.2338,2.2341,2.227,2.23,78
2026-02-23T07:00:00,2.2312,2.2438,2.226,2.2404,528
2026-02-23T11:00:00,2.2399,2.272,2.2374,2.2664,2412
2026-02-23T15:00:00,2.2663,2.2711,2.25,2.2519,3106
2026-02-23T19:00:00,2.2522,2.2614,2.2484,2.2572,1228
2026-02-23T23:00:00,2.2529,2.2669,2.2514,2.2668,147
2026-02-24T03:00:00,2.2675,2.2707,2.2621,2.2648,200
2026-02-24T07:00:00,2.2652,2.267,2.2511,2.2533,1154
2026-02-24T11:00:00,2.2525,2.265,2.2444,2.2524,2315
2026-02-24T15:00:00,2.2522,2.2547,2.2335,2.2517,3753
2026-02-24T19:00:00,2.2513,2.258,2.237,2.252,1752
2026-02-24T23:00:00,2.2486,2.2565,2.2457,2.2565,96
2026-02-25T03:00:00,2.256,2.2633,2.2455,2.2501,139
2026-02-25T07:00:00,2.2525,2.2553,2.2403,2.2502,1042
2026-02-25T11:00:00,2.2506,2.2655,2.2424,2.244,2638
2026-02-25T15:00:00,2.2436,2.2644,2.2389,2.2586,3402
2026-02-25T19:00:00,2.2585,2.2619,2.25,2.257,1228
2026-02-25T23:00:00,2.2571,2.2653,2.2496,2.2527,105
2026-02-26T03:00:00,2.2534,2.2574,2.2517,2.2529,52
2026-02-26T07:00:00,2.2534,2.2607,2.2292,2.2331,858
2026-02-26T11:00:00,2.2329,2.2505,2.2232,2.2478,3091
