datetime,open,high,low,close,volume
2026-02-12T00:00:00,2.2049,2.2126,2.1399,2.1513,4653
2026-02-13T00:00:00,2.1519,2.1535,2.128,2.1423,3911
2026-02-16T00:00:00,2.146,2.163,2.1341,2.1599,889
2026-02-17T00:00:00,2.1563,2.1727,2.1286,2.1475,6015
2026-02-18T00:00:00,2.1468,2.2212,2.1435,2.2116,8523
2026-02-19T00:00:00,2.2157,2.2619,2.2094,2.256,9508
2026-02-20T00:00:00,2.2516,2.2658,2.2387,2.2477,8536
2026-02-23T00:00:00,2.227,2.272,2.2245,2.2572,7554
2026-02-24T00:00:00,2.2529,2.2707,2.2335,2.252,9321
2026-02-25T00:00:00,2.2486,2.2655,2.2389,2.257,8545
2026-02-26T00:00:00,2.2571,2.2853,2.2232,2.2657,14120
2026-02-27T00:00:00,2.2602,2.3139,2.2511,2.3078,10822
2026-03-02T00:00:00,2.4925,2.498,2.3344,2.3813,28718
2026-03-03T00:00:00,2.3848,2.5315,2.3782,2.4536,29272
2026-03-04T00:00:00,2.4569,2.5322,2.4415,2.5053,25549
2026-03-05T00:00:00,2.514,2.6301,2.4989,2.5697,35061
2026-03-06T00:00:00,2.5924,2.7164,2.5397,2.7144,34108
2026-03-09T00:00:00,2.7786,3.1468,2.5006,2.598,41181
2026-03-10T00:00:00,2.6396,2.718,2.4748,2.6567,27930
2026-03-11T00:00:00,2.6778,2.7846,2.5994,2.7796,22647
2026-03-12T00:00:00,2.787,2.9464,2.77,2.9338,25266
2026-03-13T00:00:00,2.9376,3.0154,2.8577,3.0139,22239
2026-03-17T00:00:00,2.9653,3.0985,2.9653,3.0953,21627
2026-03-18T00:00:00,3.0938,3.2049,3.0076,3.1555,32507
2026-03-19T00:00:00,3.1672,3.249,3.0068,3.0846,37099
2026-03-20T00:00:00,3.0893,3.2809,3.0372,3.2593,27692
2026-03-23T00:00:00,3.2961,3.348,2.8539,2.9412,32990
2026-03-24T00:00:00,2.9332,3.1044,2.9301,2.9894,26689
2026-03-25T00:00:00,2.997,3.0117,2.8736,2.972,35318
2026-03-26T00:00:00,2.9749,3.1057,2.9677,3.0597,24094
2026-03-27T00:00:00,3.0752,3.2296,3.0164,3.2253,25122
2026-03-30T00:00:00,3.2375,3.3014,3.1978,3.2969,20252
2026-03-31T00:00:00,3.3109,3.3854,3.1671,3.1877,18798
