datetime,open,high,low,close,volume
2026-02-22T23:00:00,85.36,85.925,85.22,85.61,78
2026-02-22T23:01:00,85.8,85.87,85.8,85.87,10
2026-02-22T23:02:00,85.68,86.1,85.68,86.05,26
2026-02-22T23:03:00,86.065,86.09,85.69,85.735,31
2026-02-22T23:04:00,85.95,85.965,85.95,85.965,3
2026-02-22T23:05:00,86.07,86.07,85.965,85.965,2
2026-02-22T23:06:00,86.05,86.125,86.03,86.125,4
2026-02-22T23:07:00,86.11,86.18,86.11,86.155,6
2026-02-22T23:08:00,86.415,86.465,86.415,86.465,2
2026-02-22T23:09:00,86.475,86.555,86.39,86.39,15
2026-02-22T23:10:00,86.53,86.62,86.53,86.62,18
2026-02-22T23:11:00,86.525,86.605,86.525,86.605,7
2026-02-22T23:12:00,86.58,86.585,86.51,86.545,7
2026-02-22T23:13:00,86.55,86.55,86.45,86.55,13
2026-02-22T23:14:00,86.495,86.655,86.495,86.655,24
2026-02-22T23:15:00,86.655,86.82,86.655,86.805,21
2026-02-22T23:16:00,86.845,86.855,86.8,86.815,28
2026-02-22T23:17:00,86.8,86.805,86.55,86.55,36
2026-02-22T23:18:00,86.55,86.71,86.55,86.57,23
2026-02-22T23:19:00,86.66,86.66,86.56,86.56,14
2026-02-22T23:20:00,86.6,86.6,86.59,86.59,9
2026-02-22T23:21:00,86.675,86.86,86.66,86.86,27
2026-02-22T23:22:00,86.855,86.86,86.825,86.86,71
2026-02-22T23:23:00,86.86,86.885,86.805,86.86,13
2026-02-22T23:24:00,86.935,86.955,86.885,86.955,5
2026-02-22T23:25:00,86.94,86.975,86.91,86.91,61
2026-02-22T23:26:00,86.95,86.955,86.82,86.82,5
2026-02-22T23:28:00,87.0,87.0,86.68,86.68,18
2026-02-22T23:29:00,86.665,86.865,86.665,86.845,8
2026-02-22T23:30:00,86.83,87.09,86.795,87.06,44
2026-02-22T23:31:00,87.0,87.0,86.82,86.82,9
2026-02-22T23:32:00,86.805,86.84,86.735,86.81,5
2026-02-22T23:33:00,86.85,86.85,86.835,86.84,3
2026-02-22T23:34:00,86.84,86.92,86.84,86.895,13
2026-02-22T23:35:00,86.92,87.0,86.92,86.97,6
2026-02-22T23:36:00,87.02,87.02,86.985,86.985,4
2026-02-22T23:37:00,87.13,87.25,87.13,87.23,80
2026-02-22T23:38:00,87.22,87.22,87.145,87.18,6
2026-02-22T23:39:00,87.245,87.245,87.175,87.175,6
2026-02-22T23:40:00,87.14,87.265,87.14,87.26,8
2026-02-22T23:41:00,87.16,87.215,87.16,87.215,2
2026-02-22T23:42:00,87.155,87.225,86.97,87.01,62
2026-02-22T23:43:00,87.095,87.11,87.095,87.11,6
2026-02-22T23:44:00,87.185,87.19,87.185,87.19,2
2026-02-22T23:45:00,87.085,87.085,87.085,87.085,2
2026-02-22T23:46:00,87.09,87.09,87.085,87.085,3
2026-02-22T23:47:00,87.115,87.115,87.115,87.115,1
2026-02-22T23:48:00,87.22,87.24,87.19,87.19,4
2026-02-22T23:49:00,87.195,87.195,87.195,87.195,1
2026-02-22T23:50:00,87.2,87.6,87.2,87.6,8
2026-02-22T23:51:00,87.58,87.645,87.58,87.6,7
2026-02-22T23:52:00,87.585,87.635,87.58,87.58,6
2026-02-22T23:53:00,87.57,87.595,87.57,87.595,5
2026-02-22T23:54:00,87.56,87.595,87.545,87.545,6
2026-02-22T23:55:00,87.49,87.59,87.49,87.59,6
2026-02-22T23:56:00,87.56,87.61,87.56,87.61,5
2026-02-22T23:57:00,87.595,87.655,87.595,87.655,7
2026-02-22T23:58:00,87.66,87.765,87.645,87.67,13
2026-02-22T23:59:00,87.59,87.59,87.55,87.55,3
2026-02-23T00:00:00,87.625,87.625,87.16,87.29,18
2026-02-23T00:01:00,87.115,87.44,87.115,87.44,28
2026-02-23T00:02:00,87.49,87.56,87.435,87.435,12
2026-02-23T00:03:00,87.29,87.3,87.235,87.3,5
2026-02-23T00:04:00,87.345,87.35,87.19,87.19,8
2026-02-23T00:05:00,87.225,87.225,87.12,87.155,6
2026-02-23T00:06:00,87.12,87.2,87.115,87.115,8
2026-02-23T00:07:00,87.11,87.11,86.995,87.0,13
2026-02-23T00:08:00,86.995,87.17,86.995,87.17,11
2026-02-23T00:09:00,87.165,87.42,87.15,87.42,8
2026-02-23T00:10:00,87.35,87.355,87.25,87.305,6
2026-02-23T00:11:00,87.265,87.265,87.25,87.25,6
2026-02-23T00:12:00,86.98,87.02,86.98,87.02,4
2026-02-23T00:13:00,87.07,87.07,87.05,87.055,7
2026-02-23T00:15:00,86.995,87.035,86.995,87.025,4
2026-02-23T00:16:00,86.995,87.045,86.95,87.045,16
2026-02-23T00:17:00,87.11,87.155,87.11,87.155,5
2026-02-23T00:18:00,87.095,87.14,87.095,87.135,5
2026-02-23T00:19:00,87.02,87.02,87.015,87.015,6
2026-02-23T00:20:00,86.945,86.995,86.925,86.995,9
2026-02-23T00:21:00,87.095,87.095,87.03,87.03,10
2026-02-23T00:22:00,87.1,87.25,87.1,87.25,20
2026-02-23T00:23:00,87.205,87.205,87.17,87.175,6
2026-02-23T00:24:00,87.13,87.13,87.03,87.03,6
2026-02-23T00:25:00,87.11,87.125,87.01,87.01,10
2026-02-23T00:26:00,86.875,86.935,86.86,86.86,9
2026-02-23T00:27:00,87.03,87.08,87.03,87.08,6
2026-02-23T00:28:00,87.08,87.105,87.08,87.105,4
2026-02-23T00:29:00,87.11,87.2,87.11,87.2,11
2026-02-23T00:30:00,87.22,87.265,87.195,87.265,8
2026-02-23T00:31:00,87.32,87.35,87.265,87.315,9
2026-02-23T00:32:00,87.25,87.295,87.14,87.14,15
2026-02-23T00:33:00,87.135,87.135,87.015,87.015,7
2026-02-23T00:34:00,87.05,87.05,87.045,87.045,4
2026-02-23T00:35:00,87.06,87.075,87.045,87.075,3
2026-02-23T00:36:00,87.16,87.16,87.145,87.145,2
2026-02-23T00:37:00,87.03,87.04,87.005,87.04,13
2026-02-23T00:38:00,87.06,87.06,87.06,87.06,2
2026-02-23T00:39:00,86.92,86.92,86.915,86.915,3
2026-02-23T00:40:00,86.88,86.995,86.875,86.97,6
2026-02-23T00:41:00,86.925,86.925,86.88,86.88,4
2026-02-23T00:42:00,86.87,86.955,86.87,86.885,8
2026-02-23T00:43:00,86.885,86.885,86.85,86.85,3
2026-02-23T00:44:00,86.85,86.88,86.845,86.88,5
2026-02-23T00:45:00,86.85,86.85,86.485,86.675,77
2026-02-23T00:46:00,86.68,86.68,86.5,86.66,33
2026-02-23T00:47:00,86.69,86.69,86.605,86.605,8
2026-02-23T00:48:00,86.625,86.75,86.625,86.75,7
2026-02-23T00:49:00,86.745,86.745,86.625,86.625,4
2026-02-23T00:50:00,86.71,86.73,86.67,86.67,10
2026-02-23T00:51:00,86.75,86.835,86.75,86.835,10
2026-02-23T00:52:00,86.755,86.755,86.69,86.69,6
2026-02-23T00:53:00,86.795,86.82,86.795,86.82,2
2026-02-23T00:54:00,86.815,86.865,86.815,86.865,3
2026-02-23T00:55:00,86.84,86.89,86.815,86.89,6
2026-02-23T00:56:00,86.86,86.865,86.8,86.805,26
2026-02-23T00:57:00,86.81,86.81,86.805,86.805,2
2026-02-23T00:58:00,86.715,86.72,86.66,86.66,8
2026-02-23T00:59:00,86.695,86.84,86.695,86.84,37
2026-02-23T01:00:00,86.88,86.88,86.61,86.63,21
2026-02-23T01:01:00,86.63,86.63,86.45,86.57,73
2026-02-23T01:02:00,86.53,86.645,86.505,86.645,6
2026-02-23T01:03:00,86.665,86.665,86.665,86.665,1
2026-02-23T01:04:00,86.65,86.72,86.65,86.72,2
2026-02-23T01:05:00,86.72,87.18,86.72,86.98,89
2026-02-23T01:06:00,87.045,87.115,86.93,87.115,16
2026-02-23T01:07:00,87.145,87.15,87.085,87.085,5
2026-02-23T01:08:00,87.09,87.15,87.09,87.095,3
2026-02-23T01:09:00,87.155,87.3,87.155,87.25,21
2026-02-23T01:10:00,87.185,87.185,87.09,87.13,5
2026-02-23T01:11:00,87.17,87.17,87.17,87.17,2
2026-02-23T01:12:00,87.125,87.145,87.11,87.12,10
2026-02-23T01:13:00,87.105,87.105,87.105,87.105,1
2026-02-23T01:14:00,87.005,87.005,86.955,86.985,7
2026-02-23T01:15:00,87.025,87.075,87.025,87.075,2
2026-02-23T01:16:00,87.22,87.22,87.11,87.18,7
2026-02-23T01:17:00,87.19,87.215,87.045,87.09,6
2026-02-23T01:18:00,87.07,87.155,87.07,87.155,15
2026-02-23T01:19:00,87.16,87.17,87.115,87.115,25
2026-02-23T01:20:00,87.2,87.235,87.2,87.235,4
2026-02-23T01:21:00,87.235,87.305,87.21,87.29,13
2026-02-23T01:22:00,87.31,87.37,87.295,87.355,26
2026-02-23T01:23:00,87.34,87.495,87.32,87.495,25
2026-02-23T01:24:00,87.42,87.5,87.415,87.45,21
2026-02-23T01:25:00,87.445,87.545,87.445,87.545,7
2026-02-23T01:26:00,87.495,87.53,87.455,87.465,18
2026-02-23T01:27:00,87.59,87.63,87.575,87.63,10
2026-02-23T01:28:00,87.605,87.605,87.475,87.495,15
2026-02-23T01:29:00,87.51,87.59,87.51,87.59,12
2026-02-23T01:30:00,87.6,87.6,87.6,87.6,1
2026-02-23T01:31:00,87.61,87.69,87.61,87.685,13
2026-02-23T01:32:00,87.69,87.885,87.69,87.885,10
2026-02-23T01:33:00,87.875,87.88,87.805,87.805,8
2026-02-23T01:34:00,87.875,87.885,87.84,87.865,10
2026-02-23T01:35:00,87.91,87.965,87.91,87.965,4
2026-02-23T01:36:00,87.995,88.025,87.965,87.965,13
2026-02-23T01:37:00,88.015,88.035,87.99,88.0,7
2026-02-23T01:38:00,88.03,88.03,87.97,88.0,14
2026-02-23T01:39:00,87.925,87.925,87.865,87.885,6
2026-02-23T01:40:00,87.965,88.01,87.965,88.01,3
2026-02-23T01:42:00,87.995,88.035,87.955,88.035,4
2026-02-23T01:43:00,87.99,88.06,87.99,88.06,9
2026-02-23T01:44:00,88.06,88.115,88.05,88.095,13
2026-02-23T01:45:00,88.135,88.135,87.985,88.005,6
2026-02-23T01:46:00,87.975,87.975,87.91,87.915,19
2026-02-23T01:47:00,87.715,87.75,87.715,87.75,9
2026-02-23T01:48:00,87.88,87.88,87.88,87.88,1
2026-02-23T01:49:00,87.885,87.885,87.885,87.885,1
2026-02-23T01:50:00,87.85,87.95,87.85,87.95,5
2026-02-23T01:51:00,87.92,87.92,87.9,87.9,2
2026-02-23T01:52:00,87.9,87.9,87.75,87.75,11
2026-02-23T01:53:00,87.735,87.735,87.585,87.585,13
2026-02-23T01:54:00,87.545,87.545,87.525,87.53,3
2026-02-23T01:55:00,87.58,87.58,87.5,87.5,5
2026-02-23T01:56:00,87.48,87.48,87.48,87.48,2
2026-02-23T01:57:00,87.43,87.575,87.41,87.55,11
2026-02-23T01:58:00,87.455,87.505,87.455,87.505,5
2026-02-23T01:59:00,87.475,87.475,87.355,87.355,5
2026-02-23T02:00:00,87.415,87.415,87.415,87.415,1
2026-02-23T02:01:00,87.45,87.45,87.435,87.435,2
2026-02-23T02:02:00,87.385,87.385,87.3,87.3,6
2026-02-23T02:03:00,87.37,87.395,87.37,87.395,2
2026-02-23T02:05:00,87.525,87.525,87.525,87.525,1
2026-02-23T02:06:00,87.58,87.65,87.575,87.65,9
2026-02-23T02:07:00,87.575,87.575,87.575,87.575,2
2026-02-23T02:09:00,87.605,87.605,87.6,87.6,4
2026-02-23T02:10:00,87.7,87.7,87.7,87.7,1
2026-02-23T02:11:00,87.725,87.77,87.715,87.77,3
2026-02-23T02:12:00,87.805,87.885,87.805,87.88,8
2026-02-23T02:13:00,87.85,87.89,87.775,87.825,4
2026-02-23T02:14:00,87.775,87.775,87.755,87.775,4
2026-02-23T02:15:00,87.835,87.835,87.835,87.835,1
2026-02-23T02:16:00,87.945,87.98,87.945,87.98,4
2026-02-23T02:18:00,87.85,87.85,87.845,87.845,4
2026-02-23T02:19:00,87.845,87.845,87.725,87.725,26
2026-02-23T02:20:00,87.74,87.92,87.74,87.92,4
2026-02-23T02:21:00,87.935,87.965,87.895,87.895,19
2026-02-23T02:22:00,87.855,87.925,87.855,87.895,22
2026-02-23T02:23:00,87.91,87.92,87.87,87.875,14
2026-02-23T02:24:00,87.885,87.9,87.885,87.885,5
2026-02-23T02:25:00,87.895,87.95,87.865,87.95,7
2026-02-23T02:26:00,87.915,88.0,87.915,87.955,15
2026-02-23T02:28:00,88.045,88.05,87.96,88.005,23
2026-02-23T02:29:00,87.99,87.99,87.97,87.97,3
2026-02-23T02:30:00,87.96,87.975,87.95,87.975,8
2026-02-23T02:31:00,87.965,87.965,87.955,87.955,3
2026-02-23T02:32:00,87.95,87.95,87.93,87.93,5
2026-02-23T02:33:00,87.945,88.015,87.945,88.0,4
2026-02-23T02:34:00,88.105,88.145,88.105,88.105,16
2026-02-23T02:35:00,88.105,88.125,88.105,88.12,3
2026-02-23T02:36:00,88.16,88.25,88.16,88.23,20
2026-02-23T02:37:00,88.225,88.245,88.19,88.195,14
2026-02-23T02:39:00,88.155,88.175,88.155,88.17,5
2026-02-23T02:40:00,88.155,88.19,88.155,88.19,3
2026-02-23T02:41:00,88.18,88.305,88.18,88.3,4
2026-02-23T02:42:00,88.3,88.3,88.28,88.28,4
2026-02-23T02:43:00,88.24,88.24,88.155,88.17,4
2026-02-23T02:44:00,88.155,88.155,88.07,88.07,11
2026-02-23T02:45:00,88.12,88.175,88.1,88.175,12
2026-02-23T02:46:00,88.145,88.145,88.09,88.105,13
2026-02-23T02:47:00,88.13,88.13,88.125,88.125,3
2026-02-23T02:48:00,88.1,88.1,88.1,88.1,1
2026-02-23T02:49:00,88.065,88.065,88.065,88.065,1
2026-02-23T02:50:00,87.945,87.945,87.91,87.935,22
2026-02-23T02:51:00,87.925,87.925,87.89,87.915,4
2026-02-23T02:52:00,87.995,87.995,87.96,87.96,2
2026-02-23T02:53:00,87.95,87.95,87.925,87.925,5
2026-02-23T02:54:00,87.95,87.95,87.95,87.95,1
2026-02-23T02:55:00,87.99,88.03,87.99,88.0,6
2026-02-23T02:57:00,88.04,88.04,88.04,88.04,1
2026-02-23T02:58:00,88.045,88.055,88.04,88.055,6
2026-02-23T02:59:00,88.04,88.045,88.04,88.045,4
2026-02-23T03:00:00,88.1,88.125,88.1,88.125,2
2026-02-23T03:02:00,88.125,88.125,88.125,88.125,1
2026-02-23T03:03:00,88.045,88.045,87.935,87.935,5
2026-02-23T03:04:00,87.885,87.885,87.85,87.875,9
2026-02-23T03:06:00,87.94,87.94,87.935,87.94,3
2026-02-23T03:07:00,87.875,87.875,87.8,87.825,7
2026-02-23T03:09:00,87.78,87.78,87.685,87.685,10
2026-02-23T03:10:00,87.665,87.665,87.61,87.65,7
2026-02-23T03:11:00,87.655,87.655,87.63,87.63,5
2026-02-23T03:12:00,87.63,87.65,87.62,87.65,6
2026-02-23T03:13:00,87.67,87.755,87.67,87.755,7
2026-02-23T03:14:00,87.725,87.815,87.725,87.775,9
2026-02-23T03:15:00,87.74,87.75,87.7,87.75,4
2026-02-23T03:16:00,87.765,87.82,87.745,87.785,11
2026-02-23T03:18:00,87.7,87.7,87.7,87.7,1
2026-02-23T03:19:00,87.635,87.635,87.63,87.63,4
2026-02-23T03:20:00,87.62,87.62,87.62,87.62,4
2026-02-23T03:22:00,87.66,87.665,87.655,87.665,5
2026-02-23T03:23:00,87.65,87.68,87.65,87.655,7
2026-02-23T03:24:00,87.635,87.655,87.635,87.655,2
2026-02-23T03:25:00,87.645,87.71,87.645,87.675,5
2026-02-23T03:26:00,87.725,87.725,87.725,87.725,1
2026-02-23T03:27:00,87.71,87.71,87.71,87.71,1
2026-02-23T03:29:00,87.68,87.68,87.68,87.68,1
2026-02-23T03:30:00,87.69,87.945,87.69,87.945,24
2026-02-23T03:31:00,87.82,87.82,87.82,87.82,1
2026-02-23T03:32:00,87.84,87.84,87.84,87.84,1
2026-02-23T03:33:00,87.835,87.835,87.835,87.835,1
2026-02-23T03:34:00,87.88,87.925,87.815,87.915,23
2026-02-23T03:35:00,87.885,88.06,87.885,88.01,28
2026-02-23T03:36:00,88.015,88.02,87.985,87.985,23
2026-02-23T03:37:00,87.985,87.985,87.985,87.985,12
2026-02-23T03:38:00,88.0,88.06,87.96,87.96,15
2026-02-23T03:39:00,87.935,87.935,87.9,87.92,12
2026-02-23T03:40:00,87.885,87.93,87.885,87.93,4
2026-02-23T03:41:00,87.93,87.93,87.89,87.91,14
2026-02-23T03:42:00,87.91,87.93,87.8,87.8,29
2026-02-23T03:43:00,87.77,87.77,87.695,87.72,19
2026-02-23T03:47:00,87.74,87.77,87.74,87.77,3
2026-02-23T03:48:00,87.755,87.755,87.705,87.75,6
2026-02-23T03:49:00,87.785,87.86,87.785,87.85,18
2026-02-23T03:50:00,87.91,87.935,87.91,87.93,60
2026-02-23T03:51:00,87.935,87.985,87.87,87.87,20
2026-02-23T03:52:00,87.87,87.905,87.87,87.905,8
2026-02-23T03:53:00,87.905,87.905,87.905,87.905,8
2026-02-23T03:55:00,87.785,87.785,87.715,87.715,4
2026-02-23T03:56:00,87.76,87.76,87.76,87.76,1
2026-02-23T03:58:00,87.685,87.69,87.67,87.67,6
2026-02-23T04:00:00,87.7,87.785,87.7,87.785,4
2026-02-23T04:02:00,87.81,87.81,87.81,87.81,1
2026-02-23T04:03:00,87.785,87.785,87.755,87.755,3
2026-02-23T04:04:00,87.73,87.73,87.73,87.73,1
2026-02-23T04:05:00,87.7,87.7,87.7,87.7,1
2026-02-23T04:07:00,87.72,87.72,87.72,87.72,2
2026-02-23T04:09:00,87.65,87.65,87.525,87.55,23
2026-02-23T04:10:00,87.605,87.66,87.605,87.66,5
2026-02-23T04:11:00,87.745,87.745,87.745,87.745,1
2026-02-23T04:12:00,87.72,87.8,87.695,87.8,10
2026-02-23T04:13:00,87.88,87.885,87.87,87.885,3
2026-02-23T04:14:00,87.77,87.77,87.77,87.77,2
2026-02-23T04:16:00,87.765,87.765,87.765,87.765,1
2026-02-23T04:17:00,87.71,87.71,87.71,87.71,1
2026-02-23T04:18:00,87.735,87.735,87.7,87.705,6
2026-02-23T04:20:00,87.71,87.71,87.71,87.71,2
2026-02-23T04:21:00,87.685,87.69,87.685,87.69,2
2026-02-23T04:22:00,87.75,87.77,87.75,87.77,3
2026-02-23T04:23:00,87.8,87.855,87.8,87.855,7
2026-02-23T04:24:00,87.88,87.88,87.88,87.88,1
2026-02-23T04:25:00,87.825,87.825,87.825,87.825,10
2026-02-23T04:26:00,87.8,87.835,87.8,87.835,5
2026-02-23T04:27:00,87.825,87.825,87.825,87.825,1
2026-02-23T04:28:00,87.87,87.885,87.87,87.885,3
2026-02-23T04:30:00,87.885,88.0,87.885,88.0,9
2026-02-23T04:31:00,87.97,87.97,87.935,87.945,4
2026-02-23T04:32:00,87.965,87.97,87.86,87.86,5
2026-02-23T04:33:00,87.84,87.84,87.8,87.8,5
2026-02-23T04:34:00,87.8,87.8,87.75,87.75,6
2026-02-23T04:35:00,87.78,87.78,87.745,87.745,3
2026-02-23T04:37:00,87.7,87.71,87.7,87.7,4
2026-02-23T04:39:00,87.69,87.695,87.665,87.695,12
2026-02-23T04:40:00,87.73,87.73,87.73,87.73,3
2026-02-23T04:43:00,87.83,87.83,87.83,87.83,1
2026-02-23T04:47:00,87.745,87.76,87.745,87.76,5
2026-02-23T04:48:00,87.725,87.725,87.72,87.725,3
2026-02-23T04:49:00,87.71,87.715,87.71,87.715,2
2026-02-23T04:51:00,87.72,87.72,87.7,87.7,3
2026-02-23T04:52:00,87.705,87.705,87.55,87.595,17
2026-02-23T04:54:00,87.675,87.675,87.66,87.66,4
2026-02-23T04:56:00,87.7,87.715,87.7,87.715,3
2026-02-23T04:57:00,87.66,87.66,87.66,87.66,1
2026-02-23T04:59:00,87.68,87.685,87.68,87.685,2
2026-02-23T05:00:00,87.62,87.62,87.615,87.615,2
2026-02-23T05:02:00,87.625,87.625,87.62,87.62,2
2026-02-23T05:03:00,87.615,87.615,87.61,87.61,3
2026-02-23T05:04:00,87.57,87.63,87.57,87.63,2
2026-02-23T05:05:00,87.62,87.62,87.48,87.48,6
2026-02-23T05:06:00,87.54,87.54,87.54,87.54,1
2026-02-23T05:07:00,87.58,87.59,87.57,87.57,5
2026-02-23T05:09:00,87.56,87.565,87.56,87.565,2
2026-02-23T05:10:00,87.52,87.52,87.52,87.52,1
2026-02-23T05:11:00,87.6,87.6,87.6,87.6,1
2026-02-23T05:12:00,87.655,87.765,87.655,87.765,5
2026-02-23T05:13:00,87.775,87.775,87.775,87.775,1
2026-02-23T05:15:00,87.705,87.71,87.705,87.71,2
2026-02-23T05:16:00,87.72,87.74,87.72,87.74,3
2026-02-23T05:17:00,87.725,87.725,87.725,87.725,1
2026-02-23T05:18:00,87.66,87.66,87.625,87.645,8
2026-02-23T05:19:00,87.585,87.585,87.585,87.585,1
2026-02-23T05:22:00,87.63,87.63,87.555,87.555,5
2026-02-23T05:23:00,87.525,87.525,87.37,87.37,6
2026-02-23T05:25:00,87.495,87.515,87.435,87.435,8
2026-02-23T05:26:00,87.405,87.405,87.375,87.375,11
2026-02-23T05:27:00,87.385,87.385,87.385,87.385,1
2026-02-23T05:28:00,87.465,87.465,87.465,87.465,1
2026-02-23T05:29:00,87.535,87.535,87.49,87.49,4
2026-02-23T05:30:00,87.535,87.535,87.39,87.39,4
2026-02-23T05:31:00,87.375,87.39,87.375,87.39,3
2026-02-23T05:32:00,87.435,87.44,87.435,87.44,3
2026-02-23T05:34:00,87.45,87.45,87.395,87.42,3
2026-02-23T05:35:00,87.43,87.535,87.43,87.485,6
2026-02-23T05:36:00,87.475,87.475,87.465,87.465,3
2026-02-23T05:37:00,87.49,87.505,87.49,87.505,2
2026-02-23T05:38:00,87.465,87.465,87.46,87.46,6
2026-02-23T05:39:00,87.395,87.4,87.395,87.4,2
2026-02-23T05:40:00,87.365,87.385,87.33,87.385,8
2026-02-23T05:41:00,87.385,87.385,87.38,87.38,5
2026-02-23T05:42:00,87.33,87.345,87.315,87.345,4
2026-02-23T05:43:00,87.325,87.335,87.325,87.335,2
2026-02-23T05:44:00,87.36,87.36,87.36,87.36,1
2026-02-23T05:45:00,87.375,87.375,87.375,87.375,1
2026-02-23T05:46:00,87.39,87.39,87.39,87.39,1
2026-02-23T05:47:00,87.43,87.47,87.43,87.47,6
2026-02-23T05:48:00,87.465,87.465,87.41,87.41,2
2026-02-23T05:49:00,87.5,87.5,87.5,87.5,1
2026-02-23T05:50:00,87.535,87.535,87.535,87.535,1
2026-02-23T05:51:00,87.435,87.435,87.42,87.425,8
2026-02-23T05:52:00,87.43,87.43,87.43,87.43,1
2026-02-23T05:54:00,87.525,87.525,87.525,87.525,1
2026-02-23T05:55:00,87.525,87.53,87.52,87.52,4
2026-02-23T05:59:00,87.48,87.485,87.47,87.48,7
2026-02-23T06:00:00,87.54,87.63,87.5,87.5,12
2026-02-23T06:01:00,87.515,87.515,87.515,87.515,1
2026-02-23T06:02:00,87.49,87.49,87.45,87.45,4
2026-02-23T06:03:00,87.47,87.475,87.47,87.475,2
2026-02-23T06:04:00,87.565,87.59,87.565,87.57,10
2026-02-23T06:05:00,87.565,87.565,87.565,87.565,2
2026-02-23T06:07:00,87.525,87.525,87.525,87.525,1
2026-02-23T06:08:00,87.46,87.46,87.46,87.46,1
2026-02-23T06:09:00,87.455,87.455,87.45,87.45,2
2026-02-23T06:17:00,87.545,87.565,87.545,87.565,2
2026-02-23T06:22:00,87.59,87.59,87.565,87.565,2
2026-02-23T06:23:00,87.59,87.595,87.59,87.595,2
2026-02-23T06:24:00,87.595,87.595,87.515,87.515,3
2026-02-23T06:25:00,87.55,87.55,87.43,87.465,10
2026-02-23T06:26:00,87.43,87.45,87.43,87.45,5
2026-02-23T06:27:00,87.42,87.42,87.42,87.42,1
2026-02-23T06:28:00,87.405,87.405,87.375,87.375,4
2026-02-23T06:29:00,87.35,87.35,87.26,87.26,11
2026-02-23T06:30:00,87.305,87.355,87.305,87.355,5
2026-02-23T06:31:00,87.365,87.4,87.365,87.4,2
2026-02-23T06:32:00,87.33,87.33,87.33,87.33,1
2026-02-23T06:33:00,87.26,87.305,87.25,87.305,7
2026-02-23T06:36:00,87.395,87.405,87.395,87.405,4
2026-02-23T06:37:00,87.225,87.225,87.02,87.02,19
2026-02-23T06:38:00,87.08,87.165,87.08,87.165,5
2026-02-23T06:39:00,87.19,87.19,87.19,87.19,1
2026-02-23T06:40:00,87.195,87.255,87.195,87.255,11
2026-02-23T06:42:00,87.22,87.22,87.22,87.22,1
2026-02-23T06:44:00,87.09,87.09,87.09,87.09,1
2026-02-23T06:45:00,87.05,87.05,86.98,86.98,15
