datetime,open,high,low,close,volume
2026-02-22T23:00:00,85.36,88.305,85.22,88.045,2576
2026-02-23T03:00:00,88.1,88.125,86.795,86.94,1059
2026-02-23T07:00:00,86.91,87.535,85.685,87.485,1926
2026-02-23T11:00:00,87.46,88.5,86.1,87.725,3583
2026-02-23T15:00:00,87.75,88.18,86.435,88.1,4225
2026-02-23T19:00:00,88.075,89.5,87.93,88.645,1373
2026-02-23T23:00:00,88.81,89.265,85.175,87.96,3324
2026-02-24T03:00:00,87.925,89.385,87.18,88.61,1948
2026-02-24T07:00:00,88.555,89.13,88.11,88.57,2038
2026-02-24T11:00:00,88.575,88.815,85.815,87.605,7150
2026-02-24T15:00:00,87.605,88.84,87.415,87.86,6012
2026-02-24T19:00:00,87.815,88.285,87.135,87.73,1941
2026-02-24T23:00:00,87.84,90.38,87.125,90.055,4258
2026-02-25T03:00:00,90.075,91.835,89.4,91.15,5080
2026-02-25T07:00:00,91.12,91.65,90.855,91.085,3718
2026-02-25T11:00:00,91.055,91.565,89.935,91.17,12001
2026-02-25T15:00:00,91.175,91.745,90.39,91.65,7495
2026-02-25T19:00:00,91.65,91.985,88.835,89.86,8501
2026-02-25T23:00:00,89.56,90.99,87.8,89.39,8992
2026-02-26T03:00:00,89.455,90.555,89.19,89.64,3314
2026-02-26T07:00:00,89.72,89.825,86.7,87.285,8091
2026-02-26T11:00:00,87.26,88.13,86.12,87.085,11242
2026-02-26T15:00:00,87.09,88.095,85.545,87.945,12682
2026-02-26T19:00:00,87.915,89.51,87.91,88.865,4272
2026-02-26T23:00:00,89.075,90.615,88.305,90.41,5191
2026-02-27T03:00:00,90.415,91.165,89.89,90.76,3234
2026-02-27T07:00:00,90.775,90.93,89.64,90.28,3865
2026-02-27T11:00:00,90.3,93.335,90.025,92.24,13300
2026-02-27T15:00:00,92.185,94.76,92.14,93.775,18046
2026-02-27T19:00:00,93.77,94.5,93.41,94.385,3378
2026-03-01T23:00:00,96.0,97.3,92.31,94.365,15475
2026-03-02T03:00:00,94.35,95.7,93.595,95.34,3949
2026-03-02T07:00:00,95.24,96.55,95.2,95.605,4799
2026-03-02T11:00:00,95.645,95.78,88.61,90.265,21897
2026-03-02T15:00:00,90.355,91.195,86.725,89.085,21416
2026-03-02T19:00:00,89.055,91.085,89.015,89.61,5252
2026-03-02T23:00:00,89.69,91.605,88.465,90.335,7430
2026-03-03T03:00:00,90.35,90.54,83.005,85.2,13626
2026-03-03T07:00:00,85.15,87.86,81.66,82.09,16717
2026-03-03T11:00:00,81.945,83.67,78.06,79.74,26924
2026-03-03T15:00:00,79.665,84.375,79.645,83.815,17826
2026-03-03T19:00:00,83.85,84.145,82.155,82.3,5046
2026-03-03T23:00:00,82.4,85.725,81.74,84.205,5863
2026-03-04T03:00:00,84.175,85.58,83.465,85.025,3727
2026-03-04T07:00:00,84.955,86.87,84.52,86.17,4793
2026-03-04T11:00:00,86.15,87.07,83.33,83.77,11800
2026-03-04T15:00:00,83.55,84.835,82.325,83.505,11211
2026-03-04T19:00:00,83.505,83.95,83.04,83.765,1894
2026-03-04T23:00:00,83.895,85.47,83.455,85.35,3439
2026-03-05T03:00:00,85.34,85.75,80.565,83.535,6846
2026-03-05T07:00:00,83.5,85.155,82.91,84.515,5587
2026-03-05T11:00:00,84.49,84.945,81.705,82.835,11457
2026-03-05T15:00:00,82.82,83.67,81.315,81.8,11735
2026-03-05T19:00:00,81.755,82.62,80.77,82.52,3744
2026-03-05T23:00:00,82.555,84.68,82.02,84.06,4644
2026-03-06T03:00:00,84.07,84.9,83.63,84.59,3464
2026-03-06T07:00:00,84.565,85.085,82.55,83.17,4612
2026-03-06T11:00:00,83.17,84.46,81.785,83.98,11398
2026-03-06T15:00:00,83.98,85.335,83.76,84.7,10029
2026-03-06T19:00:00,84.69,85.035,83.86,84.695,2216
2026-03-08T22:00:00,84.62,85.3,79.64,81.055,10634
2026-03-09T02:00:00,81.095,84.83,80.65,84.315,6330
2026-03-09T06:00:00,84.37,85.035,83.22,84.165,5121
2026-03-09T10:00:00,84.195,85.435,82.945,83.76,7222
2026-03-09T14:00:00,83.7,85.125,83.315,84.64,6413
2026-03-09T18:00:00,84.59,87.405,84.34,87.345,5390
2026-03-09T22:00:00,87.275,89.92,86.805,89.855,5763
2026-03-10T02:00:00,89.86,90.385,88.07,89.535,3874
2026-03-10T06:00:00,89.495,89.75,88.71,89.42,3065
2026-03-10T10:00:00,89.405,89.975,88.08,89.105,7975
2026-03-10T14:00:00,89.1,90.095,88.625,89.345,9365
2026-03-10T18:00:00,89.365,89.475,87.2,88.57,4975
2026-03-10T22:00:00,88.505,89.705,88.03,88.76,2341
2026-03-11T02:00:00,88.77,89.3,87.16,87.885,3198
2026-03-11T06:00:00,87.88,88.28,86.555,86.8,4690
2026-03-11T10:00:00,86.815,87.345,84.555,85.405,10717
2026-03-11T14:00:00,85.385,86.12,84.565,85.43,8896
2026-03-11T18:00:00,85.485,86.26,85.425,85.91,2105
2026-03-11T22:00:00,86.065,86.065,84.06,85.635,2826
2026-03-12T02:00:00,85.62,85.88,84.475,85.475,2607
2026-03-12T06:00:00,85.495,87.385,85.255,87.32,3755
2026-03-12T10:00:00,87.26,87.695,85.8,86.075,7441
2026-03-12T14:00:00,86.05,86.645,84.625,84.96,8677
2026-03-12T18:00:00,85.0,85.36,83.12,83.955,4218
2026-03-12T22:00:00,83.91,85.62,83.505,84.955,2601
2026-03-13T02:00:00,85.045,85.38,83.25,83.78,2737
2026-03-13T06:00:00,83.73,83.97,81.515,83.135,7612
2026-03-13T10:00:00,83.145,84.65,82.84,83.735,6132
2026-03-13T14:00:00,83.7,83.8,79.52,81.045,20315
2026-03-13T18:00:00,81.04,81.33,79.96,80.645,3328
2026-03-15T22:00:00,80.295,81.66,78.535,80.465,6682
2026-03-16T02:00:00,80.425,80.735,78.925,80.35,2545
2026-03-16T06:00:00,80.375,80.86,77.575,77.915,5157
2026-03-16T10:00:00,77.895,79.535,77.125,79.035,4986
2026-03-16T14:00:00,80.84,81.27,79.71,80.48,6022
2026-03-16T18:00:00,80.475,81.63,80.325,81.0,2551
2026-03-16T22:00:00,80.92,81.71,80.05,81.65,2123
2026-03-17T02:00:00,81.605,82.76,81.095,81.255,2350
2026-03-17T06:00:00,81.255,81.495,80.56,80.985,3538
2026-03-17T10:00:00,80.95,81.595,79.92,81.425,5550
2026-03-17T14:00:00,81.455,81.545,78.375,79.62,9735
2026-03-17T18:00:00,79.66,79.955,79.115,79.46,1541
2026-03-17T22:00:00,79.39,80.215,78.835,79.285,2398
2026-03-18T02:00:00,79.32,79.725,78.22,79.11,3361
2026-03-18T06:00:00,79.155,80.32,79.055,80.045,3900
2026-03-18T10:00:00,80.075,80.18,75.635,77.565,16233
2026-03-18T14:00:00,77.635,78.055,76.3,77.15,10764
2026-03-18T18:00:00,77.16,77.625,75.015,75.42,5802
2026-03-18T22:00:00,75.365,76.755,75.04,76.18,3139
2026-03-19T02:00:00,76.205,76.73,74.36,74.36,3515
2026-03-19T06:00:00,74.36,74.97,70.07,71.64,14818
2026-03-19T10:00:00,71.66,72.09,65.55,69.69,26004
2026-03-19T14:00:00,69.73,72.04,69.12,71.435,19837
2026-03-19T18:00:00,71.4,72.94,71.0,72.81,4695
2026-03-19T22:00:00,72.83,74.62,72.0,73.855,4035
