datetime,open,high,low,close,volume
2025-03-24T00:00:00,33.54,33.805,33.38,33.525,29692
2025-03-25T00:00:00,33.53,34.365,33.43,34.25,42000
2025-03-26T00:00:00,34.255,34.5,34.065,34.21,40062
2025-03-27T00:00:00,34.21,35.405,34.125,35.32,72436
2025-03-28T00:00:00,35.325,35.495,34.645,34.82,64099
2025-03-31T00:00:00,34.825,35.2,34.165,34.765,62578
2025-04-01T00:00:00,34.77,34.96,34.16,34.37,47802
2025-04-02T00:00:00,34.375,35.155,34.29,35.0,54695
2025-04-03T00:00:00,34.95,34.95,31.73,31.925,134915
2025-04-04T00:00:00,31.92,32.045,29.115,29.525,100317
2025-04-07T00:00:00,29.23,30.76,27.545,30.085,119726
2025-04-08T00:00:00,30.09,30.52,29.56,29.75,61122
2025-04-09T00:00:00,29.78,31.065,29.255,30.965,78631
2025-04-10T00:00:00,30.99,31.245,30.51,31.115,65137
2025-04-11T00:00:00,31.115,32.21,30.865,32.195,74594
2025-04-14T00:00:00,32.195,32.38,31.655,32.275,54117
2025-04-15T00:00:00,32.28,32.425,32.07,32.305,32951
2025-04-16T00:00:00,32.305,33.175,32.255,32.76,56027
2025-04-17T00:00:00,32.77,32.925,32.11,32.545,43604
2025-04-21T00:00:00,32.44,33.1,32.385,32.635,42722
2025-04-22T00:00:00,32.64,33.17,32.255,32.495,77488
2025-04-23T00:00:00,32.45,33.675,32.05,33.565,72046
2025-04-24T00:00:00,33.885,33.985,33.46,33.865,12444
2025-04-25T00:00:00,33.86,34.015,33.035,33.34,17231
2025-04-28T00:00:00,33.37,33.485,32.9,33.395,26064
2025-04-29T00:00:00,33.4,33.835,33.1,33.215,43085
2025-04-30T00:00:00,33.195,33.345,32.385,32.82,48731
2025-05-01T00:00:00,32.81,32.865,31.86,32.65,38161
2025-05-02T00:00:00,32.63,32.975,32.12,32.18,37835
2025-05-05T00:00:00,32.25,32.88,32.16,32.675,29420
2025-05-06T00:00:00,32.695,33.47,32.625,33.435,50731
2025-05-07T00:00:00,33.47,33.48,32.415,32.61,46297
2025-05-08T00:00:00,32.575,33.095,32.37,32.605,44977
2025-05-09T00:00:00,32.605,33.04,32.36,32.88,29886
2025-05-12T00:00:00,32.6,33.2,32.045,32.795,58496
2025-05-13T00:00:00,32.8,33.435,32.68,33.09,45289
2025-05-14T00:00:00,33.085,33.15,32.255,32.39,45112
2025-05-15T00:00:00,32.395,32.82,31.78,32.79,42704
2025-05-16T00:00:00,32.795,32.865,31.98,32.43,39021
2025-05-19T00:00:00,32.55,32.795,32.38,32.495,32198
2025-05-20T00:00:00,32.5,33.305,32.235,33.26,47356
2025-05-21T00:00:00,33.275,33.78,33.125,33.575,56148
2025-05-22T00:00:00,33.585,33.915,32.74,33.18,63181
2025-05-23T00:00:00,33.185,33.695,33.02,33.64,42495
2025-05-27T00:00:00,33.61,33.745,32.88,33.385,56025
2025-05-28T00:00:00,33.38,33.58,33.035,33.095,38349
2025-05-29T00:00:00,33.11,33.655,32.8,33.44,46890
2025-05-30T00:00:00,33.45,33.47,32.865,33.075,38745
