datetime,open,high,low,close,volume
2026-02-22T23:00:00,85.48,87.81,85.24,87.495,1205
2026-02-23T00:00:00,87.545,87.68,86.585,86.77,1008
2026-02-23T01:00:00,86.795,88.15,86.47,87.335,700
2026-02-23T02:00:00,87.405,88.305,87.3,88.05,424
2026-02-23T03:00:00,88.095,88.12,87.605,87.7,360
2026-02-23T04:00:00,87.685,88.065,87.52,87.665,163
2026-02-23T05:00:00,87.635,87.76,87.27,87.48,199
2026-02-23T06:00:00,87.565,87.605,86.81,86.94,269
2026-02-23T07:00:00,86.95,87.18,85.68,86.29,472
2026-02-23T08:00:00,86.295,86.9,86.15,86.81,309
2026-02-23T09:00:00,86.81,87.25,86.74,87.155,216
2026-02-23T10:00:00,87.185,87.545,87.125,87.465,182
2026-02-23T11:00:00,87.415,87.44,86.71,87.0,292
2026-02-23T12:00:00,87.01,87.615,86.835,87.555,243
2026-02-23T13:00:00,87.52,87.6,86.135,86.15,533
2026-02-23T14:00:00,86.1,88.51,86.1,87.73,1007
2026-02-23T15:00:00,87.735,88.03,86.77,87.1,1165
2026-02-23T16:00:00,87.095,87.91,86.38,87.115,549
2026-02-23T17:00:00,87.135,87.44,86.715,87.33,423
2026-02-23T18:00:00,87.31,88.16,87.115,88.08,390
2026-02-23T19:00:00,88.06,88.31,87.92,88.17,179
2026-02-23T20:00:00,88.215,89.5,88.215,89.355,625
2026-02-23T21:00:00,89.325,89.34,88.42,88.65,290
2026-02-23T23:00:00,88.655,89.34,88.52,88.64,586
2026-02-24T00:00:00,88.6,88.725,87.74,88.145,771
2026-02-24T01:00:00,88.07,88.075,85.345,87.04,2260
2026-02-24T02:00:00,87.0,88.05,86.82,87.96,1015
2026-02-24T03:00:00,87.895,88.11,87.4,87.42,578
2026-02-24T04:00:00,87.455,87.59,87.2,87.355,272
2026-02-24T05:00:00,87.22,88.73,87.215,88.61,701
2026-02-24T06:00:00,88.63,89.39,88.29,88.66,993
2026-02-24T07:00:00,88.515,88.865,88.345,88.395,400
2026-02-24T08:00:00,88.34,88.735,88.13,88.65,446
2026-02-24T09:00:00,88.695,88.83,88.365,88.6,250
2026-02-24T10:00:00,88.65,89.125,88.345,88.565,624
2026-02-24T11:00:00,88.58,88.825,88.295,88.6,281
