datetime,open,high,low,close,volume
2026-01-20T15:15:00,431.75,431.75,431.25,431.25,982
2026-01-20T15:30:00,431.5,431.75,430.25,430.25,1008
2026-01-20T15:45:00,430.25,430.75,430.0,430.25,740
2026-01-20T16:00:00,430.5,430.75,430.25,430.75,484
2026-01-20T16:15:00,431.0,431.25,430.75,431.0,314
2026-01-20T16:30:00,431.0,431.0,430.5,430.75,649
2026-01-20T16:45:00,430.75,431.25,430.75,431.25,282
2026-01-20T17:00:00,431.25,433.0,431.25,433.0,749
2026-01-20T17:15:00,433.0,433.0,432.25,432.5,708
2026-01-20T17:30:00,432.25,432.25,431.75,432.0,674
2026-01-20T17:45:00,431.75,432.25,431.25,432.25,473
2026-01-20T18:00:00,432.25,432.25,431.5,431.5,482
2026-01-20T18:15:00,431.75,432.25,431.25,432.0,1397
2026-01-20T18:30:00,432.0,432.0,431.5,431.5,247
2026-01-20T18:45:00,431.5,431.75,431.25,431.5,886
2026-01-20T19:00:00,431.75,431.75,431.25,431.25,1356
2026-01-20T19:15:00,431.5,431.75,431.0,431.5,583
2026-01-21T01:00:00,431.25,432.25,431.25,432.25,297
2026-01-21T01:15:00,432.25,432.25,432.0,432.25,10
2026-01-21T01:30:00,432.0,432.0,432.0,432.0,6
2026-01-21T01:45:00,431.75,431.75,431.5,431.75,90
2026-01-21T02:00:00,431.75,431.75,431.75,431.75,13
2026-01-21T02:15:00,431.75,431.75,431.5,431.5,17
2026-01-21T02:30:00,431.75,431.75,431.75,431.75,3
2026-01-21T02:45:00,431.75,431.75,431.75,431.75,2
2026-01-21T03:15:00,432.0,432.0,432.0,432.0,26
2026-01-21T03:45:00,432.0,432.0,432.0,432.0,1
2026-01-21T04:00:00,431.75,431.75,431.75,431.75,24
2026-01-21T04:15:00,431.75,431.75,431.75,431.75,16
2026-01-21T04:30:00,432.0,432.0,432.0,432.0,1
2026-01-21T05:00:00,432.0,432.0,432.0,432.0,3
2026-01-21T05:30:00,432.0,432.0,432.0,432.0,3
2026-01-21T06:15:00,432.25,432.25,432.0,432.0,227
2026-01-21T06:30:00,432.0,432.0,432.0,432.0,37
2026-01-21T06:45:00,432.0,432.0,432.0,432.0,29
2026-01-21T07:00:00,432.0,432.0,432.0,432.0,1
2026-01-21T07:15:00,431.75,431.75,431.75,431.75,2
2026-01-21T07:30:00,431.75,431.75,431.75,431.75,27
2026-01-21T07:45:00,432.0,432.0,431.75,431.75,116
2026-01-21T08:00:00,432.0,432.0,432.0,432.0,4
2026-01-21T08:15:00,432.0,432.5,432.0,432.5,88
2026-01-21T08:30:00,432.5,433.25,432.5,433.0,785
2026-01-21T08:45:00,433.0,433.0,433.0,433.0,25
2026-01-21T09:00:00,432.75,433.0,432.75,433.0,33
2026-01-21T09:15:00,433.0,433.25,433.0,433.25,14
2026-01-21T09:30:00,433.0,433.5,433.0,433.25,26
2026-01-21T09:45:00,433.5,433.5,433.25,433.25,73
2026-01-21T10:00:00,433.5,433.75,433.5,433.75,123
2026-01-21T10:15:00,433.75,434.0,433.5,433.5,163
2026-01-21T10:30:00,433.75,433.75,433.75,433.75,36
2026-01-21T10:45:00,433.75,433.75,433.75,433.75,3
2026-01-21T11:00:00,433.75,433.75,433.5,433.75,218
2026-01-21T11:15:00,433.5,433.75,433.5,433.75,37
2026-01-21T11:30:00,433.75,433.75,433.75,433.75,1
2026-01-21T11:45:00,433.5,433.5,433.5,433.5,21
2026-01-21T12:00:00,433.5,433.75,433.5,433.75,64
2026-01-21T12:15:00,434.0,434.0,434.0,434.0,2
2026-01-21T12:30:00,434.0,434.5,434.0,434.5,337
2026-01-21T12:45:00,434.5,434.5,434.0,434.5,449
2026-01-21T13:00:00,434.5,435.0,434.5,434.75,769
2026-01-21T13:15:00,434.75,435.5,434.75,435.25,156
2026-01-21T13:30:00,435.5,435.5,434.75,434.75,272
2026-01-21T14:30:00,434.75,434.75,432.75,433.5,2410
2026-01-21T14:45:00,433.5,433.5,432.5,432.75,959
2026-01-21T15:00:00,432.75,432.75,432.25,432.5,1015
2026-01-21T15:15:00,432.5,432.5,431.5,432.0,953
2026-01-21T15:30:00,432.0,432.0,431.25,431.25,659
2026-01-21T15:45:00,431.25,431.5,431.25,431.25,381
2026-01-21T16:00:00,431.25,431.5,430.5,430.75,1801
2026-01-21T16:15:00,430.75,431.0,430.5,431.0,583
2026-01-21T16:30:00,431.0,431.0,430.25,430.75,1091
2026-01-21T16:45:00,430.75,431.0,430.5,431.0,908
2026-01-21T17:00:00,431.0,431.0,430.25,430.25,898
2026-01-21T17:15:00,430.25,430.5,430.0,430.0,339
2026-01-21T17:30:00,430.0,430.75,429.75,430.75,1693
2026-01-21T17:45:00,430.75,430.75,430.25,430.25,315
2026-01-21T18:00:00,430.25,430.5,430.0,430.25,214
2026-01-21T18:15:00,430.5,430.5,430.0,430.0,189
2026-01-21T18:30:00,430.0,430.5,430.0,430.0,786
2026-01-21T18:45:00,430.0,430.25,429.75,429.75,434
2026-01-21T19:00:00,429.75,430.0,429.5,429.75,962
2026-01-21T19:15:00,430.0,430.25,429.75,429.75,502
2026-01-22T01:00:00,430.25,431.25,430.25,431.0,197
2026-01-22T01:15:00,431.0,431.25,431.0,431.0,151
2026-01-22T01:30:00,431.0,431.25,431.0,431.0,77
2026-01-22T01:45:00,431.0,431.0,430.75,430.75,7
2026-01-22T02:00:00,430.75,431.0,430.75,431.0,51
2026-01-22T02:15:00,430.75,430.75,430.75,430.75,8
2026-01-22T02:30:00,430.75,430.75,430.75,430.75,1
2026-01-22T02:45:00,430.75,430.75,430.75,430.75,3
2026-01-22T03:00:00,430.5,430.5,430.5,430.5,28
2026-01-22T03:15:00,430.5,430.5,430.5,430.5,1
2026-01-22T03:30:00,430.25,430.25,430.25,430.25,50
2026-01-22T03:45:00,430.25,430.25,430.25,430.25,2
2026-01-22T04:00:00,430.25,430.25,430.25,430.25,1
2026-01-22T04:30:00,430.25,430.25,430.25,430.25,46
2026-01-22T05:00:00,430.25,430.25,430.25,430.25,1
2026-01-22T05:15:00,430.25,430.25,430.0,430.0,12
2026-01-22T05:30:00,430.0,430.25,430.0,430.0,64
2026-01-22T05:45:00,430.25,430.25,430.25,430.25,1
2026-01-22T06:00:00,430.25,430.25,430.25,430.25,2
2026-01-22T06:15:00,430.25,430.25,430.0,430.0,37
2026-01-22T06:30:00,430.25,430.5,430.25,430.5,51
2026-01-22T06:45:00,430.5,430.5,430.25,430.5,5
2026-01-22T07:15:00,430.5,430.75,430.5,430.5,42
2026-01-22T07:45:00,430.25,430.5,430.25,430.5,32
2026-01-22T08:00:00,430.75,431.0,430.75,431.0,46
2026-01-22T08:15:00,431.0,431.0,431.0,431.0,39
2026-01-22T08:30:00,431.25,431.25,431.25,431.25,4
2026-01-22T08:45:00,431.0,431.25,431.0,431.25,21
2026-01-22T09:00:00,431.25,431.25,431.0,431.25,15
2026-01-22T09:15:00,431.25,431.25,431.25,431.25,14
2026-01-22T09:30:00,431.25,431.25,431.0,431.0,7
2026-01-22T09:45:00,431.25,431.25,431.25,431.25,20
2026-01-22T10:00:00,431.25,431.25,431.25,431.25,33
2026-01-22T10:15:00,431.25,431.5,431.25,431.25,75
2026-01-22T10:30:00,431.0,431.25,431.0,431.25,45
2026-01-22T10:45:00,431.0,431.0,430.5,430.5,85
2026-01-22T11:00:00,430.75,430.75,430.75,430.75,79
2026-01-22T11:15:00,430.75,431.0,430.75,430.75,66
2026-01-22T11:30:00,430.75,431.25,430.0,431.25,763
2026-01-22T11:45:00,431.0,431.5,431.0,431.5,42
2026-01-22T12:00:00,431.25,431.25,431.0,431.25,91
2026-01-22T12:15:00,431.0,431.5,431.0,431.5,133
2026-01-22T12:30:00,431.5,431.5,431.25,431.25,54
2026-01-22T12:45:00,431.25,431.5,430.75,430.75,74
2026-01-22T13:00:00,431.0,431.0,430.75,430.75,75
2026-01-22T13:15:00,430.75,431.0,430.75,431.0,74
2026-01-22T13:30:00,431.0,431.25,430.75,431.0,84
2026-01-22T14:30:00,431.0,432.0,430.75,431.25,3217
2026-01-22T14:45:00,431.5,431.5,430.5,430.5,1398
2026-01-22T15:00:00,430.5,430.5,429.5,429.5,1432
2026-01-22T15:15:00,429.5,430.25,429.5,430.25,1465
2026-01-22T15:30:00,430.25,430.25,429.5,430.0,1238
2026-01-22T15:45:00,430.0,431.0,429.75,431.0,660
2026-01-22T16:00:00,431.0,431.0,430.5,430.5,335
2026-01-22T16:15:00,430.75,431.5,430.5,431.25,720
2026-01-22T16:30:00,431.0,431.75,430.75,430.75,701
2026-01-22T16:45:00,431.0,431.5,430.5,431.5,846
2026-01-22T17:00:00,431.25,431.5,431.0,431.5,462
2026-01-22T17:15:00,431.25,431.75,431.25,431.75,1195
2026-01-22T17:30:00,431.5,432.0,431.5,431.75,421
2026-01-22T17:45:00,431.75,432.0,431.25,431.75,435
2026-01-22T18:00:00,431.5,432.0,431.5,432.0,335
2026-01-22T18:15:00,432.0,432.0,431.75,431.75,442
2026-01-22T18:30:00,432.0,432.5,431.75,432.5,308
2026-01-22T18:45:00,432.5,432.5,432.25,432.25,255
2026-01-22T19:00:00,432.25,432.5,432.0,432.25,1548
2026-01-22T19:15:00,432.25,432.25,432.0,432.25,445
2026-01-23T01:00:00,431.75,432.25,431.75,432.0,439
2026-01-23T01:15:00,431.75,432.5,431.75,432.5,132
2026-01-23T01:30:00,432.25,432.25,432.0,432.0,105
2026-01-23T02:00:00,432.0,432.0,432.0,432.0,27
2026-01-23T02:15:00,431.75,431.75,431.5,431.5,29
2026-01-23T02:30:00,431.5,431.75,431.5,431.5,132
2026-01-23T02:45:00,431.5,431.5,431.5,431.5,49
2026-01-23T03:00:00,431.25,431.5,431.25,431.5,10
2026-01-23T03:15:00,431.5,431.5,431.5,431.5,81
2026-01-23T03:30:00,431.5,431.5,431.25,431.5,81
2026-01-23T03:45:00,431.5,431.75,431.5,431.5,9
2026-01-23T04:30:00,431.5,431.5,431.5,431.5,24
2026-01-23T04:45:00,431.5,431.5,431.5,431.5,1
2026-01-23T05:00:00,431.75,431.75,431.75,431.75,1
2026-01-23T05:15:00,431.5,431.5,431.5,431.5,11
2026-01-23T05:30:00,431.5,431.5,431.25,431.25,2
2026-01-23T05:45:00,431.5,431.5,431.5,431.5,13
2026-01-23T06:00:00,431.5,431.5,431.5,431.5,18
2026-01-23T06:30:00,431.5,431.5,431.5,431.5,28
2026-01-23T06:45:00,431.75,431.75,431.75,431.75,1
2026-01-23T07:00:00,431.5,431.75,431.5,431.75,7
2026-01-23T07:15:00,431.5,431.5,431.5,431.5,21
2026-01-23T08:00:00,431.5,431.75,431.5,431.75,20
2026-01-23T08:30:00,431.75,432.0,431.75,432.0,25
2026-01-23T08:45:00,432.0,432.25,432.0,432.25,4
2026-01-23T09:00:00,432.25,432.25,432.25,432.25,28
2026-01-23T09:15:00,432.25,432.75,432.25,432.75,24
2026-01-23T09:30:00,432.5,432.5,432.25,432.25,31
2026-01-23T09:45:00,432.5,432.5,432.5,432.5,45
2026-01-23T10:00:00,432.5,432.5,432.25,432.5,169
2026-01-23T10:15:00,432.5,432.75,432.5,432.5,133
2026-01-23T10:30:00,432.75,433.0,432.5,432.5,96
2026-01-23T10:45:00,432.5,432.5,432.5,432.5,3
2026-01-23T11:00:00,432.5,432.5,432.0,432.0,154
2026-01-23T11:15:00,431.75,432.0,431.75,432.0,17
