datetime,open,high,low,close,volume
2025-09-29T00:00:00,51.27,51.27,51.04,51.06,106
2025-09-29T01:00:00,51.03,51.05,50.97,50.98,65
2025-09-29T02:00:00,51.03,51.12,51.03,51.12,26
2025-09-29T04:00:00,51.12,51.17,51.12,51.16,32
2025-09-29T05:00:00,51.17,51.17,51.17,51.17,12
2025-09-29T06:00:00,51.11,51.18,51.11,51.18,16
2025-09-29T07:00:00,51.15,51.15,51.03,51.07,18
2025-09-29T08:00:00,51.03,51.1,50.95,51.1,111
2025-09-29T09:00:00,51.12,51.12,50.8,50.8,122
2025-09-29T10:00:00,50.79,50.82,50.78,50.82,33
2025-09-29T11:00:00,50.82,50.96,50.82,50.91,51
2025-09-29T12:00:00,50.88,50.88,50.85,50.88,3
2025-09-29T13:00:00,50.84,50.84,50.5,50.57,349
2025-09-29T14:00:00,50.59,50.9,50.57,50.78,198
2025-09-29T15:00:00,50.76,50.87,50.72,50.87,290
2025-09-29T16:00:00,50.91,50.93,50.77,50.83,204
2025-09-29T17:00:00,50.81,50.86,50.73,50.76,475
2025-09-29T18:00:00,50.75,50.75,50.62,50.63,699
2025-09-30T00:00:00,50.72,50.72,50.51,50.58,86
2025-09-30T01:00:00,50.56,50.6,50.5,50.6,14
2025-09-30T02:00:00,50.6,50.6,50.56,50.56,4
2025-09-30T03:00:00,50.5,50.61,50.49,50.6,27
2025-09-30T04:00:00,50.6,50.62,50.6,50.62,9
2025-09-30T05:00:00,50.65,50.65,50.62,50.62,19
2025-09-30T06:00:00,50.59,50.72,50.58,50.7,279
2025-09-30T07:00:00,50.71,50.74,50.55,50.65,76
2025-09-30T08:00:00,50.69,50.79,50.65,50.79,49
2025-09-30T09:00:00,50.77,50.77,50.7,50.7,2
2025-09-30T10:00:00,50.68,50.83,50.68,50.79,49
2025-09-30T11:00:00,50.79,50.79,50.65,50.69,62
2025-09-30T12:00:00,50.65,50.7,50.59,50.59,26
2025-09-30T13:00:00,50.63,50.63,50.34,50.5,498
2025-09-30T14:00:00,50.5,50.62,50.41,50.46,601
2025-09-30T15:00:00,50.47,50.66,50.47,50.56,377
2025-09-30T16:00:00,50.6,50.74,50.34,50.41,221
2025-09-30T17:00:00,50.41,50.5,50.36,50.43,409
2025-09-30T18:00:00,50.46,50.52,50.4,50.42,303
2025-10-01T00:00:00,50.46,50.46,50.19,50.23,601
2025-10-01T01:00:00,50.2,50.28,50.2,50.28,12
2025-10-01T02:00:00,50.27,50.27,50.2,50.2,10
2025-10-01T03:00:00,50.22,50.22,50.19,50.2,13
2025-10-01T04:00:00,50.21,50.23,50.2,50.22,10
2025-10-01T05:00:00,50.22,50.23,50.19,50.19,4
2025-10-01T06:00:00,50.24,50.35,50.24,50.35,38
2025-10-01T07:00:00,50.35,50.46,50.35,50.45,55
2025-10-01T08:00:00,50.51,50.56,50.42,50.55,54
2025-10-01T09:00:00,50.52,50.64,50.5,50.61,39
2025-10-01T10:00:00,50.61,50.66,50.61,50.61,42
2025-10-01T11:00:00,50.58,50.7,50.58,50.66,69
2025-10-01T12:00:00,50.68,50.78,50.67,50.71,39
2025-10-01T13:00:00,50.71,51.1,50.56,50.96,871
2025-10-01T14:00:00,50.97,51.01,50.72,50.84,350
2025-10-01T15:00:00,50.85,51.01,50.81,50.9,227
2025-10-01T16:00:00,50.9,51.1,50.9,50.94,484
2025-10-01T17:00:00,50.96,51.44,50.89,51.43,627
2025-10-01T18:00:00,51.41,51.6,51.22,51.44,484
2025-10-02T00:00:00,51.34,51.41,51.23,51.23,122
2025-10-02T01:00:00,51.25,51.3,51.22,51.28,34
2025-10-02T02:00:00,51.29,51.45,51.29,51.41,45
2025-10-02T03:00:00,51.48,51.52,51.43,51.52,46
2025-10-02T04:00:00,51.51,51.52,51.45,51.48,26
2025-10-02T05:00:00,51.52,51.52,51.45,51.46,188
2025-10-02T06:00:00,51.45,51.51,51.39,51.43,50
2025-10-02T07:00:00,51.43,51.61,51.39,51.58,28
2025-10-02T08:00:00,51.62,51.7,51.58,51.62,45
2025-10-02T09:00:00,51.58,51.65,51.5,51.53,41
2025-10-02T10:00:00,51.53,51.6,51.52,51.6,5
2025-10-02T11:00:00,51.55,51.55,51.38,51.52,116
2025-10-02T12:00:00,51.5,51.51,51.47,51.47,18
2025-10-02T13:00:00,51.45,51.51,51.09,51.43,507
2025-10-02T14:00:00,51.41,51.54,51.22,51.24,1132
2025-10-02T15:00:00,51.23,51.25,51.07,51.07,1383
2025-10-02T16:00:00,51.09,51.13,50.92,51.07,680
2025-10-02T17:00:00,51.07,51.3,51.07,51.23,532
2025-10-02T18:00:00,51.25,51.38,51.23,51.27,314
2025-10-03T00:00:00,51.4,51.4,51.25,51.33,68
2025-10-03T01:00:00,51.33,51.36,51.29,51.34,24
2025-10-03T02:00:00,51.33,51.45,51.33,51.41,38
2025-10-03T03:00:00,51.4,51.45,51.38,51.45,8
2025-10-03T04:00:00,51.41,51.44,51.4,51.44,6
2025-10-03T05:00:00,51.42,51.47,51.42,51.45,10
2025-10-03T06:00:00,51.44,51.44,51.37,51.38,12
2025-10-03T07:00:00,51.35,51.36,51.27,51.27,21
2025-10-03T08:00:00,51.31,51.31,51.2,51.21,22
2025-10-03T09:00:00,51.22,51.25,51.15,51.15,18
2025-10-03T10:00:00,51.14,51.16,51.07,51.14,197
2025-10-03T11:00:00,51.15,51.38,51.15,51.37,80
2025-10-03T12:00:00,51.34,51.38,51.25,51.29,96
2025-10-03T13:00:00,51.22,51.24,51.07,51.2,557
2025-10-03T14:00:00,51.19,51.26,51.06,51.19,1095
