datetime,open,high,low,close,volume
2026-01-20T15:25:00,53.65,53.67,53.6,53.66,109
2026-01-20T15:30:00,53.67,53.72,53.6,53.67,354
2026-01-20T15:35:00,53.68,53.69,53.59,53.65,126
2026-01-20T15:40:00,53.65,53.66,53.56,53.59,75
2026-01-20T15:45:00,53.58,53.64,53.54,53.54,75
2026-01-20T15:50:00,53.54,53.56,53.5,53.53,594
2026-01-20T15:55:00,53.52,53.6,53.5,53.6,104
2026-01-20T16:00:00,53.6,53.69,53.59,53.63,408
2026-01-20T16:05:00,53.62,53.64,53.57,53.58,106
2026-01-20T16:10:00,53.57,53.64,53.57,53.63,79
2026-01-20T16:15:00,53.63,53.66,53.59,53.6,120
2026-01-20T16:20:00,53.6,53.6,53.4,53.44,430
2026-01-20T16:25:00,53.43,53.43,53.29,53.33,307
2026-01-20T16:30:00,53.34,53.38,53.32,53.36,300
2026-01-20T16:35:00,53.35,53.43,53.35,53.43,222
2026-01-20T16:40:00,53.44,53.44,53.36,53.37,102
2026-01-20T16:45:00,53.35,53.46,53.35,53.42,131
2026-01-20T16:50:00,53.41,53.48,53.41,53.46,169
2026-01-20T16:55:00,53.45,53.52,53.44,53.52,111
2026-01-20T17:00:00,53.52,53.59,53.52,53.54,93
2026-01-20T17:05:00,53.55,53.61,53.54,53.55,105
2026-01-20T17:10:00,53.54,53.57,53.54,53.55,72
2026-01-20T17:15:00,53.54,53.58,53.5,53.51,428
2026-01-20T17:20:00,53.5,53.5,53.45,53.47,66
2026-01-20T17:25:00,53.47,53.47,53.39,53.41,89
2026-01-20T17:30:00,53.41,53.42,53.32,53.32,45
2026-01-20T17:35:00,53.33,53.36,53.31,53.32,114
2026-01-20T17:40:00,53.32,53.37,53.32,53.35,23
2026-01-20T17:45:00,53.34,53.4,53.29,53.31,332
2026-01-20T17:50:00,53.31,53.33,53.28,53.32,88
2026-01-20T17:55:00,53.33,53.42,53.33,53.42,31
2026-01-20T18:00:00,53.42,53.44,53.36,53.39,211
2026-01-20T18:05:00,53.38,53.41,53.37,53.4,41
2026-01-20T18:10:00,53.38,53.4,53.37,53.4,151
2026-01-20T18:15:00,53.42,53.42,53.39,53.39,60
2026-01-20T18:20:00,53.39,53.39,53.37,53.38,29
2026-01-20T18:25:00,53.37,53.38,53.34,53.34,29
2026-01-20T18:30:00,53.34,53.34,53.31,53.34,86
2026-01-20T18:35:00,53.33,53.36,53.28,53.3,361
2026-01-20T18:40:00,53.31,53.32,53.27,53.32,57
2026-01-20T18:45:00,53.33,53.33,53.26,53.29,123
2026-01-20T18:50:00,53.28,53.3,53.25,53.26,123
2026-01-20T18:55:00,53.25,53.29,53.25,53.26,79
2026-01-20T19:00:00,53.23,53.24,53.15,53.16,231
2026-01-20T19:05:00,53.17,53.17,53.13,53.14,268
2026-01-20T19:10:00,53.13,53.18,53.06,53.08,628
2026-01-20T19:15:00,53.08,53.08,53.05,53.05,196
2026-01-21T01:00:00,53.08,53.09,52.93,53.02,87
2026-01-21T01:05:00,53.01,53.04,53.01,53.04,2
2026-01-21T01:10:00,53.06,53.1,53.05,53.1,7
2026-01-21T01:15:00,53.07,53.11,53.07,53.09,9
2026-01-21T01:25:00,53.09,53.09,53.09,53.09,1
2026-01-21T01:30:00,53.06,53.06,53.06,53.06,1
2026-01-21T01:40:00,53.13,53.13,53.12,53.12,2
2026-01-21T01:50:00,53.1,53.14,53.1,53.14,9
2026-01-21T02:00:00,53.11,53.11,53.11,53.11,2
2026-01-21T02:10:00,53.12,53.14,53.12,53.13,4
2026-01-21T02:30:00,53.08,53.11,53.08,53.11,9
2026-01-21T02:35:00,53.14,53.16,53.14,53.16,15
2026-01-21T02:40:00,53.16,53.18,53.16,53.16,53
2026-01-21T02:45:00,53.14,53.14,53.13,53.13,7
2026-01-21T02:55:00,53.15,53.15,53.11,53.11,8
2026-01-21T03:00:00,53.13,53.13,53.13,53.13,2
2026-01-21T03:05:00,53.12,53.13,53.11,53.11,10
2026-01-21T03:10:00,53.1,53.1,53.09,53.09,4
2026-01-21T03:15:00,53.09,53.1,53.08,53.1,9
2026-01-21T03:20:00,53.12,53.15,53.12,53.15,16
2026-01-21T03:25:00,53.15,53.15,53.15,53.15,15
2026-01-21T03:30:00,53.15,53.15,53.15,53.15,1
2026-01-21T03:35:00,53.14,53.14,53.14,53.14,1
2026-01-21T03:45:00,53.11,53.12,53.11,53.12,4
2026-01-21T04:05:00,53.09,53.09,53.09,53.09,1
2026-01-21T04:15:00,53.09,53.13,53.09,53.13,3
2026-01-21T04:25:00,53.14,53.14,53.14,53.14,1
2026-01-21T04:30:00,53.16,53.19,53.16,53.17,18
2026-01-21T04:40:00,53.19,53.19,53.19,53.19,1
2026-01-21T04:45:00,53.22,53.23,53.12,53.12,218
2026-01-21T04:50:00,53.17,53.19,53.17,53.17,44
