datetime,open,high,low,close,volume
2025-10-01T00:00:00,50.46,51.6,50.19,51.44,4029
2025-10-02T00:00:00,51.34,51.7,50.92,51.27,5312
2025-10-03T00:00:00,51.4,51.47,50.92,50.93,5827
2025-10-06T00:00:00,50.95,51.51,50.87,51.24,1041
2025-10-07T00:00:00,51.26,51.92,51.23,51.88,2009
2025-10-08T00:00:00,51.9,52.44,51.89,52.29,4413
2025-10-09T00:00:00,52.32,52.49,51.74,51.85,2865
2025-10-10T00:00:00,51.96,52.1,50.61,50.85,3476
2025-10-13T00:00:00,50.85,51.54,50.78,51.42,2002
2025-10-14T00:00:00,51.54,51.57,50.68,51.44,3523
2025-10-15T00:00:00,52.05,52.12,51.4,51.74,4207
2025-10-16T00:00:00,51.74,52.65,51.73,51.82,3154
2025-10-17T00:00:00,51.69,52.2,51.31,52.06,3031
2025-10-20T00:00:00,52.0,52.43,51.95,52.3,1965
2025-10-21T00:00:00,52.29,52.37,51.55,51.66,3029
2025-10-22T00:00:00,51.66,52.05,51.14,51.17,3077
2025-10-23T00:00:00,51.21,52.18,51.18,51.9,4021
2025-10-24T00:00:00,51.94,51.95,51.38,51.38,4063
2025-10-27T00:00:00,51.83,52.05,51.48,51.81,2093
2025-10-28T00:00:00,51.81,51.94,51.18,51.36,4311
2025-10-29T00:00:00,51.41,51.56,50.82,51.29,6621
2025-10-30T00:00:00,51.34,51.45,50.77,50.9,766
2025-10-31T00:00:00,50.95,51.05,49.9,49.96,6165
2025-11-03T00:00:00,50.0,51.16,49.64,51.16,4819
2025-11-04T00:00:00,51.2,51.29,50.41,50.72,3298
2025-11-05T00:00:00,50.9,51.11,50.56,50.86,2717
2025-11-06T00:00:00,50.89,51.49,50.5,50.51,3689
2025-11-07T00:00:00,50.56,51.06,50.26,50.83,3134
2025-11-10T00:00:00,50.87,51.81,50.87,51.73,3704
2025-11-11T00:00:00,51.8,52.44,51.8,52.26,3453
2025-11-12T00:00:00,52.33,52.56,51.54,51.85,3134
2025-11-13T00:00:00,51.9,52.32,51.49,51.53,3920
2025-11-14T00:00:00,51.61,52.03,51.34,51.43,3442
2025-11-17T00:00:00,51.43,52.52,51.13,52.37,3741
2025-11-18T00:00:00,52.37,53.61,52.13,53.28,7132
2025-11-19T00:00:00,53.34,53.62,51.9,52.31,6530
2025-11-20T00:00:00,52.2,52.62,51.75,51.94,5918
2025-11-21T00:00:00,51.86,51.91,50.84,51.49,5045
2025-11-24T00:00:00,51.51,51.65,50.71,51.37,3416
2025-11-25T00:00:00,51.37,51.55,50.7,51.49,4084
2025-11-26T00:00:00,51.36,52.11,51.34,51.93,4157
2025-12-01T00:00:00,52.78,53.28,52.53,53.13,5399
2025-12-02T00:00:00,53.15,53.67,52.95,53.41,7146
2025-12-03T00:00:00,53.52,53.58,52.5,52.57,7093
2025-12-04T00:00:00,52.53,52.74,52.08,52.68,5918
2025-12-05T00:00:00,52.66,53.32,52.51,52.54,4511
2025-12-08T00:00:00,52.54,52.54,51.96,52.03,3828
2025-12-09T00:00:00,52.04,52.27,51.71,51.87,4105
2025-12-10T00:00:00,51.83,52.37,51.53,51.96,5830
2025-12-11T00:00:00,51.96,52.09,51.3,51.69,5213
2025-12-12T00:00:00,51.75,51.83,50.9,50.99,8396
2025-12-15T00:00:00,51.02,51.16,50.28,50.44,6825
2025-12-16T00:00:00,50.39,50.45,49.11,49.45,11680
2025-12-17T00:00:00,49.47,49.64,48.85,49.62,10717
2025-12-18T00:00:00,49.61,49.82,49.04,49.07,6499
2025-12-19T00:00:00,49.11,49.26,48.54,48.84,6121
2025-12-22T00:00:00,48.97,49.65,48.88,49.57,5792
2025-12-23T00:00:00,49.53,49.78,49.13,49.25,7967
2025-12-24T00:00:00,49.29,50.07,49.22,50.02,5470
2025-12-29T00:00:00,49.81,49.96,49.54,49.76,6745
2025-12-30T00:00:00,49.79,50.17,49.66,49.9,5602
2025-12-31T00:00:00,49.9,50.09,49.0,49.08,4683
2026-01-02T00:00:00,49.0,49.87,48.8,49.84,6851
2026-01-05T00:00:00,49.87,50.53,49.59,50.36,9704
2026-01-06T00:00:00,50.45,50.97,49.9,49.95,8452
2026-01-07T00:00:00,49.94,50.56,49.76,49.81,10399
2026-01-08T00:00:00,49.84,50.13,49.53,50.04,9839
2026-01-09T00:00:00,50.15,50.52,50.03,50.15,9010
2026-01-12T00:00:00,50.18,51.39,50.18,50.84,16858
2026-01-13T00:00:00,50.8,52.08,50.65,51.67,20535
2026-01-14T00:00:00,51.68,52.31,51.36,51.55,14622
2026-01-16T00:00:00,53.41,53.97,52.76,53.05,20352
2026-01-20T00:00:00,53.14,53.72,52.8,53.05,16535
2026-01-21T00:00:00,53.08,54.64,52.93,54.56,15841
2026-01-22T00:00:00,54.5,54.83,54.09,54.29,16538
2026-01-23T00:00:00,54.34,55.15,54.19,54.49,19524
2026-01-26T00:00:00,54.65,55.23,54.32,54.33,17286
2026-01-27T00:00:00,54.29,55.05,53.9,54.9,14885
2026-01-28T00:00:00,54.9,55.47,54.58,54.89,21312
2026-01-29T00:00:00,54.68,55.36,54.11,54.54,22710
2026-01-30T00:00:00,54.61,54.63,53.85,54.08,17715
2026-02-02T00:00:00,54.01,54.01,53.16,53.78,20993
2026-02-03T00:00:00,53.79,55.31,53.79,55.06,34150
2026-02-04T00:00:00,55.03,56.35,54.74,56.23,38611
2026-02-05T00:00:00,56.18,56.5,55.72,56.13,25609
2026-02-06T00:00:00,56.25,56.66,55.49,55.83,26925
