datetime,open,high,low,close,volume
2026-03-09T11:18:03,68.31,68.31,68.31,68.31,1
2026-03-09T11:18:04,68.31,68.34,68.31,68.34,12
2026-03-09T11:18:09,68.34,68.34,68.34,68.34,2
2026-03-09T11:18:17,68.33,68.33,68.33,68.33,1
2026-03-09T11:18:18,68.32,68.33,68.32,68.33,6
2026-03-09T11:18:20,68.34,68.34,68.34,68.34,1
2026-03-09T11:18:29,68.35,68.37,68.35,68.37,5
2026-03-09T11:18:30,68.38,68.38,68.37,68.37,13
2026-03-09T11:18:39,68.35,68.35,68.35,68.35,1
2026-03-09T11:18:51,68.34,68.34,68.34,68.34,3
2026-03-09T11:18:54,68.32,68.32,68.32,68.32,29
2026-03-09T11:18:55,68.32,68.32,68.32,68.32,1
2026-03-09T11:18:56,68.33,68.33,68.33,68.33,1
2026-03-09T11:19:03,68.33,68.33,68.33,68.33,1
2026-03-09T11:19:09,68.34,68.34,68.34,68.34,2
2026-03-09T11:19:24,68.35,68.35,68.35,68.35,2
2026-03-09T11:19:29,68.35,68.35,68.35,68.35,2
2026-03-09T11:19:34,68.35,68.35,68.35,68.35,1
2026-03-09T11:19:51,68.37,68.37,68.37,68.37,1
2026-03-09T11:19:54,68.38,68.38,68.38,68.38,5
2026-03-09T11:19:55,68.37,68.37,68.36,68.36,2
2026-03-09T11:20:01,68.37,68.37,68.37,68.37,1
2026-03-09T11:20:11,68.38,68.38,68.38,68.38,2
2026-03-09T11:20:17,68.39,68.39,68.39,68.39,1
2026-03-09T11:20:18,68.41,68.41,68.41,68.41,3
2026-03-09T11:20:19,68.4,68.4,68.4,68.4,1
2026-03-09T11:20:23,68.4,68.4,68.39,68.39,3
2026-03-09T11:20:25,68.4,68.41,68.4,68.41,11
2026-03-09T11:20:28,68.41,68.45,68.41,68.45,42
2026-03-09T11:20:30,68.45,68.45,68.45,68.45,1
2026-03-09T11:20:34,68.46,68.46,68.46,68.46,1
2026-03-09T11:20:38,68.46,68.46,68.46,68.46,1
2026-03-09T11:20:40,68.47,68.47,68.47,68.47,1
2026-03-09T11:20:41,68.48,68.48,68.48,68.48,5
2026-03-09T11:20:43,68.48,68.48,68.48,68.48,1
2026-03-09T11:20:45,68.48,68.48,68.48,68.48,1
2026-03-09T11:20:49,68.49,68.49,68.47,68.48,27
2026-03-09T11:20:51,68.48,68.48,68.48,68.48,1
2026-03-09T11:20:57,68.47,68.47,68.47,68.47,7
2026-03-09T11:21:00,68.46,68.46,68.42,68.42,14
2026-03-09T11:21:07,68.42,68.42,68.42,68.42,1
2026-03-09T11:21:11,68.41,68.41,68.4,68.4,7
2026-03-09T11:21:15,68.4,68.4,68.4,68.4,5
2026-03-09T11:21:20,68.4,68.4,68.4,68.4,1
2026-03-09T11:21:22,68.41,68.41,68.41,68.41,3
2026-03-09T11:21:24,68.42,68.42,68.42,68.42,1
2026-03-09T11:21:25,68.42,68.42,68.42,68.42,1
2026-03-09T11:21:28,68.43,68.43,68.43,68.43,1
2026-03-09T11:21:40,68.42,68.42,68.42,68.42,2
2026-03-09T11:21:44,68.43,68.45,68.43,68.45,6
2026-03-09T11:21:53,68.44,68.44,68.44,68.44,2
2026-03-09T11:21:59,68.45,68.45,68.45,68.45,1
2026-03-09T11:22:02,68.44,68.45,68.44,68.45,2
2026-03-09T11:22:03,68.45,68.45,68.45,68.45,1
2026-03-09T11:22:08,68.44,68.46,68.44,68.46,6
2026-03-09T11:22:11,68.45,68.45,68.45,68.45,5
2026-03-09T11:22:14,68.44,68.45,68.44,68.45,9
2026-03-09T11:22:18,68.45,68.45,68.45,68.45,1
2026-03-09T11:22:21,68.44,68.44,68.44,68.44,17
2026-03-09T11:22:22,68.42,68.42,68.42,68.42,1
2026-03-09T11:22:27,68.42,68.42,68.42,68.42,1
2026-03-09T11:22:33,68.42,68.42,68.42,68.42,2
2026-03-09T11:22:38,68.4,68.4,68.4,68.4,1
2026-03-09T11:22:41,68.41,68.41,68.41,68.41,2
2026-03-09T11:22:53,68.4,68.4,68.4,68.4,1
2026-03-09T11:22:55,68.4,68.41,68.4,68.4,4
2026-03-09T11:23:00,68.41,68.42,68.41,68.42,3
2026-03-09T11:23:03,68.42,68.43,68.42,68.42,5
2026-03-09T11:23:05,68.44,68.44,68.44,68.44,1
2026-03-09T11:23:32,68.42,68.43,68.42,68.43,2
2026-03-09T11:24:09,68.43,68.43,68.43,68.43,1
2026-03-09T11:25:00,68.38,68.38,68.38,68.38,1
2026-03-09T11:25:13,68.38,68.38,68.38,68.38,1
2026-03-09T11:25:15,68.39,68.4,68.39,68.4,2
2026-03-09T11:25:20,68.42,68.42,68.41,68.41,4
2026-03-09T11:25:23,68.39,68.39,68.39,68.39,1
2026-03-09T11:25:41,68.38,68.38,68.38,68.38,2
2026-03-09T11:25:48,68.36,68.36,68.36,68.36,1
2026-03-09T11:25:57,68.36,68.36,68.36,68.36,3
2026-03-09T11:26:10,68.31,68.32,68.31,68.32,4
2026-03-09T11:26:13,68.31,68.31,68.31,68.31,1
2026-03-09T11:26:14,68.31,68.31,68.31,68.31,1
2026-03-09T11:26:26,68.32,68.32,68.32,68.32,1
2026-03-09T11:26:30,68.32,68.32,68.32,68.32,1
2026-03-09T11:26:31,68.31,68.31,68.31,68.31,1
2026-03-09T11:26:43,68.3,68.3,68.3,68.3,16
2026-03-09T11:26:45,68.29,68.29,68.29,68.29,2
2026-03-09T11:26:48,68.28,68.28,68.28,68.28,3
2026-03-09T11:27:02,68.29,68.29,68.29,68.29,1
2026-03-09T11:27:21,68.28,68.28,68.28,68.28,1
2026-03-09T11:27:25,68.29,68.29,68.29,68.29,3
2026-03-09T11:27:41,68.29,68.29,68.29,68.29,1
2026-03-09T11:28:07,68.3,68.3,68.3,68.3,1
2026-03-09T11:28:42,68.3,68.32,68.3,68.32,4
2026-03-09T11:28:44,68.32,68.32,68.32,68.32,1
2026-03-09T11:28:48,68.31,68.31,68.31,68.31,1
2026-03-09T11:29:58,68.29,68.29,68.29,68.29,2
2026-03-09T11:30:04,68.28,68.28,68.28,68.28,3
2026-03-09T11:30:14,68.27,68.27,68.27,68.27,1
2026-03-09T11:30:16,68.27,68.27,68.27,68.27,1
2026-03-09T11:30:18,68.28,68.29,68.28,68.28,5
2026-03-09T11:30:19,68.28,68.28,68.28,68.28,1
2026-03-09T11:30:20,68.27,68.27,68.27,68.27,2
2026-03-09T11:30:26,68.26,68.26,68.26,68.26,1
2026-03-09T11:30:27,68.26,68.26,68.26,68.26,3
2026-03-09T11:30:39,68.25,68.26,68.25,68.26,4
2026-03-09T11:30:49,68.25,68.25,68.25,68.25,1
2026-03-09T11:30:52,68.24,68.24,68.22,68.22,11
2026-03-09T11:30:59,68.21,68.21,68.21,68.21,1
2026-03-09T11:31:00,68.22,68.23,68.22,68.23,3
2026-03-09T11:31:10,68.2,68.2,68.2,68.2,2
2026-03-09T11:31:13,68.23,68.23,68.23,68.23,1
2026-03-09T11:31:31,68.23,68.23,68.23,68.23,1
2026-03-09T11:31:36,68.23,68.23,68.23,68.23,5
2026-03-09T11:31:37,68.23,68.24,68.23,68.24,4
2026-03-09T11:31:43,68.24,68.24,68.24,68.24,1
2026-03-09T11:31:44,68.25,68.25,68.25,68.25,1
2026-03-09T11:31:47,68.26,68.26,68.26,68.26,1
2026-03-09T11:32:02,68.26,68.26,68.26,68.26,2
2026-03-09T11:32:05,68.26,68.26,68.26,68.26,2
2026-03-09T11:33:01,68.22,68.22,68.22,68.22,1
2026-03-09T11:33:04,68.21,68.21,68.21,68.21,1
2026-03-09T11:33:13,68.21,68.21,68.21,68.21,2
2026-03-09T11:33:33,68.2,68.2,68.2,68.2,3
2026-03-09T11:34:05,68.15,68.15,68.15,68.15,1
2026-03-09T11:34:08,68.13,68.14,68.13,68.14,3
2026-03-09T11:34:12,68.14,68.15,68.14,68.15,3
2026-03-09T11:34:29,68.12,68.12,68.12,68.12,1
2026-03-09T11:34:32,68.13,68.13,68.13,68.13,1
2026-03-09T11:34:46,68.13,68.13,68.13,68.13,1
2026-03-09T11:34:47,68.12,68.12,68.12,68.12,3
2026-03-09T11:34:48,68.11,68.11,68.1,68.1,78
2026-03-09T11:34:51,68.1,68.1,68.1,68.1,2
2026-03-09T11:35:00,68.1,68.1,68.1,68.1,1
2026-03-09T11:35:02,68.09,68.09,68.09,68.09,2
2026-03-09T11:35:06,68.07,68.07,68.07,68.07,2
2026-03-09T11:35:07,68.06,68.06,68.06,68.06,2
2026-03-09T11:35:18,68.04,68.04,68.04,68.04,2
2026-03-09T11:35:25,68.03,68.03,68.03,68.03,2
2026-03-09T11:35:28,68.01,68.01,67.99,68.0,192
2026-03-09T11:35:29,68.01,68.01,68.01,68.01,3
2026-03-09T11:35:30,68.02,68.02,68.02,68.02,4
2026-03-09T11:35:36,68.01,68.01,68.0,68.0,10
2026-03-09T11:35:41,68.0,68.02,68.0,68.02,27
2026-03-09T11:35:42,68.01,68.02,68.01,68.02,6
2026-03-09T11:35:43,68.03,68.04,68.03,68.04,8
2026-03-09T11:35:44,68.04,68.04,68.04,68.04,1
2026-03-09T11:35:53,68.06,68.06,68.06,68.06,3
2026-03-09T11:36:01,68.06,68.06,68.06,68.06,2
2026-03-09T11:36:04,68.06,68.06,68.06,68.06,2
2026-03-09T11:36:07,68.05,68.05,68.05,68.05,2
2026-03-09T11:36:15,68.05,68.05,68.05,68.05,2
2026-03-09T11:36:16,68.06,68.06,68.06,68.06,2
2026-03-09T11:36:24,68.04,68.04,68.04,68.04,1
2026-03-09T11:36:30,68.05,68.05,68.05,68.05,1
2026-03-09T11:36:40,68.04,68.04,68.04,68.04,1
2026-03-09T11:36:42,68.04,68.04,68.04,68.04,2
2026-03-09T11:36:45,68.03,68.03,68.02,68.02,10
2026-03-09T11:36:46,68.03,68.03,68.03,68.03,1
2026-03-09T11:36:52,68.05,68.05,68.05,68.05,1
2026-03-09T11:37:01,68.03,68.03,68.03,68.03,1
2026-03-09T11:37:02,68.02,68.02,68.02,68.02,1
2026-03-09T11:37:03,68.04,68.04,68.04,68.04,1
2026-03-09T11:37:12,68.06,68.06,68.06,68.06,1
2026-03-09T11:37:15,68.07,68.07,68.07,68.07,1
2026-03-09T11:37:21,68.06,68.06,68.06,68.06,1
2026-03-09T11:37:23,68.07,68.09,68.07,68.09,10
2026-03-09T11:37:24,68.1,68.11,68.1,68.11,15
2026-03-09T11:37:26,68.12,68.13,68.12,68.13,41
2026-03-09T11:37:30,68.11,68.11,68.1,68.1,6
2026-03-09T11:37:35,68.07,68.07,68.05,68.05,18
2026-03-09T11:37:36,68.03,68.03,67.98,67.98,213
2026-03-09T11:37:38,67.98,67.98,67.95,67.95,236
2026-03-09T11:37:39,67.95,67.95,67.95,67.95,10
2026-03-09T11:37:40,67.94,67.94,67.91,67.91,19
2026-03-09T11:37:41,67.9,67.95,67.87,67.95,57
2026-03-09T11:37:42,67.96,67.96,67.96,67.96,1
2026-03-09T11:37:43,67.95,67.95,67.93,67.94,6
2026-03-09T11:37:44,67.93,67.94,67.93,67.94,13
2026-03-09T11:37:45,67.94,67.94,67.9,67.93,38
2026-03-09T11:37:51,67.97,67.97,67.97,67.97,1
2026-03-09T11:37:53,67.96,67.96,67.96,67.96,2
2026-03-09T11:37:55,67.95,67.95,67.94,67.94,2
2026-03-09T11:37:58,67.91,67.91,67.91,67.91,1
2026-03-09T11:38:01,67.88,67.89,67.88,67.89,2
2026-03-09T11:38:02,67.91,67.92,67.91,67.92,4
2026-03-09T11:38:03,67.91,67.92,67.9,67.9,16
2026-03-09T11:38:04,67.9,67.9,67.9,67.9,4
2026-03-09T11:38:05,67.91,67.91,67.91,67.91,2
2026-03-09T11:38:06,67.92,67.95,67.92,67.95,6
2026-03-09T11:38:07,67.94,67.94,67.94,67.94,1
2026-03-09T11:38:09,67.97,67.97,67.97,67.97,1
2026-03-09T11:38:12,67.97,67.97,67.97,67.97,1
2026-03-09T11:38:13,67.97,67.97,67.97,67.97,1
2026-03-09T11:38:14,67.97,67.98,67.97,67.97,11
2026-03-09T11:38:15,67.98,67.98,67.98,67.98,1
2026-03-09T11:38:22,67.98,67.98,67.98,67.98,1
2026-03-09T11:38:23,67.98,67.98,67.98,67.98,1
2026-03-09T11:38:24,67.96,67.97,67.96,67.97,5
2026-03-09T11:38:29,67.97,67.97,67.97,67.97,1
2026-03-09T11:38:32,67.98,67.99,67.98,67.98,3
2026-03-09T11:38:34,67.97,67.97,67.97,67.97,1
2026-03-09T11:38:36,67.99,67.99,67.99,67.99,2
2026-03-09T11:38:42,68.0,68.0,68.0,68.0,1
2026-03-09T11:38:44,68.0,68.0,68.0,68.0,4
2026-03-09T11:38:47,68.01,68.01,68.01,68.01,1
2026-03-09T11:38:48,68.0,68.0,67.99,67.99,6
2026-03-09T11:39:00,67.98,67.98,67.98,67.98,1
2026-03-09T11:39:01,67.98,67.99,67.98,67.99,3
2026-03-09T11:39:09,67.99,67.99,67.99,67.99,7
2026-03-09T11:39:11,67.99,67.99,67.99,67.99,3
2026-03-09T11:39:18,68.01,68.02,68.01,68.02,5
2026-03-09T11:39:19,68.03,68.03,68.02,68.02,2
2026-03-09T11:39:20,68.05,68.05,68.03,68.03,6
2026-03-09T11:39:27,68.04,68.04,68.04,68.04,3
2026-03-09T11:39:29,68.05,68.05,68.05,68.05,2
2026-03-09T11:39:34,68.04,68.04,68.04,68.04,3
2026-03-09T11:39:35,68.03,68.03,68.03,68.03,2
2026-03-09T11:39:37,68.02,68.02,68.02,68.02,4
2026-03-09T11:39:41,68.01,68.01,68.01,68.01,4
2026-03-09T11:39:43,68.02,68.02,68.02,68.02,2
2026-03-09T11:40:01,68.02,68.02,68.0,68.0,7
2026-03-09T11:40:20,68.0,68.0,67.97,67.97,15
2026-03-09T11:40:21,67.94,67.94,67.94,67.94,6
2026-03-09T11:40:22,67.94,67.94,67.92,67.92,12
2026-03-09T11:40:23,67.93,67.93,67.93,67.93,1
2026-03-09T11:40:24,67.92,67.92,67.92,67.92,2
2026-03-09T11:40:25,67.91,67.91,67.91,67.91,4
2026-03-09T11:40:26,67.9,67.9,67.9,67.9,2
2026-03-09T11:40:28,67.89,67.89,67.88,67.88,8
2026-03-09T11:40:31,67.87,67.9,67.87,67.9,4
2026-03-09T11:40:32,67.91,67.92,67.91,67.92,2
2026-03-09T11:40:54,67.93,67.93,67.93,67.93,4
2026-03-09T11:40:59,67.92,67.92,67.92,67.92,2
2026-03-09T11:41:06,67.91,67.93,67.91,67.92,7
2026-03-09T11:41:09,67.92,67.92,67.92,67.92,2
2026-03-09T11:41:10,67.92,67.92,67.92,67.92,1
2026-03-09T11:41:15,67.92,67.92,67.92,67.92,1
2026-03-09T11:41:16,67.93,67.93,67.92,67.92,4
2026-03-09T11:41:22,67.92,67.92,67.91,67.91,5
2026-03-09T11:41:46,67.89,67.89,67.89,67.89,1
2026-03-09T11:41:49,67.89,67.89,67.89,67.89,1
2026-03-09T11:41:53,67.9,67.91,67.9,67.91,2
2026-03-09T11:41:59,67.91,67.91,67.91,67.91,1
2026-03-09T11:42:04,67.96,67.96,67.96,67.96,1
2026-03-09T11:42:09,67.97,67.97,67.97,67.97,1
2026-03-09T11:42:10,67.98,67.98,67.97,67.97,3
2026-03-09T11:42:16,67.97,67.97,67.97,67.97,1
2026-03-09T11:42:18,67.97,67.97,67.97,67.97,1
2026-03-09T11:42:20,67.95,68.0,67.95,67.99,17
2026-03-09T11:42:45,67.97,67.97,67.97,67.97,5
2026-03-09T11:42:51,67.97,67.98,67.97,67.98,2
2026-03-09T11:42:57,67.98,67.98,67.98,67.98,3
2026-03-09T11:42:59,67.99,67.99,67.99,67.99,1
2026-03-09T11:43:04,68.0,68.0,68.0,68.0,1
2026-03-09T11:43:22,68.02,68.02,68.02,68.02,1
2026-03-09T11:43:27,68.01,68.01,68.01,68.01,2
2026-03-09T11:43:38,68.02,68.02,68.02,68.02,1
2026-03-09T11:43:42,68.02,68.02,68.02,68.02,1
2026-03-09T11:43:54,68.01,68.01,68.01,68.01,2
2026-03-09T11:43:56,68.01,68.02,68.01,68.01,10
2026-03-09T11:44:01,68.03,68.03,68.03,68.03,1
2026-03-09T11:44:02,68.02,68.02,68.02,68.02,2
2026-03-09T11:44:16,68.03,68.03,68.03,68.03,1
2026-03-09T11:44:21,68.03,68.03,68.03,68.03,1
2026-03-09T11:44:36,68.01,68.01,68.01,68.01,2
2026-03-09T11:44:37,67.99,67.99,67.99,67.99,1
2026-03-09T11:44:42,67.99,68.02,67.99,68.02,8
2026-03-09T11:44:48,68.0,68.0,68.0,68.0,1
2026-03-09T11:45:02,68.0,68.0,67.99,67.99,4
2026-03-09T11:45:16,68.0,68.01,68.0,68.01,5
2026-03-09T11:45:18,68.04,68.04,68.04,68.04,1
2026-03-09T11:45:19,68.03,68.03,68.03,68.03,3
2026-03-09T11:45:42,68.0,68.0,68.0,68.0,1
2026-03-09T11:45:45,67.99,67.99,67.99,67.99,1
2026-03-09T11:45:55,67.99,67.99,67.99,67.99,1
2026-03-09T11:46:05,67.98,67.98,67.98,67.98,1
2026-03-09T11:46:13,67.97,67.99,67.97,67.99,4
2026-03-09T11:46:15,67.98,67.98,67.98,67.98,1
2026-03-09T11:46:16,67.98,68.09,67.98,68.06,111
2026-03-09T11:46:20,68.07,68.07,68.07,68.07,5
2026-03-09T11:46:21,68.06,68.06,68.04,68.04,6
2026-03-09T11:46:22,68.04,68.04,68.04,68.04,1
2026-03-09T11:46:23,68.05,68.05,68.05,68.05,3
2026-03-09T11:46:25,68.04,68.04,68.04,68.04,1
2026-03-09T11:46:27,68.05,68.05,68.04,68.04,4
2026-03-09T11:46:28,68.04,68.04,68.04,68.04,19
2026-03-09T11:46:29,68.04,68.04,68.03,68.03,4
2026-03-09T11:46:37,68.03,68.03,68.03,68.03,3
2026-03-09T11:47:15,68.03,68.03,68.03,68.03,3
2026-03-09T11:47:23,68.02,68.02,68.02,68.02,1
2026-03-09T11:47:31,68.01,68.01,68.01,68.01,1
2026-03-09T11:47:39,68.01,68.01,68.01,68.01,1
2026-03-09T11:47:49,68.02,68.02,68.02,68.02,2
2026-03-09T11:47:54,68.01,68.01,68.01,68.01,1
2026-03-09T11:48:01,68.02,68.02,68.02,68.02,3
2026-03-09T11:48:06,68.02,68.02,68.02,68.02,2
2026-03-09T11:48:07,68.01,68.01,68.01,68.01,3
2026-03-09T11:48:08,68.01,68.01,68.01,68.01,1
2026-03-09T11:48:16,68.0,68.0,67.98,67.98,9
2026-03-09T11:48:21,67.98,67.98,67.98,67.98,1
2026-03-09T11:48:26,67.99,68.0,67.99,68.0,3
2026-03-09T11:48:27,67.99,67.99,67.99,67.99,5
2026-03-09T11:48:29,68.02,68.02,68.02,68.02,1
2026-03-09T11:48:30,68.01,68.01,68.0,68.0,5
2026-03-09T11:48:40,68.01,68.01,68.0,68.0,7
2026-03-09T11:48:42,68.02,68.05,68.02,68.04,21
2026-03-09T11:48:59,68.05,68.05,68.05,68.05,1
2026-03-09T11:49:00,68.05,68.05,68.05,68.05,2
2026-03-09T11:49:03,68.06,68.06,68.06,68.06,1
2026-03-09T11:49:28,68.05,68.05,68.05,68.05,1
2026-03-09T11:49:30,68.04,68.04,68.04,68.04,2
2026-03-09T11:49:33,68.04,68.04,68.04,68.04,1
2026-03-09T11:49:34,68.04,68.05,68.03,68.05,6
2026-03-09T11:49:35,68.05,68.06,68.05,68.06,2
2026-03-09T11:49:41,68.05,68.05,68.05,68.05,2
2026-03-09T11:49:45,68.05,68.05,68.04,68.04,2
2026-03-09T11:49:54,68.05,68.05,68.05,68.05,1
2026-03-09T11:49:58,68.05,68.05,68.05,68.05,1
2026-03-09T11:50:00,68.05,68.05,68.05,68.05,1
2026-03-09T11:50:01,68.06,68.06,68.06,68.06,1
2026-03-09T11:50:02,68.05,68.05,68.05,68.05,1
2026-03-09T11:50:12,68.06,68.06,68.06,68.06,1
2026-03-09T11:50:16,68.05,68.05,68.05,68.05,1
2026-03-09T11:50:20,68.05,68.05,68.05,68.05,1
2026-03-09T11:50:39,68.05,68.09,68.05,68.07,21
2026-03-09T11:51:02,68.04,68.06,68.04,68.06,4
2026-03-09T11:51:06,68.08,68.09,68.07,68.07,15
2026-03-09T11:51:28,68.04,68.06,68.02,68.06,13
2026-03-09T11:51:30,68.03,68.03,68.02,68.02,3
2026-03-09T11:51:49,68.01,68.01,68.0,68.0,134
2026-03-09T11:51:57,68.0,68.0,68.0,68.0,2
2026-03-09T11:51:59,68.0,68.0,68.0,68.0,1
2026-03-09T11:52:00,68.01,68.01,68.01,68.01,1
2026-03-09T11:52:02,68.01,68.01,68.01,68.01,1
2026-03-09T11:52:28,68.0,68.0,68.0,68.0,1
2026-03-09T11:52:32,67.99,67.99,67.99,67.99,1
2026-03-09T11:52:47,67.99,67.99,67.99,67.99,2
2026-03-09T11:52:53,67.99,68.0,67.99,68.0,4
2026-03-09T11:53:04,68.0,68.0,67.99,67.99,6
2026-03-09T11:53:11,67.98,67.98,67.98,67.98,3
2026-03-09T11:53:20,67.98,67.98,67.98,67.98,1
2026-03-09T11:53:25,67.99,67.99,67.99,67.99,1
2026-03-09T11:53:26,68.0,68.0,68.0,68.0,2
2026-03-09T11:53:34,68.01,68.01,68.01,68.01,1
2026-03-09T11:53:50,68.01,68.01,68.01,68.01,1
2026-03-09T11:53:57,68.0,68.0,68.0,68.0,2
2026-03-09T11:53:59,67.98,67.98,67.98,67.98,1
2026-03-09T11:54:00,67.97,67.97,67.97,67.97,1
2026-03-09T11:54:02,67.96,67.96,67.96,67.96,1
2026-03-09T11:54:03,67.95,67.95,67.95,67.95,1
2026-03-09T11:54:05,67.96,67.96,67.96,67.96,3
2026-03-09T11:54:13,67.95,67.97,67.95,67.96,5
2026-03-09T11:54:15,67.97,67.97,67.97,67.97,1
2026-03-09T11:54:18,67.97,67.97,67.97,67.97,1
2026-03-09T11:54:21,67.96,67.96,67.96,67.96,1
2026-03-09T11:54:24,67.97,67.97,67.97,67.97,1
2026-03-09T11:54:35,67.98,67.98,67.98,67.98,1
2026-03-09T11:55:02,68.0,68.0,68.0,68.0,1
2026-03-09T11:55:07,67.99,67.99,67.98,67.99,7
2026-03-09T11:55:09,68.02,68.02,68.01,68.01,9
2026-03-09T11:55:13,68.0,68.0,68.0,68.0,1
2026-03-09T11:55:22,68.0,68.0,68.0,68.0,3
2026-03-09T11:55:23,67.99,67.99,67.99,67.99,1
2026-03-09T11:55:56,67.96,67.96,67.95,67.95,23
2026-03-09T11:56:02,67.95,67.95,67.95,67.95,3
2026-03-09T11:56:12,67.95,67.95,67.93,67.94,29
2026-03-09T11:56:20,67.93,67.93,67.93,67.93,1
2026-03-09T11:56:21,67.92,67.92,67.92,67.92,1
2026-03-09T11:56:22,67.94,67.94,67.94,67.94,1
2026-03-09T11:56:38,67.94,67.94,67.94,67.94,2
2026-03-09T11:56:44,67.95,67.95,67.95,67.95,2
2026-03-09T11:56:46,67.96,67.96,67.96,67.96,1
2026-03-09T11:56:59,67.98,68.0,67.98,68.0,12
2026-03-09T11:57:02,67.99,67.99,67.99,67.99,1
2026-03-09T11:57:03,67.98,67.98,67.98,67.98,1
2026-03-09T11:57:23,67.99,67.99,67.99,67.99,1
2026-03-09T11:57:39,67.98,67.98,67.98,67.98,1
2026-03-09T11:57:52,67.98,67.98,67.98,67.98,2
2026-03-09T11:58:02,67.96,67.96,67.96,67.96,1
2026-03-09T11:58:08,67.98,67.98,67.98,67.98,2
2026-03-09T11:58:09,67.99,67.99,67.99,67.99,1
2026-03-09T11:58:13,68.0,68.0,67.99,67.99,2
2026-03-09T11:58:18,68.0,68.0,68.0,68.0,2
2026-03-09T11:58:22,68.03,68.03,68.03,68.03,2
2026-03-09T11:58:24,68.06,68.06,68.05,68.06,25
2026-03-09T11:58:25,68.06,68.06,68.06,68.06,3
2026-03-09T11:58:29,68.06,68.06,68.06,68.06,1
2026-03-09T11:58:38,68.04,68.05,68.04,68.05,10
2026-03-09T11:58:39,68.08,68.08,68.06,68.06,24
2026-03-09T11:58:44,68.07,68.07,68.07,68.07,3
2026-03-09T11:58:53,68.07,68.07,68.07,68.07,4
2026-03-09T11:58:54,68.07,68.07,68.07,68.07,22
2026-03-09T11:59:02,68.08,68.08,68.08,68.08,2
2026-03-09T11:59:03,68.07,68.07,68.07,68.07,3
2026-03-09T11:59:08,68.09,68.1,68.09,68.1,10
2026-03-09T11:59:10,68.12,68.13,68.11,68.11,25
2026-03-09T11:59:12,68.11,68.11,68.1,68.1,2
