datetime,open,high,low,close,volume
2025-12-24T00:00:00,307.5,311.8,307.5,311.0,4242
2025-12-29T00:00:00,311.7,312.0,307.2,307.3,6122
2025-12-30T00:00:00,307.4,308.5,306.0,306.5,6385
2025-12-31T00:00:00,306.6,307.3,303.7,304.0,6438
2026-01-02T00:00:00,304.4,304.4,299.6,299.8,9493
2026-01-05T00:00:00,300.0,304.3,299.6,304.2,10845
2026-01-06T00:00:00,304.2,305.3,302.3,303.3,11061
2026-01-07T00:00:00,303.8,309.9,303.2,309.3,14885
2026-01-08T00:00:00,309.4,310.6,306.5,306.8,11048
2026-01-09T00:00:00,306.7,308.9,306.1,307.4,9471
2026-01-12T00:00:00,306.7,307.4,300.8,302.2,19131
2026-01-13T00:00:00,302.0,302.0,295.6,295.9,20519
2026-01-14T00:00:00,296.0,298.4,295.8,296.5,13905
2026-01-16T00:00:00,294.4,295.5,293.0,294.9,12913
2026-01-20T00:00:00,295.4,297.4,293.4,295.5,15474
2026-01-21T00:00:00,296.0,299.3,295.0,295.2,14565
2026-01-22T00:00:00,295.2,300.9,295.1,299.3,19148
2026-01-23T00:00:00,299.3,302.7,298.7,302.2,17010
2026-01-26T00:00:00,302.3,304.1,297.4,297.6,16450
2026-01-27T00:00:00,297.0,299.0,296.7,297.8,15072
2026-01-28T00:00:00,297.5,303.0,297.5,301.3,18557
2026-01-29T00:00:00,301.5,304.4,299.5,299.9,15997
2026-01-30T00:00:00,299.7,300.5,296.5,297.4,14537
2026-02-02T00:00:00,297.7,298.6,296.0,298.0,13649
2026-02-03T00:00:00,297.5,298.5,295.3,295.8,16472
2026-02-04T00:00:00,295.8,307.2,292.7,300.3,43007
2026-02-05T00:00:00,300.3,308.9,299.3,306.7,26373
2026-02-06T00:00:00,306.3,313.2,303.6,308.0,32374
2026-02-09T00:00:00,306.0,306.8,301.5,302.4,19720
2026-02-10T00:00:00,303.2,307.6,301.7,305.8,20050
2026-02-11T00:00:00,305.8,309.1,303.3,307.6,19031
2026-02-12T00:00:00,308.0,314.4,308.0,312.4,32504
2026-02-13T00:00:00,312.4,314.8,309.0,313.4,31713
2026-02-17T00:00:00,312.6,312.7,309.3,310.5,24294
2026-02-18T00:00:00,310.9,313.2,307.5,308.0,31259
2026-02-19T00:00:00,308.0,309.8,306.7,308.8,30036
2026-02-20T00:00:00,309.5,316.4,308.8,314.2,81684
2026-02-23T00:00:00,312.8,316.3,308.3,312.2,51516
2026-02-24T00:00:00,312.4,315.7,310.0,314.4,43124
2026-02-25T00:00:00,314.4,322.4,314.4,321.8,64867
2026-02-26T00:00:00,322.0,325.5,318.0,321.3,77014
2026-02-27T00:00:00,321.0,322.5,318.7,320.0,44135
2026-03-02T00:00:00,320.5,320.6,311.9,312.5,69905
2026-03-03T00:00:00,313.0,316.9,311.5,315.2,55039
2026-03-04T00:00:00,315.2,316.4,309.3,309.4,47810
2026-03-05T00:00:00,310.0,310.6,307.5,309.0,55900
2026-03-06T00:00:00,309.3,317.8,309.0,317.4,65719
2026-03-09T00:00:00,315.0,321.3,312.6,314.3,66563
2026-03-10T00:00:00,314.5,318.5,312.5,315.1,55228
2026-03-11T00:00:00,314.1,317.0,311.6,316.3,51120
2026-03-12T00:00:00,316.2,321.7,316.0,319.6,55940
2026-03-13T00:00:00,319.1,323.1,315.1,322.2,49173
2026-03-17T00:00:00,312.2,315.0,307.6,312.3,69513
2026-03-18T00:00:00,312.4,322.3,311.0,321.7,60197
2026-03-19T00:00:00,321.7,335.5,321.6,332.9,94410
2026-03-20T00:00:00,331.7,335.1,324.1,328.0,68433
2026-03-23T00:00:00,327.6,332.4,324.9,326.7,42869
2026-03-24T00:00:00,326.7,327.5,321.4,322.4,35164
2026-03-25T00:00:00,322.4,324.4,318.1,320.5,44646
2026-03-26T00:00:00,319.0,323.2,316.4,321.7,47801
2026-03-27T00:00:00,321.7,323.5,314.7,315.0,41563
2026-03-30T00:00:00,315.3,316.6,312.3,314.6,46238
2026-03-31T00:00:00,315.1,318.0,313.5,316.4,45433
2026-04-01T00:00:00,317.0,319.0,312.5,317.9,43491
2026-04-02T00:00:00,318.2,318.8,313.9,315.2,37709
